instrument,genre,file_name,split
cello,classical,[cel][cla]0073__1,train
cello,classical,[cel][cla]0003__2,train
cello,classical,074__[cel][nod][cla]0037__3,train
cello,classical,[cel][cla]0001__2,train
cello,classical,008__[cel][nod][cla]0058__1,train
cello,classical,[cel][cla]0071__1,train
cello,classical,[cel][cla]0115__1,train
cello,classical,[cel][cla]0074__2,train
cello,classical,071__[cel][nod][cla]0053__3,train
cello,classical,032__[cel][nod][cla]0033__1,train
cello,classical,031__[cel][nod][cla]0020__1,train
cello,classical,[cel][cla]0114__1,train
cello,classical,[cel][cla]0081__1,train
cello,classical,101__[cel][nod][cla]0054__3,train
cello,classical,089__[cel][nod][cla]0026__1,train
cello,classical,013__[cel][nod][cla]0025__1,train
cello,classical,[cel][cla]0081__2,train
cello,classical,075__[cel][nod][cla]0021__2,train
cello,classical,115__[cel][nod][cla]0055__1,train
cello,classical,132__[cel][nod][cla]0048__2,train
cello,classical,[cel][cla]0121__1,train
cello,classical,[cel][cla]0003__1,train
cello,classical,088__[cel][nod][cla]0044__1,train
cello,classical,[cel][cla]0116__3,train
cello,classical,[cel][cla]0083__3,train
cello,classical,[cel][cla]0119__1,train
cello,classical,043__[cel][nod][cla]0029__1,train
cello,classical,106__[cel][nod][cla]0028__3,train
cello,classical,074__[cel][nod][cla]0037__1,train
cello,classical,038__[cel][nod][cla]0039__3,train
cello,classical,[cel][cla]0109__2,train
cello,classical,[cel][cla]0117__1,train
cello,classical,[cel][cla]0072__3,train
cello,classical,115__[cel][nod][cla]0055__2,train
cello,classical,[cel][cla]0123__3,train
cello,classical,[cel][cla]0007__3,train
cello,classical,[cel][cla]0078__3,train
cello,classical,[cel][cla]0071__3,train
cello,classical,060__[cel][nod][cla]0045__2,train
cello,classical,060__[cel][nod][cla]0045__1,train
cello,classical,115__[cel][nod][cla]0055__3,train
cello,classical,[cel][cla]0122__2,train
cello,classical,[cel][cla]0073__3,train
cello,classical,[cel][cla]0075__1,train
cello,classical,[cel][cla]0108__3,train
cello,classical,[cel][cla]0002__1,train
cello,classical,008__[cel][nod][cla]0058__3,train
cello,classical,[cel][cla]0109__1,train
cello,classical,[cel][cla]0083__2,train
cello,classical,[cel][cla]0148__1,train
cello,classical,[cel][cla]0114__3,train
cello,classical,119__[cel][nod][cla]0057__1,train
cello,classical,[cel][cla]0119__3,train
cello,classical,083__[cel][nod][cla]0056__1,train
cello,classical,119__[cel][nod][cla]0057__3,train
cello,classical,[cel][cla]0071__2,train
cello,classical,[cel][cla]0114__2,train
cello,classical,[cel][cla]0083__1,train
cello,classical,[cel][cla]0148__2,train
cello,classical,061__[cel][nod][cla]0032__1,train
cello,classical,[cel][cla]0068__3,train
cello,classical,[cel][cla]0107__3,train
cello,classical,027__[cel][nod][cla]0027__2,train
cello,classical,075__[cel][nod][cla]0021__3,train
cello,classical,[cel][cla]0017__2,train
cello,classical,057__[cel][nod][cla]0036__2,train
cello,classical,056__[cel][nod][cla]0038__1,train
cello,classical,065__[cel][nod][cla]0059__1,train
cello,classical,[cel][cla]0002__3,train
cello,classical,[cel][cla]0112__1,train
cello,classical,[cel][cla]0015__2,train
cello,classical,082__[cel][nod][cla]0035__3,train
cello,classical,075__[cel][nod][cla]0021__1,train
cello,classical,042__[cel][nod][cla]0042__1,train
