instrument,train_set,test_set,precision,recall,f1-score,support,accuracy,roc_auc,ap
cello,irmas,irmas,0.54,0.8617021276595744,0.6639344262295082,94.0,0.9507803121248499,0.9674219046072222,0.778929474013791
clarinet,irmas,irmas,0.48066298342541436,0.6850393700787402,0.564935064935065,127.0,0.9195678271308524,0.9047801773316348,0.6716058229726707
flute,irmas,irmas,0.4063926940639269,0.7355371900826446,0.5235294117647058,121.0,0.9027611044417767,0.9145470592955148,0.6000409441854421
guitar,irmas,irmas,0.7639593908629442,0.869942196531792,0.8135135135135134,346.0,0.9171668667466987,0.9650398493606586,0.885386440629291
organ,irmas,irmas,0.8095238095238095,0.8793103448275862,0.8429752066115702,174.0,0.9657863145258103,0.9867608086037409,0.8903798063834489
piano,irmas,irmas,0.8457142857142858,0.8705882352941177,0.8579710144927537,170.0,0.9705882352941176,0.9809924504561183,0.929192753705597
saxophone,irmas,irmas,0.3432343234323432,0.6933333333333334,0.45916114790286977,150.0,0.8529411764705882,0.8621899736147757,0.5140062010237485
trumpet,irmas,irmas,0.5841121495327103,0.8333333333333334,0.6868131868131868,150.0,0.9315726290516206,0.9502374670184698,0.7852302364769512
violin,irmas,irmas,0.4411764705882353,0.6293706293706294,0.5187319884726225,143.0,0.8997599039615847,0.8788184894553902,0.5334454336685256
voice,irmas,irmas,0.8516746411483254,0.9319371727748691,0.89,191.0,0.9735894357743097,0.99369598012246,0.9590982359741937
cello,openmic,openmic,0.775,0.8230088495575221,0.7982832618025751,226.0,0.8061855670103093,0.8937711415587523,0.863217627717783
clarinet,openmic,openmic,0.33444816053511706,0.7299270072992701,0.4587155963302752,137.0,0.63125,0.7506929227554382,0.41903608693134126
flute,openmic,openmic,0.46689895470383275,0.7657142857142857,0.58008658008658,175.0,0.6548042704626335,0.7710446659283869,0.6083964879445379
guitar,openmic,openmic,0.9820143884892086,0.9545454545454546,0.9680851063829786,286.0,0.9587155963302753,0.9891142191142192,0.9942652774657728
organ,openmic,openmic,0.5629139072847682,0.7024793388429752,0.6249999999999999,121.0,0.7633410672853829,0.8209544121567582,0.5927354736117567
piano,openmic,openmic,0.9518900343642611,0.9719298245614035,0.9618055555555555,285.0,0.946987951807229,0.9794062078272604,0.9889907334066429
saxophone,openmic,openmic,0.7734138972809668,0.839344262295082,0.8050314465408805,305.0,0.8028616852146264,0.8957397287998381,0.8931162259081892
trumpet,openmic,openmic,0.7103064066852368,0.8018867924528302,0.7533234859675038,318.0,0.7872611464968153,0.8667057223277174,0.8253091147282152
violin,openmic,openmic,0.8813131313131313,0.8857868020304569,0.8835443037974683,394.0,0.8541996830427893,0.924468290175416,0.9434197321853954
voice,openmic,openmic,0.9237668161434978,0.9196428571428571,0.9217002237136465,224.0,0.9064171122994652,0.9682440476190476,0.9789969864456808
cello,irmas,openmic,0.6222222222222222,0.37168141592920356,0.4653739612188366,226.0,0.6020618556701031,0.6692008063689481,0.6032112284867989
clarinet,irmas,openmic,0.2727272727272727,0.043795620437956206,0.07547169811320756,137.0,0.7703125,0.6542787073181349,0.28315969188809387
flute,irmas,openmic,0.631578947368421,0.2057142857142857,0.31034482758620685,175.0,0.7153024911032029,0.7281210778885198,0.5201220459042508
guitar,irmas,openmic,0.9759036144578314,0.8496503496503497,0.908411214953271,286.0,0.8876146788990825,0.9644055944055944,0.9827054938394864
organ,irmas,openmic,0.3925233644859813,0.6942148760330579,0.5014925373134328,121.0,0.6125290023201856,0.7010130631831512,0.48791230530797164
piano,irmas,openmic,0.9911111111111112,0.7824561403508772,0.8745098039215686,285.0,0.8457831325301205,0.9629419703103914,0.9804984117686971
saxophone,irmas,openmic,0.6804123711340206,0.6491803278688525,0.6644295302013422,305.0,0.6820349761526232,0.7473891924711596,0.6981974488644549
trumpet,irmas,openmic,0.7222222222222222,0.08176100628930817,0.14689265536723162,318.0,0.6152866242038216,0.6908744427834566,0.5951399430864545
violin,irmas,openmic,0.7818696883852692,0.700507614213198,0.7389558232931727,394.0,0.6909667194928685,0.7691104971192357,0.8202058010680009
voice,irmas,openmic,0.9745222929936306,0.6830357142857143,0.8031496062992125,224.0,0.7994652406417112,0.959672619047619,0.9720333182285965
cello,openmic,irmas,0.14462081128747795,0.8723404255319149,0.24810892586989414,94.0,0.7016806722689075,0.8445536246007255,0.3328737521650819
clarinet,openmic,irmas,0.1169811320754717,0.9763779527559056,0.2089300758213985,127.0,0.43637454981992796,0.854814200856472,0.2810095012839684
flute,openmic,irmas,0.13865546218487396,0.8181818181818182,0.237125748502994,121.0,0.6176470588235294,0.7864505603252294,0.2506187548047674
guitar,openmic,irmas,0.3681257014590348,0.9479768786127167,0.530315278900566,346.0,0.6512605042016807,0.8828187948852689,0.6993292107369372
organ,openmic,irmas,0.016042780748663103,0.017241379310344827,0.01662049861495845,174.0,0.7869147659063626,0.2772526270376876,0.06703288068034034
piano,openmic,irmas,0.2170767004341534,0.8823529411764706,0.34843205574912894,170.0,0.6632653061224489,0.9033461780434099,0.7365122059547247
saxophone,openmic,irmas,0.14965197215777262,0.86,0.2549407114624506,150.0,0.5474189675870348,0.7788126649076517,0.2818416824371142
trumpet,openmic,irmas,0.13533834586466165,0.96,0.23723228995057655,150.0,0.44417767106842737,0.889797713280563,0.5664929401044781
violin,openmic,irmas,0.22394678492239467,0.7062937062937062,0.3400673400673401,143.0,0.7647058823529411,0.824940653568362,0.36445977601221524
voice,openmic,irmas,0.38509316770186336,0.9738219895287958,0.5519287833827893,191.0,0.8187274909963985,0.9795793770520898,0.919123553894688
