instrument,train_set,test_set,precision,recall,f1-score,support,accuracy,roc_auc,ap
cello,irmas,irmas,0.5472972972972973,0.8617021276595744,0.6694214876033058,94.0,0.9519807923169268,0.9674692761626333,0.7783856232337802
clarinet,irmas,irmas,0.47342995169082125,0.7716535433070866,0.5868263473053892,127.0,0.9171668667466987,0.9194179674909059,0.7005982799149464
flute,irmas,irmas,0.4063926940639269,0.7355371900826446,0.5235294117647058,121.0,0.9027611044417767,0.9142689026184172,0.5992504349335153
guitar,irmas,irmas,0.7156398104265402,0.8728323699421965,0.7864583333333333,346.0,0.9015606242496998,0.9627846382904187,0.8707823646694267
organ,irmas,irmas,0.7630331753554502,0.9252873563218391,0.8363636363636364,174.0,0.9621848739495799,0.9894032541370066,0.9046550161647754
piano,irmas,irmas,0.8152173913043478,0.8823529411764706,0.847457627118644,170.0,0.9675870348139256,0.9823686693928909,0.9329099315882825
saxophone,irmas,irmas,0.2831168831168831,0.7266666666666667,0.40747663551401864,150.0,0.8097238895558223,0.8615567282321901,0.48083116401929743
trumpet,irmas,irmas,0.5821596244131455,0.8266666666666667,0.6831955922865013,150.0,0.9309723889555822,0.9502330694810905,0.7852544734585785
violin,irmas,irmas,0.3609271523178808,0.7622377622377622,0.4898876404494382,143.0,0.8637454981992797,0.8981674923894227,0.5367516906089802
voice,irmas,irmas,0.8280542986425339,0.9581151832460733,0.8883495145631067,191.0,0.9723889555822329,0.9946153163546012,0.9667551793142672
cello,openmic,openmic,0.7692307692307693,0.7964601769911505,0.782608695652174,226.0,0.7938144329896907,0.8926777599343971,0.8659767943958627
clarinet,openmic,openmic,0.3735408560311284,0.7007299270072993,0.4873096446700507,137.0,0.684375,0.7644788205076113,0.4372817922129341
flute,openmic,openmic,0.4962962962962963,0.7657142857142857,0.6022471910112359,175.0,0.6850533807829181,0.7807899593946106,0.630806272987556
guitar,openmic,openmic,0.9820143884892086,0.9545454545454546,0.9680851063829786,286.0,0.9587155963302753,0.9891375291375292,0.994277328073802
organ,openmic,openmic,0.5777777777777777,0.6446280991735537,0.609375,121.0,0.7679814385150812,0.8345507864569448,0.6057312828371356
piano,openmic,openmic,0.9486301369863014,0.9719298245614035,0.9601386481802426,285.0,0.944578313253012,0.9817273954116059,0.9907065672948334
saxophone,openmic,openmic,0.7710843373493976,0.839344262295082,0.8037676609105181,305.0,0.8012718600953895,0.8958510422991297,0.8931299413506756
trumpet,openmic,openmic,0.7111111111111111,0.8050314465408805,0.7551622418879057,318.0,0.7885350318471338,0.866496976553136,0.8248881722610988
violin,openmic,openmic,0.8813131313131313,0.8857868020304569,0.8835443037974683,394.0,0.8541996830427893,0.9243933260511041,0.9433648214798686
voice,openmic,openmic,0.943127962085308,0.8883928571428571,0.9149425287356321,224.0,0.9010695187165776,0.9699107142857143,0.9802216893308238
cello,irmas,openmic,0.628099173553719,0.336283185840708,0.4380403458213257,226.0,0.5979381443298969,0.6682270133597566,0.601901644805241
clarinet,irmas,openmic,0.3404255319148936,0.11678832116788321,0.17391304347826086,137.0,0.7625,0.6592561419802354,0.2908692244902167
flute,irmas,openmic,0.640625,0.2342857142857143,0.34309623430962344,175.0,0.7206405693950177,0.7279881875230712,0.5201912091110872
guitar,irmas,openmic,0.9878542510121457,0.8531468531468531,0.9155722326454034,286.0,0.8967889908256881,0.9754545454545455,0.9882254629038951
organ,irmas,openmic,0.3769633507853403,0.5950413223140496,0.46153846153846156,121.0,0.6102088167053364,0.6839242868568383,0.47536258921008023
piano,irmas,openmic,0.9884169884169884,0.8982456140350877,0.9411764705882353,285.0,0.9228915662650602,0.9700404858299595,0.9862222588062222
saxophone,irmas,openmic,0.717741935483871,0.5836065573770491,0.6437613019891502,305.0,0.6868044515103339,0.7793766444039669,0.7295395100652515
trumpet,irmas,openmic,0.7297297297297297,0.08490566037735849,0.15211267605633802,318.0,0.6165605095541401,0.6908879102527843,0.5952647980088814
violin,irmas,openmic,0.8152173913043478,0.7614213197969543,0.7874015748031495,394.0,0.7432646592709984,0.8273469125489945,0.8774028389166018
voice,irmas,openmic,0.9722222222222222,0.78125,0.8663366336633662,224.0,0.8556149732620321,0.9669345238095237,0.9773833698539196
cello,openmic,irmas,0.16478555304740405,0.776595744680851,0.2718808193668529,94.0,0.7653061224489796,0.8577973580206811,0.3484333012710205
clarinet,openmic,irmas,0.12933753943217666,0.968503937007874,0.22820037105751395,127.0,0.5006002400960384,0.8547425723831306,0.2909150549858323
flute,openmic,irmas,0.1682600382409178,0.7272727272727273,0.2732919254658385,121.0,0.7190876350540216,0.7892321270962048,0.24849627138507377
guitar,openmic,irmas,0.37543053960964407,0.9450867052023122,0.5373870172555464,346.0,0.6620648259303722,0.8828538272902433,0.6993961265956099
organ,openmic,irmas,0.037037037037037035,0.017241379310344827,0.023529411764705882,174.0,0.8505402160864346,0.4125219561800869,0.085011772675836
piano,openmic,irmas,0.26071428571428573,0.8588235294117647,0.4,170.0,0.737094837935174,0.8999606794589494,0.7292881198120158
saxophone,openmic,irmas,0.16644295302013423,0.8266666666666667,0.27709497206703915,150.0,0.6116446578631453,0.7795998240985048,0.2809975086944912
trumpet,openmic,irmas,0.141012909632572,0.9466666666666667,0.24546240276577358,150.0,0.4759903961584634,0.8899824098504837,0.5678055100782962
violin,openmic,irmas,0.21855670103092784,0.7412587412587412,0.3375796178343949,143.0,0.7503001200480192,0.8247799475639266,0.3641926635259528
voice,openmic,irmas,0.3983050847457627,0.9842931937172775,0.5671191553544496,191.0,0.8277310924369747,0.9861851095926879,0.9408718736027624
