instrument,train_set,test_set,precision,recall,f1-score,support,accuracy,roc_auc,ap
cello,irmas,irmas,0.5472972972972973,0.8617021276595744,0.6694214876033058,94.0,0.9519807923169268,0.9670564668940501,0.7771970896084619
clarinet,irmas,irmas,0.4549763033175355,0.7559055118110236,0.5680473372781064,127.0,0.9123649459783914,0.9196840161061739,0.7006386227336978
flute,irmas,irmas,0.40825688073394495,0.7355371900826446,0.5250737463126843,121.0,0.9033613445378151,0.9139960951081868,0.5971598237618253
guitar,irmas,irmas,0.7139479905437353,0.8728323699421965,0.7854356306892067,346.0,0.9009603841536614,0.9628656507269224,0.8709758128101839
organ,irmas,irmas,0.7616822429906542,0.9367816091954023,0.8402061855670103,174.0,0.9627851140456183,0.9895958522079443,0.9066428758664825
piano,irmas,irmas,0.8142076502732241,0.8764705882352941,0.8441926345609065,170.0,0.9669867947178872,0.9823765335011009,0.9327530887251885
saxophone,irmas,irmas,0.28534031413612565,0.7266666666666667,0.4097744360902256,150.0,0.8115246098439376,0.8612708883025506,0.4793450735678315
trumpet,irmas,irmas,0.589622641509434,0.8333333333333334,0.6906077348066298,150.0,0.9327731092436975,0.9505189094107299,0.7846047955720452
violin,irmas,irmas,0.35973597359735976,0.7622377622377622,0.4887892376681615,143.0,0.8631452581032413,0.898723076004757,0.5364919793949828
voice,irmas,irmas,0.8387096774193549,0.9528795811518325,0.8921568627450981,191.0,0.9735894357743097,0.994618865915343,0.9662709001830608
cello,openmic,openmic,0.7682403433476395,0.7920353982300885,0.7799564270152506,226.0,0.7917525773195876,0.8930194416920081,0.8667656956778637
clarinet,openmic,openmic,0.375,0.7007299270072993,0.48854961832061067,137.0,0.6859375,0.7644497975649751,0.4385177611501066
flute,openmic,openmic,0.50187265917603,0.7657142857142857,0.6063348416289593,175.0,0.6903914590747331,0.7820598006644518,0.6322091431969055
guitar,openmic,openmic,0.9820143884892086,0.9545454545454546,0.9680851063829786,286.0,0.9587155963302753,0.9892307692307692,0.9943208889293247
organ,openmic,openmic,0.5735294117647058,0.6446280991735537,0.6070038910505837,121.0,0.765661252900232,0.8347374033591042,0.6061602186690125
piano,openmic,openmic,0.9484536082474226,0.968421052631579,0.9583333333333333,285.0,0.9421686746987952,0.9819973009446694,0.9908661861864769
saxophone,openmic,openmic,0.7619047619047619,0.839344262295082,0.7987519500780031,305.0,0.794912559618442,0.8952135195304595,0.8917675060072298
trumpet,openmic,openmic,0.7094972067039106,0.7987421383647799,0.7514792899408285,318.0,0.7859872611464969,0.8663757693291854,0.8246417072015866
violin,openmic,openmic,0.8813131313131313,0.8857868020304569,0.8835443037974683,394.0,0.8541996830427893,0.9238150313778406,0.9428282995874502
voice,openmic,openmic,0.943127962085308,0.8883928571428571,0.9149425287356321,224.0,0.9010695187165776,0.969672619047619,0.9800261079315465
cello,irmas,openmic,0.6166666666666667,0.3274336283185841,0.4277456647398844,226.0,0.5917525773195876,0.6670994635596406,0.600245520161721
clarinet,irmas,openmic,0.2909090909090909,0.11678832116788321,0.16666666666666669,137.0,0.75,0.6583128963445605,0.28942434677474416
flute,irmas,openmic,0.6375,0.2914285714285714,0.4,175.0,0.7277580071174378,0.7285049833887043,0.5210238943143175
guitar,irmas,openmic,0.9918032786885246,0.8461538461538461,0.9132075471698113,286.0,0.8944954128440367,0.9754079254079254,0.9882015963237829
organ,irmas,openmic,0.37967914438502676,0.5867768595041323,0.4610389610389611,121.0,0.6148491879350348,0.6801652892561983,0.46937212807465356
piano,irmas,openmic,0.9881889763779528,0.8807017543859649,0.9313543599257884,285.0,0.9108433734939759,0.9697975708502024,0.9861284441425516
saxophone,irmas,openmic,0.7339055793991416,0.5606557377049181,0.6356877323420074,305.0,0.6883942766295708,0.7781015988666262,0.7274349038976753
trumpet,irmas,openmic,0.6875,0.10377358490566038,0.18032786885245902,318.0,0.6178343949044586,0.6896623705439512,0.5930073112158486
violin,irmas,openmic,0.8102981029810298,0.7588832487309645,0.7837483617300132,394.0,0.7385103011093502,0.8237379254214054,0.8751047552174472
voice,irmas,openmic,0.9585492227979274,0.8258928571428571,0.8872901678657074,224.0,0.8743315508021391,0.9659226190476192,0.9765483110300697
cello,openmic,irmas,0.16129032258064516,0.7978723404255319,0.26833631484794274,94.0,0.7545018007202882,0.8598004980780684,0.3546702686355469
clarinet,openmic,irmas,0.11941747572815534,0.968503937007874,0.212618841832325,127.0,0.4531812725090036,0.8545941991169232,0.29176798493702816
flute,openmic,irmas,0.16606498194945848,0.7603305785123967,0.2725925925925926,121.0,0.7052821128451381,0.786712669501725,0.2418353800952419
guitar,openmic,irmas,0.3834319526627219,0.9364161849710982,0.544080604534005,346.0,0.6740696278511404,0.883289542827115,0.7002588268314437
organ,openmic,irmas,0.03529411764705882,0.017241379310344827,0.023166023166023165,174.0,0.8481392557022809,0.41124695695047914,0.08497741208038674
piano,openmic,irmas,0.2597864768683274,0.8588235294117647,0.39890710382513656,170.0,0.7358943577430972,0.8998033972947469,0.7289948442439046
saxophone,openmic,irmas,0.15822784810126583,0.8333333333333334,0.2659574468085107,150.0,0.5858343337334934,0.7705145118733508,0.2782976706792472
trumpet,openmic,irmas,0.13880742913000976,0.9466666666666667,0.24211423699914747,150.0,0.46638655462184875,0.889551451187335,0.5669272596296122
violin,openmic,irmas,0.21073558648111332,0.7412587412587412,0.32817337461300305,143.0,0.7394957983193278,0.8234254255265419,0.36796004804469074
voice,openmic,irmas,0.4,0.9842931937172775,0.5688350983358548,191.0,0.8289315726290516,0.9859934333126276,0.940110506459901
