instrument,train_set,test_set,precision,recall,f1-score,support,accuracy,roc_auc,ap
cello,irmas,irmas,0.4581005586592179,0.8723404255319149,0.6007326007326007,94.0,0.9345738295318127,0.9677873423203941,0.7490966670741654
clarinet,irmas,irmas,0.3745173745173745,0.7637795275590551,0.5025906735751295,127.0,0.8847539015606243,0.9089141635073393,0.6408413946606355
flute,irmas,irmas,0.3424124513618677,0.7272727272727273,0.46560846560846564,121.0,0.8787515006002401,0.9043515472465163,0.5813897525401163
guitar,irmas,irmas,0.6914414414414415,0.8872832369942196,0.7772151898734176,346.0,0.8943577430972389,0.9617555613942897,0.868447121193467
organ,irmas,irmas,0.6486486486486487,0.9655172413793104,0.7759815242494227,174.0,0.9417767106842737,0.9873463067393917,0.8864591863899873
piano,irmas,irmas,0.7365853658536585,0.888235294117647,0.8053333333333332,170.0,0.9561824729891957,0.9793370556778862,0.9221677996239277
saxophone,irmas,irmas,0.29085872576177285,0.7,0.4109589041095891,150.0,0.819327731092437,0.8591072999120493,0.4808036799720088
trumpet,irmas,irmas,0.508,0.8466666666666667,0.635,150.0,0.9123649459783914,0.9528979771328057,0.7313794026413155
violin,irmas,irmas,0.36823104693140796,0.7132867132867133,0.4857142857142858,143.0,0.8703481392557023,0.8920422978203675,0.5252163325109143
voice,irmas,irmas,0.7711864406779662,0.9528795811518325,0.8524590163934427,191.0,0.9621848739495799,0.992265507143491,0.9578145115480607
cello,openmic,openmic,0.774468085106383,0.8053097345132744,0.789587852494577,226.0,0.8,0.8906276693887314,0.8554411182142443
clarinet,openmic,openmic,0.34459459459459457,0.7445255474452555,0.47113163972286376,137.0,0.6421875,0.7553075706345866,0.42797064487661296
flute,openmic,openmic,0.4763636363636364,0.7485714285714286,0.5822222222222222,175.0,0.6654804270462633,0.7725359911406423,0.6099690639517275
guitar,openmic,openmic,0.9820143884892086,0.9545454545454546,0.9680851063829786,286.0,0.9587155963302753,0.9883216783216783,0.9944142192817547
organ,openmic,openmic,0.5694444444444444,0.6776859504132231,0.6188679245283019,121.0,0.765661252900232,0.8331911490269261,0.6081656660163441
piano,openmic,openmic,0.9482758620689655,0.9649122807017544,0.9565217391304347,285.0,0.9397590361445783,0.9759514170040486,0.9879934212080419
saxophone,openmic,openmic,0.7660818713450293,0.8590163934426229,0.8098918083462133,305.0,0.8044515103338633,0.884335154826958,0.8629709553537135
trumpet,openmic,openmic,0.7101449275362319,0.7704402515723271,0.7390648567119155,318.0,0.7796178343949045,0.8494942965267397,0.790013927885481
violin,openmic,openmic,0.8604060913705583,0.8604060913705583,0.8604060913705583,394.0,0.8256735340729001,0.9130844524406179,0.9366787999050354
voice,openmic,openmic,0.9151785714285714,0.9151785714285714,0.9151785714285714,224.0,0.8983957219251337,0.9684226190476191,0.9787533172136051
cello,irmas,openmic,0.6394557823129252,0.415929203539823,0.5040214477211796,226.0,0.6185567010309279,0.6813988451156593,0.6277638443783411
clarinet,irmas,openmic,0.2626728110599078,0.41605839416058393,0.3220338983050847,137.0,0.625,0.6531177896126888,0.29340439155455683
flute,irmas,openmic,0.48695652173913045,0.64,0.5530864197530865,175.0,0.6779359430604982,0.7347655961609451,0.52420939133272
guitar,irmas,openmic,0.972972972972973,0.8811188811188811,0.924770642201835,286.0,0.9059633027522935,0.9734731934731935,0.9870604306352582
organ,irmas,openmic,0.4838709677419355,0.371900826446281,0.4205607476635514,121.0,0.7122969837587007,0.6693948280458544,0.4649186116414843
piano,irmas,openmic,0.976,0.856140350877193,0.9121495327102803,285.0,0.8867469879518072,0.9634278002699055,0.9838377079505057
saxophone,irmas,openmic,0.7230215827338129,0.659016393442623,0.6895368782161234,305.0,0.712241653418124,0.7757943736085812,0.7170287819357346
trumpet,irmas,openmic,0.611336032388664,0.4748427672955975,0.5345132743362833,318.0,0.664968152866242,0.7182807428656082,0.6110154902633274
violin,irmas,openmic,0.8559322033898306,0.7690355329949239,0.8101604278074866,394.0,0.7749603803486529,0.853809248431108,0.8917921586029712
voice,irmas,openmic,0.9700598802395209,0.7232142857142857,0.8286445012787723,224.0,0.820855614973262,0.9639285714285715,0.9746174475785572
cello,openmic,irmas,0.1574279379157428,0.7553191489361702,0.26055045871559634,94.0,0.7581032412965186,0.839268312489849,0.3230679316542585
clarinet,openmic,irmas,0.2318840579710145,0.7559055118110236,0.35489833641404805,127.0,0.790516206482593,0.8520616209523517,0.2810091535225974
flute,openmic,irmas,0.17256637168141592,0.6446280991735537,0.27225130890052357,121.0,0.7496998799519808,0.7832410602048729,0.23353908675330454
guitar,openmic,irmas,0.4924812030075188,0.7572254335260116,0.5968109339407746,346.0,0.787515006002401,0.8768457698370993,0.6819215027788481
organ,openmic,irmas,0.046357615894039736,0.040229885057471264,0.04307692307692308,174.0,0.8133253301320528,0.3756933530553758,0.08018240793133649
piano,openmic,irmas,0.2514506769825919,0.7647058823529411,0.37845705967976706,170.0,0.7436974789915967,0.850550487574709,0.6263462190076213
saxophone,openmic,irmas,0.22413793103448276,0.52,0.3132530120481928,150.0,0.7947178871548619,0.7567326297273528,0.23945750313861627
trumpet,openmic,irmas,0.32344213649851633,0.7266666666666667,0.44763860369609854,150.0,0.8385354141656662,0.8678320140721195,0.5347282145810988
violin,openmic,irmas,0.23636363636363636,0.6363636363636364,0.34469696969696967,143.0,0.7923169267707083,0.805435536230021,0.35196940204844895
voice,openmic,irmas,0.5402985074626866,0.9476439790575916,0.688212927756654,191.0,0.9015606242496998,0.9794835389120595,0.9112152972755253
