instrument,train_set,test_set,precision,recall,f1-score,support,accuracy,roc_auc,ap
cello,irmas,irmas,0.2962962962962963,0.851063829787234,0.43956043956043955,94.0,0.8775510204081632,0.9248957825780953,0.6237308463757245
clarinet,irmas,irmas,0.30246913580246915,0.7716535433070866,0.43458980044345896,127.0,0.8469387755102041,0.8799353297212118,0.5344711812094215
flute,irmas,irmas,0.30976430976430974,0.7603305785123967,0.4401913875598086,121.0,0.8595438175270108,0.8919789242825429,0.6126649987664763
guitar,irmas,irmas,0.662004662004662,0.8208092485549133,0.7329032258064516,346.0,0.8757503001200481,0.934090909090909,0.8252657821486874
organ,irmas,irmas,0.5064935064935064,0.896551724137931,0.6473029045643153,174.0,0.8979591836734694,0.956881143878463,0.7063179599774696
piano,irmas,irmas,0.6559633027522935,0.8411764705882353,0.7371134020618557,170.0,0.9387755102040817,0.9518991821327462,0.8348971110415973
saxophone,irmas,irmas,0.2805755395683453,0.78,0.4126984126984127,150.0,0.8001200480192077,0.8690677220756375,0.5463107168889271
trumpet,irmas,irmas,0.3580645161290323,0.74,0.4826086956521739,150.0,0.8571428571428571,0.902014072119613,0.6466944544585069
violin,irmas,irmas,0.276536312849162,0.6923076923076923,0.39520958083832336,143.0,0.8181272509003601,0.8418056008338346,0.47737922168161406
voice,irmas,irmas,0.7763157894736842,0.9267015706806283,0.8448687350835321,191.0,0.960984393757503,0.9863093442186529,0.9252207348378567
cello,openmic,openmic,0.7370517928286853,0.8185840707964602,0.7756813417190777,226.0,0.7793814432989691,0.8660436669286227,0.8197678361383489
clarinet,openmic,openmic,0.3619402985074627,0.708029197080292,0.47901234567901224,137.0,0.6703125,0.7486903397135436,0.4370945922419799
flute,openmic,openmic,0.4980694980694981,0.7371428571428571,0.5944700460829493,175.0,0.6868327402135231,0.7954669619785899,0.6607092980141359
guitar,openmic,openmic,0.951048951048951,0.951048951048951,0.951048951048951,286.0,0.9357798165137615,0.9800932400932402,0.9897940890925309
organ,openmic,openmic,0.5354330708661418,0.5619834710743802,0.5483870967741936,121.0,0.740139211136891,0.790615835777126,0.5649730408265708
piano,openmic,openmic,0.9324324324324325,0.968421052631579,0.9500860585197936,285.0,0.9301204819277108,0.9608367071524966,0.9784163187561565
saxophone,openmic,openmic,0.7950310559006211,0.839344262295082,0.8165869218500796,305.0,0.8171701112877583,0.8974600283343452,0.8872454523428805
trumpet,openmic,openmic,0.7155172413793104,0.7830188679245284,0.7477477477477479,318.0,0.7859872611464969,0.858227950385843,0.7861017762275009
violin,openmic,openmic,0.8831521739130435,0.8248730964467005,0.853018372703412,394.0,0.8225039619651348,0.9127096318190581,0.9360273196785149
voice,openmic,openmic,0.9333333333333333,0.875,0.9032258064516129,224.0,0.8877005347593583,0.96,0.9712383181739943
cello,irmas,openmic,0.6299559471365639,0.6327433628318584,0.6313465783664459,226.0,0.6556701030927835,0.706546622475826,0.6144194347112513
clarinet,irmas,openmic,0.30851063829787234,0.4233576642335766,0.3569230769230769,137.0,0.6734375,0.6599236696608669,0.3340293286274089
flute,irmas,openmic,0.4432234432234432,0.6914285714285714,0.5401785714285713,175.0,0.6334519572953736,0.7180657069029162,0.5695820552737675
guitar,irmas,openmic,0.9522058823529411,0.9055944055944056,0.9283154121863799,286.0,0.908256880733945,0.9643589743589743,0.9789625955860253
organ,irmas,openmic,0.36764705882352944,0.6198347107438017,0.46153846153846156,121.0,0.5939675174013921,0.6558784324180219,0.37828793732158195
piano,irmas,openmic,0.9430604982206405,0.9298245614035088,0.9363957597173145,285.0,0.9132530120481928,0.9661808367071525,0.9846969885579695
saxophone,irmas,openmic,0.7256944444444444,0.6852459016393443,0.7048903878583473,305.0,0.7217806041335453,0.790963367739324,0.7462876029727133
trumpet,irmas,openmic,0.6140350877192983,0.550314465408805,0.5804311774461027,318.0,0.6777070063694267,0.7356201096252002,0.6344034204012661
violin,irmas,openmic,0.8057742782152231,0.7791878172588832,0.792258064516129,394.0,0.7448494453248812,0.8004240827603931,0.8561013881484522
voice,irmas,openmic,0.9476439790575916,0.8080357142857143,0.872289156626506,224.0,0.8582887700534759,0.956607142857143,0.965128432068789
cello,openmic,irmas,0.12943262411347517,0.776595744680851,0.22188449848024314,94.0,0.6926770708283313,0.820028693627849,0.36033264215238653
clarinet,openmic,irmas,0.171334431630972,0.8188976377952756,0.28337874659400547,127.0,0.6842737094837935,0.84548203404399,0.41996763733830644
flute,openmic,irmas,0.11505376344086021,0.8842975206611571,0.20361560418648905,121.0,0.49759903961584634,0.7766294899569394,0.3282893191333592
guitar,openmic,irmas,0.3563068920676203,0.791907514450867,0.4914798206278027,346.0,0.6596638655462185,0.7900945874934313,0.571211395419792
organ,openmic,irmas,0.21019108280254778,0.1896551724137931,0.19939577039274922,174.0,0.84093637454982,0.6797209639148255,0.18709419999758495
piano,openmic,irmas,0.23140495867768596,0.8235294117647058,0.3612903225806452,170.0,0.7028811524609844,0.8360136835482856,0.44995976063696197
saxophone,openmic,irmas,0.1890625,0.8066666666666666,0.3063291139240506,150.0,0.6710684273709484,0.8176165347405453,0.37306517985311805
trumpet,openmic,irmas,0.20578231292517007,0.8066666666666666,0.32791327913279134,150.0,0.7022809123649459,0.8453518029903254,0.48564025102149183
violin,openmic,irmas,0.1757679180887372,0.7202797202797203,0.2825788751714678,143.0,0.6860744297719088,0.7788914958974054,0.3286729948075474
voice,openmic,irmas,0.3879668049792531,0.9790575916230366,0.5557206537890045,191.0,0.8205282112845138,0.9807329842931938,0.8815900048484686
