instrument,train_set,test_set,precision,recall,f1-score,support,accuracy,roc_auc,ap
cello,irmas,irmas,0.2962962962962963,0.851063829787234,0.43956043956043955,94.0,0.8775510204081632,0.924516810134806,0.621886655853309
clarinet,irmas,irmas,0.30246913580246915,0.7716535433070866,0.43458980044345896,127.0,0.8469387755102041,0.8798432359697728,0.5341588544425153
flute,irmas,irmas,0.3108108108108108,0.7603305785123967,0.4412470023980815,121.0,0.8601440576230492,0.8917007676054454,0.6103544974185076
guitar,irmas,irmas,0.662004662004662,0.8208092485549133,0.7329032258064516,346.0,0.8757503001200481,0.9341040462427745,0.8252931547433916
organ,irmas,irmas,0.5048543689320388,0.896551724137931,0.6459627329192547,174.0,0.897358943577431,0.9569697389910942,0.7057234551653592
piano,irmas,irmas,0.6605504587155964,0.8470588235294118,0.7422680412371134,170.0,0.9399759903961584,0.9519227744573765,0.8350310594549178
saxophone,irmas,irmas,0.2819277108433735,0.78,0.4141592920353982,150.0,0.8013205282112845,0.8688346525945471,0.5475443991158898
trumpet,irmas,irmas,0.35737704918032787,0.7266666666666667,0.47912087912087914,150.0,0.8577430972388955,0.9010773966578717,0.6454409120023386
violin,irmas,irmas,0.276536312849162,0.6923076923076923,0.39520958083832336,143.0,0.8181272509003601,0.8414979636253437,0.4773064151635475
voice,irmas,irmas,0.775330396475771,0.9214659685863874,0.8421052631578948,191.0,0.9603841536614646,0.9861709113497206,0.9250094240545306
cello,openmic,openmic,0.7380952380952381,0.8230088495575221,0.7782426778242678,226.0,0.7814432989690722,0.866146171455906,0.8200453814476076
clarinet,openmic,openmic,0.3619402985074627,0.708029197080292,0.47901234567901224,137.0,0.6703125,0.7479647661476396,0.4379393491985794
flute,openmic,openmic,0.49808429118773945,0.7428571428571429,0.5963302752293578,175.0,0.6868327402135231,0.7958803986710963,0.6629052447823734
guitar,openmic,openmic,0.951048951048951,0.951048951048951,0.951048951048951,286.0,0.9357798165137615,0.9801165501165502,0.9898105489874899
organ,openmic,openmic,0.5354330708661418,0.5619834710743802,0.5483870967741936,121.0,0.740139211136891,0.7906691548920288,0.5648769338874227
piano,openmic,openmic,0.9355932203389831,0.968421052631579,0.9517241379310345,285.0,0.9325301204819277,0.9612145748987855,0.9786404054812903
saxophone,openmic,openmic,0.7950310559006211,0.839344262295082,0.8165869218500796,305.0,0.8171701112877583,0.8977636106051406,0.8876159351160176
trumpet,openmic,openmic,0.7155172413793104,0.7830188679245284,0.7477477477477479,318.0,0.7859872611464969,0.8582683527938264,0.7861269700695674
violin,openmic,openmic,0.8821917808219178,0.817258883248731,0.8484848484848484,394.0,0.8177496038034865,0.9127738867827541,0.9359287333177659
voice,openmic,openmic,0.9333333333333333,0.875,0.9032258064516129,224.0,0.8877005347593583,0.9599404761904762,0.9712230578661702
cello,irmas,openmic,0.631578947368421,0.6371681415929203,0.6343612334801763,226.0,0.6577319587628866,0.7053336522363072,0.6131224358170934
clarinet,irmas,openmic,0.30851063829787234,0.4233576642335766,0.3569230769230769,137.0,0.6734375,0.6597059975910957,0.3345156915832663
flute,irmas,openmic,0.4368231046931408,0.6914285714285714,0.5353982300884956,175.0,0.6263345195729537,0.7183462532299741,0.5691738222092508
guitar,irmas,openmic,0.9522058823529411,0.9055944055944056,0.9283154121863799,286.0,0.908256880733945,0.9643589743589743,0.9789576667428006
organ,irmas,openmic,0.3694581280788177,0.6198347107438017,0.46296296296296297,121.0,0.5962877030162413,0.6552386030391896,0.377388232583565
piano,irmas,openmic,0.9428571428571428,0.9263157894736842,0.9345132743362832,285.0,0.9108433734939759,0.9659649122807017,0.9845641884955638
saxophone,irmas,openmic,0.7282229965156795,0.6852459016393443,0.7060810810810811,305.0,0.7233704292527822,0.7906294272414491,0.7467628954204396
trumpet,irmas,openmic,0.6214285714285714,0.5471698113207547,0.5819397993311036,318.0,0.6815286624203821,0.7299839737114998,0.6290687704315676
violin,irmas,openmic,0.8078947368421052,0.7791878172588832,0.7932816537467701,394.0,0.7464342313787639,0.799492385786802,0.8553922992556623
voice,irmas,openmic,0.9476439790575916,0.8080357142857143,0.872289156626506,224.0,0.8582887700534759,0.9560119047619048,0.9641152680242019
cello,openmic,irmas,0.13035714285714287,0.776595744680851,0.22324159021406728,94.0,0.695078031212485,0.8210370310216014,0.362333326188981
clarinet,openmic,irmas,0.17235772357723578,0.8346456692913385,0.28571428571428575,127.0,0.6818727490996399,0.8450778448015636,0.41664382917056275
flute,openmic,irmas,0.11349036402569593,0.8760330578512396,0.20094786729857822,121.0,0.4939975990396158,0.7768702024659659,0.3316029638363736
guitar,openmic,irmas,0.35910878112712974,0.791907514450867,0.4941388638412985,346.0,0.6632653061224489,0.7902675599929935,0.5709037008728346
organ,openmic,irmas,0.2125,0.19540229885057472,0.20359281437125748,174.0,0.8403361344537815,0.6788735324026994,0.189234984774878
piano,openmic,irmas,0.23217247097844113,0.8235294117647058,0.3622250970245795,170.0,0.7040816326530612,0.836646744259201,0.45241982502494743
saxophone,openmic,irmas,0.18788819875776397,0.8066666666666666,0.3047858942065491,150.0,0.6686674669867947,0.8175549692172384,0.3726903095310558
trumpet,openmic,irmas,0.20578231292517007,0.8066666666666666,0.32791327913279134,150.0,0.7022809123649459,0.8453781882145999,0.48565137523155233
violin,openmic,irmas,0.1757679180887372,0.7202797202797203,0.2825788751714678,143.0,0.6860744297719088,0.7778583858688913,0.32586825526410673
voice,openmic,irmas,0.3839835728952772,0.9790575916230366,0.551622418879056,191.0,0.8175270108043218,0.9807862277043216,0.8822115090499628
