instrument,train_set,test_set,precision,recall,f1-score,support,accuracy,roc_auc,ap
cello,irmas,irmas,0.4514285714285714,0.8404255319148937,0.5873605947955389,94.0,0.9333733493397359,0.959179253965676,0.7355691080116389
clarinet,irmas,irmas,0.3931297709923664,0.8110236220472441,0.5295629820051414,127.0,0.89015606242497,0.9163021289005542,0.6942955420626999
flute,irmas,irmas,0.42792792792792794,0.7851239669421488,0.5539358600583091,121.0,0.9081632653061225,0.9348738933911043,0.6995680231941311
guitar,irmas,irmas,0.7254901960784313,0.8554913294797688,0.7851458885941646,346.0,0.9027611044417767,0.9659156594850237,0.8951939500430326
organ,irmas,irmas,0.726457399103139,0.9310344827586207,0.8161209068010076,174.0,0.9561824729891957,0.9867415487966472,0.8808751399081098
piano,irmas,irmas,0.7445652173913043,0.8058823529411765,0.7740112994350282,170.0,0.9519807923169268,0.9605379050015728,0.8415397405569818
saxophone,irmas,irmas,0.35798816568047337,0.8066666666666666,0.4959016393442623,150.0,0.8523409363745498,0.9060378188214602,0.5903670429937821
trumpet,irmas,irmas,0.5656108597285068,0.8333333333333334,0.6738544474393531,150.0,0.9273709483793517,0.9573658751099384,0.841748265771737
violin,irmas,irmas,0.41338582677165353,0.7342657342657343,0.5289672544080605,143.0,0.8877551020408163,0.908112898263916,0.6696913762413758
voice,irmas,irmas,0.8578199052132701,0.9476439790575916,0.9004975124378108,191.0,0.9759903961584634,0.9917721182003727,0.9488285054374681
cello,openmic,openmic,0.8025210084033614,0.8451327433628318,0.8232758620689655,226.0,0.8309278350515464,0.9110089862302252,0.8850402805232125
clarinet,openmic,openmic,0.3521594684385382,0.7737226277372263,0.4840182648401827,137.0,0.646875,0.7652479284874694,0.44286423271831055
flute,openmic,openmic,0.5075187969924813,0.7714285714285715,0.6122448979591837,175.0,0.6957295373665481,0.8149427833148765,0.7058115888954882
guitar,openmic,openmic,0.9890510948905109,0.9475524475524476,0.967857142857143,286.0,0.9587155963302753,0.9908391608391609,0.9960174725730184
organ,openmic,openmic,0.5782312925170068,0.7024793388429752,0.6343283582089552,121.0,0.7726218097447796,0.843881631564916,0.6506402426925816
piano,openmic,openmic,0.9395973154362416,0.9824561403508771,0.9605488850771869,285.0,0.944578313253012,0.9814304993252363,0.9908678420890545
saxophone,openmic,openmic,0.821875,0.8622950819672132,0.8416,305.0,0.8426073131955485,0.9175166970248938,0.9011254557420864
trumpet,openmic,openmic,0.7291666666666666,0.7704402515723271,0.7492354740061162,318.0,0.7910828025477707,0.8796614278210982,0.8386534506730146
violin,openmic,openmic,0.8877551020408163,0.883248730964467,0.8854961832061069,394.0,0.8573692551505546,0.9242005611600163,0.9449208884532746
voice,openmic,openmic,0.9441860465116279,0.90625,0.9248291571753987,224.0,0.9117647058823529,0.9756547619047619,0.9846590995603259
cello,irmas,openmic,0.6950354609929078,0.4336283185840708,0.5340599455040872,226.0,0.6474226804123712,0.7233915331260463,0.6871177121770209
clarinet,irmas,openmic,0.384,0.35036496350364965,0.36641221374045807,137.0,0.740625,0.6609830070670866,0.3513652393293594
flute,irmas,openmic,0.44206008583690987,0.5885714285714285,0.5049019607843136,175.0,0.6405693950177936,0.6835732742709487,0.4765009015665587
guitar,irmas,openmic,0.9651162790697675,0.8706293706293706,0.9154411764705882,286.0,0.8944954128440367,0.9604662004662006,0.9778981269504737
organ,irmas,openmic,0.49079754601226994,0.6611570247933884,0.5633802816901409,121.0,0.7122969837587007,0.7463343108504399,0.5594233020904744
piano,irmas,openmic,0.9694323144104804,0.7789473684210526,0.8638132295719844,285.0,0.8313253012048193,0.9440755735492578,0.9754438007037555
saxophone,irmas,openmic,0.7169811320754716,0.6229508196721312,0.6666666666666666,305.0,0.6979332273449921,0.7719287593604534,0.7540186075404687
trumpet,irmas,openmic,0.7511737089201878,0.5031446540880503,0.6026365348399246,318.0,0.7312101910828025,0.7980822323677157,0.716303141370862
violin,irmas,openmic,0.8444444444444444,0.6751269035532995,0.7503526093088858,394.0,0.7194928684627575,0.8236522521364775,0.8741843336490973
voice,irmas,openmic,0.9637305699481865,0.8303571428571429,0.8920863309352518,224.0,0.8796791443850267,0.970029761904762,0.9798895983570861
cello,openmic,irmas,0.14261460101867574,0.8936170212765957,0.24597364568081992,94.0,0.6908763505402161,0.8893941854799415,0.6044057647821757
clarinet,openmic,irmas,0.16713483146067415,0.937007874015748,0.2836710369487485,127.0,0.6392557022809123,0.8927465938102767,0.5797339061149503
flute,openmic,irmas,0.12956419316843346,0.9090909090909091,0.22680412371134023,121.0,0.5498199279711885,0.8697477867822087,0.5319049001571879
guitar,openmic,irmas,0.5081967213114754,0.8063583815028902,0.623463687150838,346.0,0.7977190876350541,0.8984629532317393,0.7181257348247613
organ,openmic,irmas,0.20689655172413793,0.13793103448275862,0.16551724137931034,174.0,0.8547418967587035,0.6051855104619271,0.1630438439663982
piano,openmic,irmas,0.19791666666666666,0.7823529411764706,0.3159144893111639,170.0,0.6542617046818727,0.818838471217364,0.527040394311347
saxophone,openmic,irmas,0.20576923076923076,0.7133333333333334,0.3194029850746269,150.0,0.7262905162064826,0.8072427440633244,0.329186715394971
trumpet,openmic,irmas,0.25918762088974856,0.8933333333333333,0.4017991004497751,150.0,0.7605042016806722,0.9113060686015831,0.6625223347871061
violin,openmic,irmas,0.19185059422750425,0.7902097902097902,0.3087431693989071,143.0,0.6962785114045619,0.8219836630867491,0.3538559828443791
voice,openmic,irmas,0.4276018099547511,0.9895287958115183,0.5971563981042654,191.0,0.8469387755102041,0.9852551246783211,0.8996889664847422
