instrument,train_set,test_set,precision,recall,f1-score,support,accuracy,roc_auc,ap
cello,irmas,irmas,0.35390946502057613,0.9148936170212766,0.5103857566765578,94.0,0.9009603841536614,0.9606545395484815,0.7602747267515042
clarinet,irmas,irmas,0.3612040133779264,0.8503937007874016,0.5070422535211268,127.0,0.8739495798319328,0.9300752610602038,0.7213859413916996
flute,irmas,irmas,0.42792792792792794,0.7851239669421488,0.5539358600583091,121.0,0.9081632653061225,0.9348738933911043,0.6995680231941311
guitar,irmas,irmas,0.7180094786729858,0.8757225433526011,0.7890625000000001,346.0,0.9027611044417767,0.9659003328078473,0.8915898806850526
organ,irmas,irmas,0.6509803921568628,0.9540229885057471,0.7738927738927739,174.0,0.9417767106842737,0.9872538596653415,0.8884312909647434
piano,irmas,irmas,0.734375,0.8294117647058824,0.7790055248618785,170.0,0.9519807923169268,0.9648081157596728,0.8640067545117782
saxophone,irmas,irmas,0.3514285714285714,0.82,0.492,150.0,0.8475390156062425,0.9115699208443273,0.6151055724125689
trumpet,irmas,irmas,0.5269709543568465,0.8466666666666667,0.6496163682864451,150.0,0.9177671068427371,0.95344327176781,0.8047987384369412
violin,irmas,irmas,0.3825503355704698,0.7972027972027972,0.5170068027210885,143.0,0.8721488595438175,0.9094490539007939,0.668279944509029
voice,irmas,irmas,0.7905982905982906,0.9685863874345549,0.8705882352941176,191.0,0.9669867947178872,0.993241636347502,0.9520271421293026
cello,openmic,openmic,0.8050847457627118,0.8407079646017699,0.8225108225108225,226.0,0.8309278350515464,0.9106160522089727,0.8858114798954558
clarinet,openmic,openmic,0.3814814814814815,0.7518248175182481,0.5061425061425061,137.0,0.6859375,0.7812540813513082,0.45899913493074573
flute,openmic,openmic,0.49097472924187724,0.7771428571428571,0.6017699115044248,175.0,0.6797153024911032,0.808313030638612,0.6945077949761869
guitar,openmic,openmic,0.9890510948905109,0.9475524475524476,0.967857142857143,286.0,0.9587155963302753,0.9908391608391609,0.9960174725730184
organ,openmic,openmic,0.5027624309392266,0.7520661157024794,0.6026490066225166,121.0,0.7215777262180975,0.8288989602772594,0.6284942179405644
piano,openmic,openmic,0.9554794520547946,0.9789473684210527,0.9670710571923744,285.0,0.9542168674698795,0.9859649122807017,0.9931496717976023
saxophone,openmic,openmic,0.821875,0.8622950819672132,0.8416,305.0,0.8426073131955485,0.9175166970248938,0.9011254557420864
trumpet,openmic,openmic,0.7291666666666666,0.7704402515723271,0.7492354740061162,318.0,0.7910828025477707,0.8796614278210982,0.8386534506730146
violin,openmic,openmic,0.896640826873385,0.8807106598984772,0.8886043533930857,394.0,0.8621236133122029,0.9336353316627042,0.952619339944064
voice,openmic,openmic,0.9318181818181818,0.9151785714285714,0.9234234234234233,224.0,0.9090909090909091,0.9706845238095239,0.9813316006513011
cello,irmas,openmic,0.6529850746268657,0.7743362831858407,0.7085020242914981,226.0,0.7030927835051546,0.7625995148119042,0.726911656943545
clarinet,irmas,openmic,0.37142857142857144,0.4744525547445255,0.4166666666666667,137.0,0.715625,0.6970440132925078,0.38541313015608547
flute,irmas,openmic,0.44206008583690987,0.5885714285714285,0.5049019607843136,175.0,0.6405693950177936,0.6835732742709487,0.4765009015665587
guitar,irmas,openmic,0.9736842105263158,0.9055944055944056,0.9384057971014493,286.0,0.9220183486238532,0.9825874125874126,0.9920520497857699
organ,irmas,openmic,0.43333333333333335,0.7520661157024794,0.5498489425981873,121.0,0.654292343387471,0.7649160223940283,0.5914767916967921
piano,irmas,openmic,0.9669421487603306,0.8210526315789474,0.888045540796964,285.0,0.8578313253012049,0.9561943319838055,0.9805785863095309
saxophone,irmas,openmic,0.7248322147651006,0.7081967213114754,0.7164179104477612,305.0,0.7281399046104928,0.7990487755515079,0.785110596017041
trumpet,irmas,openmic,0.6952380952380952,0.6886792452830188,0.6919431279620852,318.0,0.7515923566878981,0.8028901189177542,0.7362479375461395
violin,irmas,openmic,0.8693181818181818,0.7766497461928934,0.8203753351206434,394.0,0.7876386687797148,0.8542054873738997,0.9032648423250503
voice,irmas,openmic,0.9495412844036697,0.9241071428571429,0.9366515837104072,224.0,0.9251336898395722,0.974077380952381,0.9824819221250327
cello,openmic,irmas,0.15860735009671179,0.8723404255319149,0.2684124386252046,94.0,0.7316926770708283,0.895566022413513,0.6124752234703099
clarinet,openmic,irmas,0.1936056838365897,0.8582677165354331,0.3159420289855073,127.0,0.7166866746698679,0.8836958245716362,0.5653161195333216
flute,openmic,irmas,0.12746234067207415,0.9090909090909091,0.22357723577235772,121.0,0.5414165666266506,0.8704859718098906,0.527020382079086
guitar,openmic,irmas,0.5081967213114754,0.8063583815028902,0.623463687150838,346.0,0.7977190876350541,0.8984585741811175,0.7181203881207737
organ,openmic,irmas,0.11538461538461539,0.25862068965517243,0.1595744680851064,174.0,0.7154861944777912,0.5518589565806908,0.1290264076976529
piano,openmic,irmas,0.22644628099173553,0.8058823529411765,0.35354838709677416,170.0,0.6992797118847539,0.8449826989619377,0.5753861053315583
saxophone,openmic,irmas,0.20576923076923076,0.7133333333333334,0.3194029850746269,150.0,0.7262905162064826,0.8072427440633244,0.329186715394971
trumpet,openmic,irmas,0.25918762088974856,0.8933333333333333,0.4017991004497751,150.0,0.7605042016806722,0.911297273526825,0.6625201618557198
violin,openmic,irmas,0.20994475138121546,0.7972027972027972,0.33236151603498537,143.0,0.7250900360144058,0.8397164227761733,0.3938632781526319
voice,openmic,irmas,0.378,0.9895287958115183,0.5470332850940666,191.0,0.812124849939976,0.9824687194959624,0.8895905067652644
