instrument,train_set,test_set,precision,recall,f1-score,support,accuracy,roc_auc,ap
cello,irmas,irmas,0.4205128205128205,0.8723404255319149,0.5674740484429065,94.0,0.924969987995198,0.9631923014455093,0.7589753866511169
clarinet,irmas,irmas,0.3694915254237288,0.8582677165354331,0.5165876777251185,127.0,0.8775510204081632,0.9177193494088093,0.6840760164639961
flute,irmas,irmas,0.3741258741258741,0.8842975206611571,0.5257985257985258,121.0,0.8841536614645858,0.9413142902992859,0.7226273159868093
guitar,irmas,irmas,0.7015945330296127,0.8901734104046243,0.7847133757961784,346.0,0.8985594237695078,0.9658390260991416,0.8947194291488904
organ,irmas,irmas,0.642023346303502,0.9482758620689655,0.765661252900232,174.0,0.93937575030012,0.9870920772857539,0.8860089148282094
piano,irmas,irmas,0.6976744186046512,0.8823529411764706,0.7792207792207793,170.0,0.9489795918367347,0.9756212645486002,0.8932075816976134
saxophone,irmas,irmas,0.323943661971831,0.7666666666666667,0.4554455445544555,150.0,0.8349339735894358,0.8975681618293756,0.5213573707106974
trumpet,irmas,irmas,0.5263157894736842,0.8666666666666667,0.654911838790932,150.0,0.9177671068427371,0.9638610378188215,0.8457077115617806
violin,irmas,irmas,0.3888888888888889,0.7832167832167832,0.5197215777262181,143.0,0.8757503001200481,0.9097383247087777,0.6793375816617067
voice,irmas,irmas,0.7939914163090128,0.9685863874345549,0.8726415094339622,191.0,0.9675870348139256,0.9929789688526045,0.9480398009454852
cello,openmic,openmic,0.8068669527896996,0.831858407079646,0.8191721132897604,226.0,0.8288659793814434,0.9119656951515359,0.8881935707475705
clarinet,openmic,openmic,0.36619718309859156,0.7591240875912408,0.49406175771971494,137.0,0.6671875,0.7668151673898217,0.4488647637081641
flute,openmic,openmic,0.5189393939393939,0.7828571428571428,0.6241457858769931,175.0,0.7064056939501779,0.8186784791435955,0.706770876823308
guitar,openmic,openmic,0.9927272727272727,0.9545454545454546,0.9732620320855615,286.0,0.9655963302752294,0.9916550116550116,0.9964696563970196
organ,openmic,openmic,0.5507246376811594,0.628099173553719,0.5868725868725869,121.0,0.7517401392111369,0.8282324713409758,0.6334345011463656
piano,openmic,openmic,0.9455782312925171,0.9754385964912281,0.9602763385146805,285.0,0.944578313253012,0.9854520917678813,0.9928668127455136
saxophone,openmic,openmic,0.8164556962025317,0.8459016393442623,0.8309178743961353,305.0,0.8330683624801272,0.9149058894960534,0.9053972075314611
trumpet,openmic,openmic,0.7308868501529052,0.7515723270440252,0.7410852713178294,318.0,0.7872611464968153,0.8739579545607585,0.8335668809007156
violin,openmic,openmic,0.9110512129380054,0.8578680203045685,0.8836601307189542,394.0,0.8589540412044374,0.9355201439311187,0.9535185726109296
voice,openmic,openmic,0.9490740740740741,0.9151785714285714,0.9318181818181818,224.0,0.9197860962566845,0.9769642857142857,0.9859397982965716
cello,irmas,openmic,0.6926406926406926,0.7079646017699115,0.7002188183807441,226.0,0.7175257731958763,0.8031400553524447,0.7718737481574796
clarinet,irmas,openmic,0.3452914798206278,0.5620437956204379,0.42777777777777776,137.0,0.678125,0.6890772155388835,0.3835311741250337
flute,irmas,openmic,0.4612676056338028,0.7485714285714286,0.5708061002178648,175.0,0.6494661921708185,0.7322702104097453,0.609548195586916
guitar,irmas,openmic,0.9846743295019157,0.8986013986013986,0.9396709323583181,286.0,0.9243119266055045,0.980955710955711,0.9914836042245687
organ,irmas,openmic,0.47297297297297297,0.5785123966942148,0.5204460966542751,121.0,0.7006960556844548,0.7350306584910691,0.5573348268792603
piano,irmas,openmic,0.9688715953307393,0.8736842105263158,0.9188191881918819,285.0,0.8939759036144578,0.963778677462888,0.9837875388693693
saxophone,irmas,openmic,0.7454545454545455,0.8065573770491803,0.7748031496062993,305.0,0.7726550079491256,0.8506780004047764,0.8319175014522432
trumpet,irmas,openmic,0.6655948553054662,0.6509433962264151,0.6581875993640699,318.0,0.7261146496815286,0.7906010531561015,0.7238304279432758
violin,irmas,openmic,0.8971428571428571,0.7969543147208121,0.8440860215053763,394.0,0.8161648177496038,0.8730107734155798,0.9198648867866412
voice,irmas,openmic,0.9651741293532339,0.8660714285714286,0.9129411764705883,224.0,0.9010695187165776,0.9763392857142859,0.9846845114938375
cello,openmic,irmas,0.2569444444444444,0.7872340425531915,0.38743455497382195,94.0,0.8595438175270108,0.8866263331709165,0.6035660273566336
clarinet,openmic,irmas,0.3484848484848485,0.7244094488188977,0.47058823529411764,127.0,0.8757503001200481,0.8801604477802848,0.5955377455600394
flute,openmic,irmas,0.21568627450980393,0.8181818181818182,0.3413793103448276,121.0,0.7707082833133253,0.8515285244323197,0.5249682166519292
guitar,openmic,irmas,0.5730593607305936,0.7254335260115607,0.6403061224489797,346.0,0.8307322929171669,0.8936087756174461,0.7139721461499088
organ,openmic,irmas,0.21768707482993196,0.1839080459770115,0.19937694704049844,174.0,0.8457382953181273,0.5531840313087424,0.16283383735107212
piano,openmic,irmas,0.2639821029082774,0.6941176470588235,0.38249594813614257,170.0,0.7713085234093637,0.8406810317709972,0.603539193859717
saxophone,openmic,irmas,0.26330532212885155,0.6266666666666667,0.3708086785009862,150.0,0.8085234093637454,0.8175813544415127,0.34651997808695956
trumpet,openmic,irmas,0.3838383838383838,0.76,0.5100671140939597,150.0,0.868547418967587,0.8994459102902375,0.577325304669559
violin,openmic,irmas,0.296875,0.6643356643356644,0.4103671706263499,143.0,0.8361344537815126,0.8284073116640417,0.38444715912295446
voice,openmic,irmas,0.5880503144654088,0.9790575916230366,0.7347740667976425,191.0,0.918967587034814,0.9860573254059809,0.9188762080120183
