instrument,train_set,test_set,precision,recall,f1-score,support,accuracy,roc_auc,ap
cello,irmas,irmas,0.4205128205128205,0.8723404255319149,0.5674740484429065,94.0,0.924969987995198,0.9631923014455093,0.7589758929828255
clarinet,irmas,irmas,0.36824324324324326,0.8582677165354331,0.5153664302600474,127.0,0.8769507803121248,0.9176221393378458,0.6840913565038278
flute,irmas,irmas,0.3741258741258741,0.8842975206611571,0.5257985257985258,121.0,0.8841536614645858,0.9412982427986841,0.722618537911245
guitar,irmas,irmas,0.7015945330296127,0.8901734104046243,0.7847133757961784,346.0,0.8985594237695078,0.965832457523209,0.8946955893257562
organ,irmas,irmas,0.642023346303502,0.9482758620689655,0.765661252900232,174.0,0.93937575030012,0.9871036331700102,0.8861504534211508
piano,irmas,irmas,0.6944444444444444,0.8823529411764706,0.7772020725388601,170.0,0.9483793517406963,0.9756251966027053,0.8931384378293662
saxophone,irmas,irmas,0.323943661971831,0.7666666666666667,0.4554455445544555,150.0,0.8349339735894358,0.8975373790677221,0.5214413630511082
trumpet,irmas,irmas,0.5263157894736842,0.8666666666666667,0.654911838790932,150.0,0.9177671068427371,0.9638170624450308,0.845872465978634
violin,irmas,irmas,0.3902439024390244,0.7832167832167832,0.5209302325581395,143.0,0.8763505402160864,0.9097061835078906,0.6792257867763861
voice,irmas,irmas,0.7939914163090128,0.9685863874345549,0.8726415094339622,191.0,0.9675870348139256,0.9929647706096371,0.9477395287272318
cello,openmic,openmic,0.8068669527896996,0.831858407079646,0.8191721132897604,226.0,0.8288659793814434,0.9120681996788191,0.8883023152919548
clarinet,openmic,openmic,0.36619718309859156,0.7591240875912408,0.49406175771971494,137.0,0.6671875,0.7667571215045494,0.44878943366383367
flute,openmic,openmic,0.5189393939393939,0.7828571428571428,0.6241457858769931,175.0,0.7064056939501779,0.8185898855666296,0.7067606091724798
guitar,openmic,openmic,0.9927272727272727,0.9545454545454546,0.9732620320855615,286.0,0.9655963302752294,0.9916550116550116,0.9964696563970196
organ,openmic,openmic,0.5507246376811594,0.628099173553719,0.5868725868725869,121.0,0.7517401392111369,0.8282324713409758,0.633503861519257
piano,openmic,openmic,0.9455782312925171,0.9754385964912281,0.9602763385146805,285.0,0.944578313253012,0.9854790823211876,0.9928781729052285
saxophone,openmic,openmic,0.8164556962025317,0.8459016393442623,0.8309178743961353,305.0,0.8330683624801272,0.9147642177696822,0.90527379064817
trumpet,openmic,openmic,0.7331288343558282,0.7515723270440252,0.7422360248447205,318.0,0.7885350318471338,0.8738838834794553,0.8335045344090756
violin,openmic,openmic,0.9110512129380054,0.8578680203045685,0.8836601307189542,394.0,0.8589540412044374,0.9355415622523506,0.9535330812594409
voice,openmic,openmic,0.9490740740740741,0.9151785714285714,0.9318181818181818,224.0,0.9197860962566845,0.9770238095238095,0.9859825643252453
cello,irmas,openmic,0.6896551724137931,0.7079646017699115,0.6986899563318778,226.0,0.7154639175257732,0.8031400553524447,0.7718215037410457
clarinet,irmas,openmic,0.3452914798206278,0.5620437956204379,0.42777777777777776,137.0,0.678125,0.6890772155388835,0.38414194212584957
flute,irmas,openmic,0.4612676056338028,0.7485714285714286,0.5708061002178648,175.0,0.6494661921708185,0.732093023255814,0.60915187234427
guitar,irmas,openmic,0.9846743295019157,0.8986013986013986,0.9396709323583181,286.0,0.9243119266055045,0.9810256410256412,0.9915288751098468
organ,irmas,openmic,0.47297297297297297,0.5785123966942148,0.5204460966542751,121.0,0.7006960556844548,0.7347374033591043,0.5571748925785419
piano,irmas,openmic,0.9688715953307393,0.8736842105263158,0.9188191881918819,285.0,0.8939759036144578,0.9637516869095817,0.983771184511463
saxophone,irmas,openmic,0.7454545454545455,0.8065573770491803,0.7748031496062993,305.0,0.7726550079491256,0.8506476421776967,0.8318863888641295
trumpet,irmas,openmic,0.6655948553054662,0.6509433962264151,0.6581875993640699,318.0,0.7261146496815286,0.7904327097895035,0.7237183348313702
violin,irmas,openmic,0.8971428571428571,0.7969543147208121,0.8440860215053763,394.0,0.8161648177496038,0.8730107734155798,0.9199116008282049
voice,irmas,openmic,0.9651741293532339,0.8660714285714286,0.9129411764705883,224.0,0.9010695187165776,0.9764583333333334,0.9847828582235422
cello,openmic,irmas,0.2569444444444444,0.7872340425531915,0.38743455497382195,94.0,0.8595438175270108,0.886666937361269,0.603486286648617
clarinet,openmic,irmas,0.34980988593155893,0.7244094488188977,0.47179487179487184,127.0,0.8763505402160864,0.8800325397921751,0.5953181382129528
flute,openmic,irmas,0.21663019693654267,0.8181818181818182,0.342560553633218,121.0,0.7719087635054022,0.8515445719329214,0.5251223019215735
guitar,openmic,irmas,0.5730593607305936,0.7254335260115607,0.6403061224489797,346.0,0.8307322929171669,0.8936635137502189,0.7143410348465793
organ,openmic,irmas,0.2191780821917808,0.1839080459770115,0.2,174.0,0.8463385354141657,0.5530029891220609,0.16281384524738254
piano,openmic,irmas,0.2639821029082774,0.6941176470588235,0.38249594813614257,170.0,0.7713085234093637,0.8407714690154136,0.6037283340678649
saxophone,openmic,irmas,0.26330532212885155,0.6266666666666667,0.3708086785009862,150.0,0.8085234093637454,0.8174934036939313,0.3466315333822147
trumpet,openmic,irmas,0.3838383838383838,0.76,0.5100671140939597,150.0,0.868547418967587,0.8993843447669305,0.5767491638573317
violin,openmic,irmas,0.29780564263322884,0.6643356643356644,0.41125541125541126,143.0,0.8367346938775511,0.8283568040626477,0.384509985128789
voice,openmic,irmas,0.5880503144654088,0.9790575916230366,0.7347740667976425,191.0,0.918967587034814,0.9860395776022718,0.9190202224992511
