instrument,embedding,train set,cosine similarity
cello,openl3,irmas,0.027765113728399758
clarinet,openl3,irmas,-0.03872850548638703
flute,openl3,irmas,-0.022631299623693882
guitar,openl3,irmas,0.021069092416029327
organ,openl3,irmas,-6.260178364553629e-05
piano,openl3,irmas,-0.03310264927836266
saxophone,openl3,irmas,0.026126301846341512
trumpet,openl3,irmas,-0.006180018732405772
violin,openl3,irmas,0.01959044164046115
voice,openl3,irmas,0.0028978751246628576
cello,openl3,openmic,0.0013463606888304228
clarinet,openl3,openmic,-0.054903776661134704
flute,openl3,openmic,-0.05439088578462503
guitar,openl3,openmic,-0.025781990719424008
organ,openl3,openmic,0.004000492550442162
piano,openl3,openmic,0.0015390865831303585
saxophone,openl3,openmic,-0.0538950486734759
trumpet,openl3,openmic,-0.029238015584803587
violin,openl3,openmic,0.02954539889447125
voice,openl3,openmic,0.013092803133667051
cello,vggish,irmas,0.350636114479868
clarinet,vggish,irmas,0.04734219988238606
flute,vggish,irmas,-0.12895193376233127
guitar,vggish,irmas,0.03299295332531203
organ,vggish,irmas,0.18795076731609955
piano,vggish,irmas,0.1117060843742796
saxophone,vggish,irmas,0.23506973391001956
trumpet,vggish,irmas,0.5450346832002307
violin,vggish,irmas,0.09217869253046324
voice,vggish,irmas,0.1298230710052968
cello,vggish,openmic,-0.10945464920122193
clarinet,vggish,openmic,0.18049045619195567
flute,vggish,openmic,0.2367001355152794
guitar,vggish,openmic,-0.07757684629816275
organ,vggish,openmic,0.12808245271622182
piano,vggish,openmic,-0.0917229133941805
saxophone,vggish,openmic,0.08362339030342618
trumpet,vggish,openmic,-0.011076608162552123
violin,vggish,openmic,0.16355046040271273
voice,vggish,openmic,0.07492386841673118
cello,yamnet,irmas,0.0019734054859467404
clarinet,yamnet,irmas,0.0004228238534939494
flute,yamnet,irmas,0.0026312594103384632
guitar,yamnet,irmas,0.0005192220582644998
organ,yamnet,irmas,0.0016224505015661143
piano,yamnet,irmas,-0.0025431653131821465
saxophone,yamnet,irmas,0.00682377416108646
trumpet,yamnet,irmas,0.0016357040941157124
violin,yamnet,irmas,0.0039884834225688255
voice,yamnet,irmas,0.003648599241493653
cello,yamnet,openmic,0.0004103524329374909
clarinet,yamnet,openmic,0.0012639481013966634
flute,yamnet,openmic,-0.0028103981076803806
guitar,yamnet,openmic,-0.002245574595802853
organ,yamnet,openmic,0.00023537995024655725
piano,yamnet,openmic,-0.000927429020781068
saxophone,yamnet,openmic,0.0014342547330584102
trumpet,yamnet,openmic,-0.0023946572893004097
violin,yamnet,openmic,-0.001436666901361967
voice,yamnet,openmic,0.0008045122786956124
