,embedding,instrument,train_set,test_set,precision,recall,f1-score,support,accuracy,roc_auc,ap
0,vggish,cello,irmas,irmas,0.0689655172413793,0.4680851063829787,0.1202185792349726,94.0,0.6134453781512605,0.5527922148232365,0.0673863098679115
1,vggish,clarinet,irmas,irmas,0.0803030303030303,0.4173228346456692,0.1346886912325285,127.0,0.5912364945978391,0.5183343310156406,0.0905974867385575
2,vggish,flute,irmas,irmas,0.0729166666666666,0.4049586776859504,0.1235813366960908,121.0,0.5828331332533013,0.5061542164807831,0.0737211990732883
3,vggish,guitar,irmas,irmas,0.2061978545887962,0.5,0.2919831223628692,346.0,0.4963985594237695,0.5032295498335961,0.2206800122493717
4,vggish,organ,irmas,irmas,0.1033519553072625,0.425287356321839,0.1662921348314606,174.0,0.5546218487394958,0.4907398847493144,0.1050860566764947
5,vggish,piano,irmas,irmas,0.0994413407821229,0.5235294117647059,0.1671361502347418,170.0,0.4675870348139255,0.4975778546712803,0.1038152261353303
6,vggish,saxophone,irmas,irmas,0.0936675461741424,0.4733333333333333,0.1563876651982379,150.0,0.5402160864345739,0.5220448548812665,0.0966457867669584
7,vggish,trumpet,irmas,irmas,0.088235294117647,0.4,0.144578313253012,150.0,0.5738295318127251,0.4808751099384344,0.090456311033849
8,vggish,violin,irmas,irmas,0.0715287517531556,0.3566433566433566,0.1191588785046729,143.0,0.5474189675870348,0.4520430324763876,0.0820083298402314
9,vggish,voice,irmas,irmas,0.1091954022988505,0.3979057591623036,0.1713641488162345,191.0,0.5588235294117647,0.4847209157866714,0.1309057979675815
10,vggish,cello,openmic,openmic,0.4377682403433476,0.4513274336283185,0.4444444444444445,226.0,0.4742268041237113,0.461782895411214,0.4436469793542015
11,vggish,clarinet,openmic,openmic,0.2019543973941368,0.4525547445255474,0.2792792792792793,137.0,0.5,0.4740462335476194,0.2186226190184412
12,vggish,flute,openmic,openmic,0.32421875,0.4742857142857143,0.3851508120649652,175.0,0.5284697508896797,0.4982355112587671,0.3283047276775533
13,vggish,guitar,openmic,openmic,0.6491228070175439,0.5174825174825175,0.575875486381323,286.0,0.5,0.4882284382284382,0.6610129373538928
14,vggish,organ,openmic,openmic,0.2956989247311828,0.4545454545454545,0.3583061889250814,121.0,0.54292343387471,0.5364169554785391,0.3136745100360788
15,vggish,piano,openmic,openmic,0.7075471698113207,0.5263157894736842,0.6036217303822937,285.0,0.5253012048192771,0.5324966261808367,0.7280649456685195
16,vggish,saxophone,openmic,openmic,0.4637223974763407,0.4819672131147541,0.472668810289389,305.0,0.4785373608903021,0.4753491196114147,0.4943156143702667
17,vggish,trumpet,openmic,openmic,0.4184782608695652,0.4842767295597484,0.4489795918367346,318.0,0.5184713375796178,0.5114136802553432,0.4128710285848171
18,vggish,violin,openmic,openmic,0.6241830065359477,0.4847715736040609,0.5457142857142857,394.0,0.4960380348652932,0.5111053995587826,0.6328795769946599
19,vggish,voice,openmic,openmic,0.6282722513089005,0.5357142857142857,0.5783132530120481,224.0,0.5320855614973262,0.5300892857142857,0.6273458757878836
20,vggish,cello,irmas,openmic,0.4316939890710382,0.3495575221238938,0.3863080684596576,226.0,0.4824742268041237,0.4996754023302696,0.4788026758797402
21,vggish,clarinet,irmas,openmic,0.216867469879518,0.2627737226277372,0.2376237623762376,137.0,0.6390625,0.521513256229049,0.2299334240001715
22,vggish,flute,irmas,openmic,0.3198198198198198,0.4057142857142857,0.3576826196473551,175.0,0.5462633451957295,0.4983241048357327,0.32061926339461
23,vggish,guitar,irmas,openmic,0.6345177664974619,0.4370629370629371,0.5175983436853002,286.0,0.4655963302752293,0.4737995337995338,0.6604591452591522
24,vggish,organ,irmas,openmic,0.2936507936507936,0.3057851239669421,0.2995951417004048,121.0,0.5986078886310905,0.5354038922953879,0.2913533604911896
25,vggish,piano,irmas,openmic,0.7297297297297297,0.3789473684210526,0.4988452655889146,285.0,0.4771084337349398,0.5201349527665317,0.7120890029745639
26,vggish,saxophone,irmas,openmic,0.4915254237288136,0.4754098360655737,0.4833333333333333,305.0,0.5071542130365659,0.5073972879983809,0.5078793696002577
27,vggish,trumpet,irmas,openmic,0.3967828418230563,0.4654088050314465,0.4283646888567294,318.0,0.4968152866242038,0.507918871964769,0.4387625634368004
28,vggish,violin,irmas,openmic,0.6160714285714286,0.1751269035532995,0.2727272727272727,394.0,0.4167987321711568,0.4992289404356486,0.6364640233970816
29,vggish,voice,irmas,openmic,0.5947368421052631,0.5044642857142857,0.5458937198067633,224.0,0.4973262032085561,0.4836607142857142,0.600957626791414
30,vggish,cello,openmic,irmas,0.0651387213510253,0.574468085106383,0.1170097508125677,94.0,0.5108043217286915,0.5361715662389692,0.0605579528997995
31,vggish,clarinet,openmic,irmas,0.0748663101604278,0.2204724409448819,0.1117764471057884,127.0,0.7328931572629052,0.5173417650279096,0.0785847393808295
32,vggish,flute,openmic,irmas,0.062363238512035,0.4710743801652892,0.1101449275362319,121.0,0.4471788715486194,0.451844125277488,0.065975353461016
