instrument,embedding,train set,cosine similarity
cello,vggish-k,irmas,-0.17811908372391466
cello,vggish-k,openmic,0.09641754756216214
cello,openl3-k,irmas,-0.19007458776552377
cello,openl3-k,openmic,0.07043457494391753
cello,yamnet-k,irmas,-0.10184709449514671
cello,yamnet-k,openmic,0.09988066650918564
clarinet,vggish-k,irmas,-0.2504467699345914
clarinet,vggish-k,openmic,0.1444481390885608
clarinet,openl3-k,irmas,-0.28827623596050733
clarinet,openl3-k,openmic,0.17596747691941855
clarinet,yamnet-k,irmas,-0.21207506524805878
clarinet,yamnet-k,openmic,0.13502793973742055
flute,vggish-k,irmas,-0.0852402035453279
flute,vggish-k,openmic,0.14181613203081367
flute,openl3-k,irmas,-0.21681835489894435
flute,openl3-k,openmic,0.2241165023452797
flute,yamnet-k,irmas,-0.2204432942257763
flute,yamnet-k,openmic,0.16478492072881862
guitar,vggish-k,irmas,-0.03857842421718029
guitar,vggish-k,openmic,0.09397183656424432
guitar,openl3-k,irmas,-0.07687096795281301
guitar,openl3-k,openmic,0.07738450715093592
guitar,yamnet-k,irmas,-0.06208229236504568
guitar,yamnet-k,openmic,0.07045839344824192
organ,vggish-k,irmas,-0.1220285165591008
organ,vggish-k,openmic,0.0731157088670541
organ,openl3-k,irmas,-0.20110528008322576
organ,openl3-k,openmic,0.10098026404553297
organ,yamnet-k,irmas,-0.1556983662548188
organ,yamnet-k,openmic,0.07669952152625964
piano,vggish-k,irmas,-0.06264728433982264
piano,vggish-k,openmic,0.07825311682765816
piano,openl3-k,irmas,-0.08048027910490625
piano,openl3-k,openmic,0.09565387807428832
piano,yamnet-k,irmas,-0.04969134736628841
piano,yamnet-k,openmic,0.07265023884918786
saxophone,vggish-k,irmas,-0.15972717281653603
saxophone,vggish-k,openmic,0.17702876009480473
saxophone,openl3-k,irmas,-0.17722147632566831
saxophone,openl3-k,openmic,0.09673727693142795
saxophone,yamnet-k,irmas,-0.13586170784223142
saxophone,yamnet-k,openmic,0.11840515364505147
trumpet,vggish-k,irmas,-0.08450394946507829
trumpet,vggish-k,openmic,0.06787513216247734
trumpet,openl3-k,irmas,-0.22363199062948658
trumpet,openl3-k,openmic,0.09837621906027172
trumpet,yamnet-k,irmas,-0.15498462223978804
trumpet,yamnet-k,openmic,0.10657824897188334
violin,vggish-k,irmas,-0.0743926480692207
violin,vggish-k,openmic,0.14020410623055432
violin,openl3-k,irmas,-0.1576094871886009
violin,openl3-k,openmic,0.10682453960258124
violin,yamnet-k,irmas,-0.06726225203217401
violin,yamnet-k,openmic,0.10452372835762795
voice,vggish-k,irmas,-0.06225971260457775
voice,vggish-k,openmic,0.06468382578814288
voice,openl3-k,irmas,-0.0779455049218532
voice,openl3-k,openmic,0.07663305423803324
voice,yamnet-k,irmas,-0.0773722744160658
voice,yamnet-k,openmic,0.11543963867992921
