instrument,embedding,train set,cosine similarity
cello,vggish,irmas,-0.08886815406637971
cello,vggish,openmic,0.04392351022821098
cello,openl3,irmas,-0.13580806894630068
cello,openl3,openmic,0.05607397443637592
cello,yamnet,irmas,-0.014197882070174021
cello,yamnet,openmic,9.734798962489442e-05
clarinet,vggish,irmas,-0.393937279383342
clarinet,vggish,openmic,-0.07352412098721474
clarinet,openl3,irmas,-0.1027507018016435
clarinet,openl3,openmic,0.03864086673953035
clarinet,yamnet,irmas,-0.0028224101931826106
clarinet,yamnet,openmic,-0.0006703044090599347
flute,vggish,irmas,-0.059747802783482615
flute,vggish,openmic,0.04259590081184033
flute,openl3,irmas,-0.16844551332119156
flute,openl3,openmic,0.0961708316683945
flute,yamnet,irmas,-0.0004756314889994971
flute,yamnet,openmic,-0.00025401138254989313
guitar,vggish,irmas,-0.0500904048182304
guitar,vggish,openmic,0.035038789763357905
guitar,openl3,irmas,-0.05506746198822797
guitar,openl3,openmic,0.029875864643418713
guitar,yamnet,irmas,-0.002541311987219101
guitar,yamnet,openmic,0.0001977261965873283
organ,vggish,irmas,-0.21501669773833054
organ,vggish,openmic,0.15865560968624964
organ,openl3,irmas,-0.054046183844536064
organ,openl3,openmic,0.03320814862675719
organ,yamnet,irmas,-0.017223359703466553
organ,yamnet,openmic,0.02092674283095999
piano,vggish,irmas,-0.1009435802728508
piano,vggish,openmic,0.04153200533991889
piano,openl3,irmas,-0.05998599130486744
piano,openl3,openmic,-0.005826591546121928
piano,yamnet,irmas,-0.0019330984722466297
piano,yamnet,openmic,9.283691323553024e-05
saxophone,vggish,irmas,-0.08540293216883763
saxophone,vggish,openmic,0.01804295343078602
saxophone,openl3,irmas,-0.010440791516140094
saxophone,openl3,openmic,0.027339883671120946
saxophone,yamnet,irmas,-0.0049065834409095475
saxophone,yamnet,openmic,0.0003869441372860961
trumpet,vggish,irmas,-0.19851908459126644
trumpet,vggish,openmic,-0.06894158904447982
trumpet,openl3,irmas,-0.12021325222449396
trumpet,openl3,openmic,0.0775384739380228
trumpet,yamnet,irmas,-0.009787687805631919
trumpet,yamnet,openmic,-0.002043410789994554
violin,vggish,irmas,-0.016759693078712654
violin,vggish,openmic,0.08618364239223555
violin,openl3,irmas,-0.0396424374832533
violin,openl3,openmic,0.03167626087869724
violin,yamnet,irmas,-0.0009073237159100394
violin,yamnet,openmic,-5.734424793365966e-05
voice,vggish,irmas,-0.03886694450916213
voice,vggish,openmic,-0.00758846814738267
voice,openl3,irmas,-0.08536955523007439
voice,openl3,openmic,0.02983839705194386
voice,yamnet,irmas,-0.00044887112903823517
voice,yamnet,openmic,-0.00019034907167646276
