instrument,train_set,test_set,precision,recall,f1-score,support,accuracy,roc_auc,ap,embedding
cello,irmas,irmas,0.3015267175572519,0.8404255319148937,0.4438202247191011,94.0,0.8811524609843937,0.9419766119863572,0.6042162765192624,vggish
clarinet,irmas,irmas,0.2970027247956403,0.8582677165354331,0.4412955465587044,127.0,0.8343337334933973,0.9015875939484173,0.5907064158870868,vggish
flute,irmas,irmas,0.3310104529616725,0.7851239669421488,0.4656862745098039,121.0,0.8691476590636255,0.9033886972104096,0.6236143314373876,vggish
guitar,irmas,irmas,0.5584905660377358,0.8554913294797688,0.6757990867579908,346.0,0.82953181272509,0.9275945874934314,0.814941720357818,vggish
organ,irmas,irmas,0.4653179190751445,0.9252873563218392,0.6192307692307691,174.0,0.8811524609843937,0.9666266062679116,0.7598714716810079,vggish
piano,irmas,irmas,0.5697674418604651,0.8647058823529412,0.6869158878504672,170.0,0.9195678271308524,0.9553515256369928,0.8183556442529047,vggish
saxophone,irmas,irmas,0.2709832134292566,0.7533333333333333,0.3985890652557319,150.0,0.7953181272509003,0.8564643799472296,0.4687858603223467,vggish
trumpet,irmas,irmas,0.3932203389830508,0.7733333333333333,0.5213483146067415,150.0,0.8721488595438175,0.8935400175901494,0.660317017265432,vggish
violin,irmas,irmas,0.2657142857142857,0.6503496503496503,0.3772819472616633,143.0,0.8157262905162065,0.8269930988250096,0.4703057100553884,vggish
voice,irmas,irmas,0.685823754789272,0.93717277486911,0.7920353982300884,191.0,0.943577430972389,0.9862525512467832,0.921835029506204,vggish
cello,irmas,openmic,0.6884057971014492,0.8407079646017699,0.7569721115537847,113.0,0.7188940092165899,0.8046289993192648,0.7942301974114456,vggish
clarinet,irmas,openmic,0.3511450381679389,0.6301369863013698,0.4509803921568627,73.0,0.6421725239616614,0.6799657534246575,0.3908237567730719,vggish
flute,irmas,openmic,0.4245283018867924,0.6338028169014085,0.5084745762711865,71.0,0.6434426229508197,0.7298705527965481,0.5773715820938644,vggish
guitar,irmas,openmic,0.9580838323353292,0.8839779005524862,0.9195402298850576,181.0,0.8893280632411067,0.9680785758133824,0.9865969594569928,vggish
organ,irmas,openmic,0.4337349397590361,0.7058823529411765,0.537313432835821,51.0,0.6630434782608695,0.7414123544154504,0.5212782620665798,vggish
piano,irmas,openmic,0.9513513513513514,0.9565217391304348,0.953929539295393,184.0,0.931726907630522,0.9569397993311036,0.98262566224757,vggish
saxophone,irmas,openmic,0.7929292929292929,0.7440758293838863,0.767726161369193,211.0,0.7519582245430809,0.8240383555604541,0.8178441301003782,vggish
trumpet,irmas,openmic,0.7058823529411765,0.6741573033707865,0.6896551724137931,178.0,0.7251908396946565,0.8029265743402142,0.7664449537059917,vggish
violin,irmas,openmic,0.8836206896551724,0.8798283261802575,0.8817204301075269,233.0,0.8391812865497076,0.8969957081545065,0.9372391699821322,vggish
voice,irmas,openmic,0.9380530973451328,0.913793103448276,0.925764192139738,116.0,0.91005291005291,0.9763816721776098,0.98618028053124,vggish
cello,openmic,openmic,0.8053097345132744,0.8053097345132744,0.8053097345132744,113.0,0.7972350230414746,0.8860619469026548,0.8695061508731302,vggish
clarinet,openmic,openmic,0.3541666666666667,0.6986301369863014,0.4700460829493088,73.0,0.6325878594249201,0.7110730593607305,0.3800120835137655,vggish
flute,openmic,openmic,0.4655172413793103,0.7605633802816901,0.5775401069518716,71.0,0.6762295081967213,0.7834405275584141,0.6057727278448702,vggish
guitar,openmic,openmic,0.9886363636363636,0.9613259668508288,0.9747899159663864,181.0,0.9644268774703556,0.9899478207489256,0.9960275380760206,vggish
organ,openmic,openmic,0.6333333333333333,0.3725490196078431,0.4691358024691358,51.0,0.7663043478260869,0.8202860091404983,0.619314062571137,vggish
piano,openmic,openmic,0.9621621621621622,0.967391304347826,0.964769647696477,184.0,0.9477911646586346,0.9751672240802676,0.9899055736905612,vggish
saxophone,openmic,openmic,0.8,0.8341232227488151,0.8167053364269141,211.0,0.793733681462141,0.8955692714647856,0.9081576071695662,vggish
trumpet,openmic,openmic,0.7446808510638298,0.7865168539325843,0.7650273224043715,178.0,0.7811704834605598,0.8552652207995819,0.8313916332949384,vggish
violin,openmic,openmic,0.9170506912442395,0.8540772532188842,0.8844444444444445,233.0,0.847953216374269,0.9058943969760208,0.9424594227639758,vggish
voice,openmic,openmic,0.9464285714285714,0.913793103448276,0.9298245614035088,116.0,0.9153439153439152,0.9727208313651394,0.9812488014680308,vggish
cello,openmic,irmas,0.1776155717761557,0.776595744680851,0.2891089108910891,94.0,0.7845138055222088,0.8511721076281739,0.4298655234696811,vggish
clarinet,openmic,irmas,0.2040441176470588,0.8740157480314961,0.3308494783904619,127.0,0.7304921968787516,0.8788353210234686,0.5057848443719664,vggish
flute,openmic,irmas,0.1797556719022687,0.8512396694214877,0.2968299711815562,121.0,0.7070828331332533,0.8523736927973469,0.4588363091083436,vggish
guitar,openmic,irmas,0.4712643678160919,0.8294797687861272,0.6010471204188481,346.0,0.7713085234093637,0.8758736205990542,0.6844669212409975,vggish
organ,openmic,irmas,0.0666666666666666,0.0229885057471264,0.0341880341880341,174.0,0.8643457382953181,0.5461041262210717,0.1117833176423673,vggish
piano,openmic,irmas,0.4006622516556291,0.711764705882353,0.5127118644067796,170.0,0.8619447779111644,0.852807486631016,0.6638210989755419,vggish
saxophone,openmic,irmas,0.1959706959706959,0.7133333333333334,0.3074712643678161,150.0,0.7106842737094838,0.7966622691292876,0.304162306959345,vggish
