instrument,train_set,test_set,precision,recall,f1-score,support,accuracy,roc_auc,ap,embedding
cello,irmas,irmas,0.3933649289099526,0.8829787234042553,0.5442622950819672,94.0,0.9165666266506602,0.9647420280439608,0.7078830643766176,openl3-k
clarinet,irmas,irmas,0.42857142857142855,0.6850393700787402,0.5272727272727272,127.0,0.9063625450180072,0.9087862555192296,0.6705179901208893,openl3-k
flute,irmas,irmas,0.3152542372881356,0.768595041322314,0.44711538461538464,121.0,0.8619447779111644,0.8959533552649175,0.5781707345169723,openl3-k
guitar,irmas,irmas,0.5467980295566502,0.9624277456647399,0.6973821989528796,346.0,0.826530612244898,0.9587821860220703,0.8374908202646985,openl3-k
organ,irmas,irmas,0.6788617886178862,0.9597701149425287,0.7952380952380952,174.0,0.9483793517406963,0.9877777264182921,0.8888424781156896,openl3-k
piano,irmas,irmas,0.6416666666666667,0.9058823529411765,0.751219512195122,170.0,0.9387755102040817,0.973285624410192,0.8992388951425404,openl3-k
saxophone,irmas,irmas,0.27828054298642535,0.82,0.4155405405405405,150.0,0.7923169267707083,0.8854133685136323,0.5029219406841486,openl3-k
trumpet,irmas,irmas,0.5299145299145299,0.8266666666666667,0.6458333333333334,150.0,0.9183673469387755,0.9404881266490764,0.7718494902795558,openl3-k
violin,irmas,irmas,0.28391959798994976,0.7902097902097902,0.4177449168207024,143.0,0.8109243697478992,0.8816698731340884,0.49232027170907694,openl3-k
voice,irmas,irmas,0.6550522648083623,0.9842931937172775,0.7866108786610879,191.0,0.9387755102040817,0.9920347856952701,0.9579349408293969,openl3-k
cello,irmas,openmic,0.6756756756756757,0.4424778761061947,0.5347593582887701,113.0,0.5990783410138248,0.708645336963921,0.6879484566994929,openl3-k
clarinet,irmas,openmic,0.5625,0.1232876712328767,0.20224719101123595,73.0,0.7731629392971247,0.6675228310502282,0.40830858366216205,openl3-k
flute,irmas,openmic,0.5517241379310345,0.4507042253521127,0.4961240310077519,71.0,0.7336065573770492,0.7809167141577791,0.5647213583042594,openl3-k
guitar,irmas,openmic,0.9666666666666667,0.8011049723756906,0.8761329305135952,181.0,0.8379446640316206,0.9458256599140578,0.980128969583514,openl3-k
organ,irmas,openmic,0.5476190476190477,0.45098039215686275,0.49462365591397855,51.0,0.7445652173913043,0.7440660474716202,0.5179194026452286,openl3-k
piano,irmas,openmic,0.9590643274853801,0.8913043478260869,0.9239436619718309,184.0,0.891566265060241,0.953428093645485,0.9853004598579899,openl3-k
saxophone,irmas,openmic,0.7623318385650224,0.8056872037914692,0.7834101382488478,211.0,0.7545691906005222,0.8178937506888571,0.8347599926843783,openl3-k
trumpet,irmas,openmic,0.7837837837837838,0.16292134831460675,0.26976744186046514,178.0,0.6005089058524173,0.7395610138489679,0.7063369057979333,openl3-k
violin,irmas,openmic,0.8527918781725888,0.721030042918455,0.7813953488372093,233.0,0.7251461988304093,0.7982438870732764,0.8802972244522811,openl3-k
voice,irmas,openmic,0.9428571428571428,0.853448275862069,0.8959276018099547,116.0,0.8783068783068783,0.9670524326877656,0.9783965472191005,openl3-k
cello,openmic,openmic,0.8198198198198198,0.8053097345132744,0.8125,113.0,0.8064516129032258,0.9007828454731109,0.9012175957967481,openl3-k
clarinet,openmic,openmic,0.3524590163934426,0.589041095890411,0.441025641025641,73.0,0.6517571884984026,0.7092465753424658,0.41878839020044456,openl3-k
flute,openmic,openmic,0.4789915966386555,0.8028169014084507,0.6000000000000001,71.0,0.6885245901639344,0.782300740861353,0.5485784958469992,openl3-k
guitar,openmic,openmic,0.9886363636363636,0.9613259668508287,0.9747899159663865,181.0,0.9644268774703557,0.9965469613259669,0.998660314648212,openl3-k
