instrument,train_set,test_set,precision,recall,f1-score,support,accuracy,roc_auc,ap,embedding
cello,irmas,irmas,0.37272727272727274,0.8723404255319149,0.5222929936305732,94.0,0.9099639855942377,0.9618726652590548,0.7213307183769473,openl3
clarinet,irmas,irmas,0.38197424892703863,0.7007874015748031,0.49444444444444446,127.0,0.8907563025210085,0.8939898594547027,0.6224104576267386,openl3
flute,irmas,irmas,0.33807829181494664,0.7851239669421488,0.47263681592039813,121.0,0.8727490996398559,0.8920698601192865,0.5440442585170563,openl3
guitar,irmas,irmas,0.5940959409594095,0.930635838150289,0.7252252252252251,346.0,0.8535414165666266,0.9555964266946926,0.8382352397373661,openl3
organ,irmas,irmas,0.6751054852320675,0.9195402298850575,0.778588807785888,174.0,0.9453781512605042,0.9815645126498412,0.8752551358519952,openl3
piano,irmas,irmas,0.5984251968503937,0.8941176470588236,0.7169811320754718,170.0,0.9279711884753902,0.9767772884554892,0.9067908725185441,openl3
saxophone,irmas,irmas,0.2597402597402597,0.8,0.39215686274509803,150.0,0.7767106842737095,0.8648372911169745,0.47073200740512117,openl3
trumpet,irmas,irmas,0.51440329218107,0.8333333333333334,0.6361323155216286,150.0,0.9141656662665066,0.943320140721196,0.7452806938786073,openl3
violin,irmas,irmas,0.25790754257907544,0.7412587412587412,0.38267148014440433,143.0,0.7947178871548619,0.8669859359288118,0.4835326651218656,openl3
voice,irmas,irmas,0.6379310344827587,0.9685863874345549,0.7692307692307693,191.0,0.9333733493397359,0.988861478392049,0.9449355486653386,openl3
cello,irmas,openmic,0.6741573033707865,0.5309734513274337,0.594059405940594,113.0,0.6221198156682027,0.6929884275017018,0.7057086129699888,openl3
clarinet,irmas,openmic,0.46153846153846156,0.0821917808219178,0.13953488372093023,73.0,0.7635782747603834,0.5896689497716895,0.2862879138416327,openl3
flute,irmas,openmic,0.5833333333333334,0.49295774647887325,0.534351145038168,71.0,0.75,0.7951640478710412,0.6161438463081962,openl3
guitar,irmas,openmic,0.9795918367346939,0.7955801104972375,0.8780487804878048,181.0,0.841897233201581,0.9659300184162063,0.9869385624140882,openl3
organ,irmas,openmic,0.410958904109589,0.5882352941176471,0.4838709677419355,51.0,0.6521739130434783,0.6939407341884122,0.4557683692870133,openl3
piano,irmas,openmic,0.9441340782122905,0.9184782608695652,0.931129476584022,184.0,0.8995983935742972,0.959448160535117,0.9873229630518089,openl3
saxophone,irmas,openmic,0.7524752475247525,0.7203791469194313,0.7360774818401937,211.0,0.7154046997389034,0.7806679157941143,0.7923091772347935,openl3
trumpet,irmas,openmic,0.8421052631578947,0.1797752808988764,0.2962962962962963,178.0,0.6132315521628499,0.7193624248758818,0.6690932455485562,openl3
violin,irmas,openmic,0.8963963963963963,0.8540772532188842,0.8747252747252747,233.0,0.8333333333333334,0.8472260503209041,0.8985933164453433,openl3
voice,irmas,openmic,0.9345794392523364,0.8620689655172413,0.8968609865470851,116.0,0.8783068783068783,0.9682333490788853,0.9786421080092554,openl3
cello,openmic,openmic,0.8103448275862069,0.831858407079646,0.8209606986899564,113.0,0.8110599078341014,0.9012933968686181,0.889800678491026,openl3
clarinet,openmic,openmic,0.3225806451612903,0.684931506849315,0.43859649122807015,73.0,0.5910543130990416,0.6854452054794521,0.35978569617658773,openl3
flute,openmic,openmic,0.4782608695652174,0.7746478873239436,0.5913978494623656,71.0,0.6885245901639344,0.7682162338190995,0.5485774865959075,openl3
guitar,openmic,openmic,0.9833333333333333,0.9779005524861878,0.9806094182825484,181.0,0.9723320158102767,0.9941682013505219,0.9979131929956871,openl3
organ,openmic,openmic,0.5,0.37254901960784315,0.42696629213483145,51.0,0.7228260869565217,0.7944862155388471,0.6117736341317342,openl3
piano,openmic,openmic,0.9521276595744681,0.9728260869565217,0.9623655913978495,184.0,0.9437751004016064,0.9786789297658862,0.991784467249065,openl3
saxophone,openmic,openmic,0.7963800904977375,0.8341232227488151,0.8148148148148147,211.0,0.7911227154046997,0.8776314339248319,0.8942046943089594,openl3
trumpet,openmic,openmic,0.7171717171717171,0.797752808988764,0.7553191489361702,178.0,0.7659033078880407,0.8428272798536712,0.804884963531633,openl3
violin,openmic,openmic,0.8883928571428571,0.8540772532188842,0.8708971553610503,233.0,0.827485380116959,0.9039256605110839,0.9431736061855491,openl3
voice,openmic,openmic,0.9316239316239316,0.9396551724137931,0.9356223175965666,116.0,0.9206349206349206,0.9694142654700048,0.9803108776215832,openl3
cello,openmic,irmas,0.13932980599647266,0.8404255319148937,0.23903177004538576,94.0,0.698079231692677,0.8322099507335825,0.32574191982000555,openl3
clarinet,openmic,irmas,0.12951167728237792,0.9606299212598425,0.22825070159027125,127.0,0.5048019207683073,0.8448834246596368,0.30709950842343736,openl3
flute,openmic,irmas,0.1724137931034483,0.6611570247933884,0.27350427350427353,121.0,0.7448979591836735,0.7684934071518362,0.2234531673488735,openl3
guitar,openmic,irmas,0.3259779338014042,0.9393063583815029,0.4839910647803426,346.0,0.5840336134453782,0.8570218076720967,0.6639183398456249,openl3
organ,openmic,irmas,0.056338028169014086,0.022988505747126436,0.03265306122448979,174.0,0.8577430972388955,0.4229106961264676,0.08523050181259217,openl3
piano,openmic,irmas,0.18665018541409148,0.888235294117647,0.30847803881511754,170.0,0.5936374549819928,0.8806012110726643,0.6455346664918183,openl3
saxophone,openmic,irmas,0.16833095577746077,0.7866666666666666,0.27732079905992946,150.0,0.6308523409363745,0.7676824978012313,0.25752852000725246,openl3
trumpet,openmic,irmas,0.21405750798722045,0.8933333333333333,0.3453608247422681,150.0,0.695078031212485,0.8929287598944591,0.558981377747733,openl3
violin,openmic,irmas,0.16405135520684735,0.8041958041958042,0.2725118483412322,143.0,0.631452581032413,0.8059406122439609,0.3562528513149104,openl3
voice,openmic,irmas,0.5691823899371069,0.9476439790575916,0.7111984282907663,191.0,0.9117647058823529,0.9829550093175969,0.9238359902733795,openl3
cello,irmas,irmas,0.3744292237442922,0.8723404255319149,0.5239616613418531,94.0,0.9105642256902761,0.961371880244708,0.722558604872969,openl3-lda
clarinet,irmas,irmas,0.3755274261603376,0.7007874015748031,0.4890109890109891,127.0,0.8883553421368547,0.8931917136088983,0.6242789374406178,openl3-lda
flute,irmas,irmas,0.323943661971831,0.7603305785123967,0.45432098765432094,121.0,0.8673469387755102,0.8914172617614806,0.5454863481947598,openl3-lda
guitar,irmas,irmas,0.5930018416206262,0.930635838150289,0.7244094488188977,346.0,0.8529411764705882,0.9555241723594324,0.8384603939560741,openl3-lda
organ,irmas,irmas,0.6779661016949152,0.9195402298850575,0.7804878048780487,174.0,0.9459783913565426,0.9819034852546917,0.8767944292446294,openl3-lda
piano,irmas,irmas,0.59375,0.8941176470588236,0.7136150234741785,170.0,0.9267707082833133,0.9768048128342246,0.9069648376698062,openl3-lda
saxophone,irmas,irmas,0.26143790849673204,0.8,0.394088669950739,150.0,0.7785114045618248,0.8649604221635884,0.47019896863983557,openl3-lda
trumpet,irmas,irmas,0.5102040816326531,0.8333333333333334,0.6329113924050633,150.0,0.9129651860744298,0.9432629727352683,0.7491459832675629,openl3-lda
violin,irmas,irmas,0.2584541062801932,0.7482517482517482,0.38420107719928187,143.0,0.7941176470588235,0.8669400199275445,0.48387953342063655,openl3-lda
voice,irmas,irmas,0.6445993031358885,0.9685863874345549,0.7740585774058577,191.0,0.9351740696278511,0.9888827757565002,0.9449029178862945,openl3-lda
cello,irmas,openmic,0.6722689075630253,0.7079646017699115,0.6896551724137931,113.0,0.6682027649769585,0.7044758339006126,0.717613705287705,openl3-lda
