embedding,irmas-irmas,openmic-openmic,openmic-irmas,irmas-openmic
vggish,91.6,87.95,82.82 (-8.78),83.81 (-4.14)
openl3,93.26,87.16,80.56 (-12.7),80.13 (-7.03)
yamnet,94.65,89.74,85.01 (-9.64),85.47 (-4.27)
vggish-lda,91.6,87.94,82.93 (0.12),83.85 (0.03)
openl3-lda,93.24,87.18,80.59 (0.04),80.38 (0.26)
yamnet-lda,94.65,89.74,85.02 (0.0),85.47 (0.0)
vggish-mlda,91.56,87.87,83.13 (0.31),83.66 (-0.16)
openl3-mlda,93.09,87.23,80.57 (0.02),80.62 (0.5)
yamnet-mlda,94.65,89.74,85.02 (0.0),85.46 (-0.0)
vggish-k,92.24,88.08,82.57 (-0.25),83.67 (-0.14)
openl3-k,93.89,87.91,79.46 (-1.09),81.23 (1.11)
yamnet-k,93.83,89.24,85.87 (0.86),84.56 (-0.91)
vggish-klda,92.22,88.07,82.7 (-0.12),83.78 (-0.04)
openl3-klda,93.96,87.91,79.99 (-0.57),81.79 (1.66)
yamnet-klda,93.63,89.24,86.0 (0.99),84.76 (-0.7)
vggish-mklda,92.26,88.08,82.7 (-0.11),83.76 (-0.05)
openl3-mklda,94.04,87.83,79.97 (-0.59),81.32 (1.19)
yamnet-mklda,93.79,89.34,85.53 (0.51),84.6 (-0.87)
