instrument,train_set,test_set,precision,recall,f1-score,support,accuracy,roc_auc,ap,embedding
cello,irmas,irmas,0.3607305936073059,0.8404255319148937,0.5047923322683705,94.0,0.9069627851140456,0.9463212603540686,0.6853335153509367,yamnet-k
clarinet,irmas,irmas,0.34868421052631576,0.8346456692913385,0.49187935034802777,127.0,0.868547418967587,0.9101471965127167,0.6376403310464792,yamnet-k
flute,irmas,irmas,0.3413793103448276,0.8181818181818182,0.4817518248175182,121.0,0.8721488595438175,0.9155206076653561,0.6140633579895659,yamnet-k
guitar,irmas,irmas,0.6567164179104478,0.8901734104046243,0.7558282208588958,346.0,0.8805522208883554,0.9554541075494832,0.8749634434178214,yamnet-k
organ,irmas,irmas,0.6385542168674698,0.9137931034482759,0.75177304964539,174.0,0.9369747899159664,0.9806361899479215,0.8635403450491729,yamnet-k
piano,irmas,irmas,0.5608856088560885,0.8941176470588236,0.689342403628118,170.0,0.9177671068427371,0.9617568417741429,0.8566688642146137,yamnet-k
saxophone,irmas,irmas,0.3123359580052493,0.7933333333333333,0.44821092278719393,150.0,0.8241296518607443,0.8854221635883904,0.5468755515022669,yamnet-k
trumpet,irmas,irmas,0.512,0.8533333333333334,0.64,150.0,0.9135654261704682,0.9547713280562884,0.8344297207398468,yamnet-k
violin,irmas,irmas,0.3447204968944099,0.7762237762237763,0.4774193548387096,143.0,0.8541416566626651,0.8865369692684203,0.5948692334593578,yamnet-k
voice,irmas,irmas,0.6605839416058394,0.9476439790575916,0.7784946236559139,191.0,0.9381752701080432,0.986082172331174,0.9005928431957011,yamnet-k
cello,irmas,openmic,0.8282828282828283,0.7256637168141593,0.7735849056603774,113.0,0.7788018433179723,0.8382402995234856,0.8507987761375,yamnet-k
clarinet,irmas,openmic,0.4148936170212766,0.5342465753424658,0.467065868263473,73.0,0.7156549520766773,0.7484018264840182,0.47963783923685965,yamnet-k
flute,irmas,openmic,0.5119047619047619,0.6056338028169014,0.5548387096774193,71.0,0.7172131147540983,0.7300333794675568,0.5903510871320873,yamnet-k
guitar,irmas,openmic,0.9938271604938271,0.8895027624309392,0.9387755102040816,181.0,0.9169960474308301,0.9798189073050951,0.9927570141265039,yamnet-k
organ,irmas,openmic,0.5084745762711864,0.5882352941176471,0.5454545454545454,51.0,0.7282608695652174,0.7473094500958277,0.5344740671805414,yamnet-k
piano,irmas,openmic,0.9627329192546584,0.842391304347826,0.8985507246376812,184.0,0.8594377510040161,0.9380434782608695,0.9785880355082892,yamnet-k
saxophone,irmas,openmic,0.7793427230046949,0.7867298578199052,0.7830188679245284,211.0,0.7597911227154047,0.82610492670561,0.8507316047950628,yamnet-k
trumpet,irmas,openmic,0.7430555555555556,0.601123595505618,0.6645962732919255,178.0,0.7251908396946565,0.8003658217925268,0.7533921529776118,yamnet-k
violin,irmas,openmic,0.9086294416243654,0.7682403433476395,0.8325581395348838,233.0,0.7894736842105263,0.8795133283458677,0.9350366696405817,yamnet-k
voice,irmas,openmic,0.9805825242718447,0.8706896551724138,0.9223744292237444,116.0,0.91005291005291,0.9678790741615494,0.9815326115935907,yamnet-k
cello,openmic,openmic,0.8482142857142857,0.8407079646017699,0.8444444444444443,113.0,0.8387096774193549,0.9218856364874063,0.9181898995462093,yamnet-k
clarinet,openmic,openmic,0.34177215189873417,0.7397260273972602,0.4675324675324675,73.0,0.6070287539936102,0.7287100456621004,0.46695195135438416,yamnet-k
flute,openmic,openmic,0.47058823529411764,0.7887323943661971,0.5894736842105263,71.0,0.680327868852459,0.807701701538712,0.6874827265268914,yamnet-k
guitar,openmic,openmic,0.9942196531791907,0.9502762430939227,0.9717514124293786,181.0,0.9604743083003953,0.9937845303867403,0.997780920096135,yamnet-k
organ,openmic,openmic,0.5576923076923077,0.5686274509803921,0.5631067961165048,51.0,0.7554347826086957,0.8191065900044229,0.6052417341626398,yamnet-k
piano,openmic,openmic,0.9468085106382979,0.967391304347826,0.956989247311828,184.0,0.9357429718875502,0.9787625418060201,0.9919801085014719,yamnet-k
saxophone,openmic,openmic,0.8578431372549019,0.8293838862559242,0.8433734939759034,211.0,0.8302872062663186,0.9087402182299129,0.921796557959925,yamnet-k
trumpet,openmic,openmic,0.7627118644067796,0.7584269662921348,0.76056338028169,178.0,0.7837150127226463,0.8701593937810296,0.8439349573006649,yamnet-k
violin,openmic,openmic,0.9066666666666666,0.8755364806866953,0.8908296943231441,233.0,0.8538011695906432,0.9201874237114619,0.9540876984772176,yamnet-k
voice,openmic,openmic,0.9401709401709402,0.9482758620689655,0.944206008583691,116.0,0.9312169312169312,0.9744922059518186,0.9785087698486421,yamnet-k
cello,openmic,irmas,0.20725388601036268,0.851063829787234,0.33333333333333337,94.0,0.8079231692677071,0.8924394997563748,0.5572118929480112,yamnet-k
clarinet,openmic,irmas,0.22863247863247863,0.84251968503937,0.3596638655462185,127.0,0.7713085234093637,0.8806209165374795,0.5491627467573087,yamnet-k
flute,openmic,irmas,0.21568627450980393,0.8181818181818182,0.3413793103448276,121.0,0.7707082833133253,0.8694161384364385,0.5399897134680112,yamnet-k
guitar,openmic,irmas,0.5478841870824054,0.7109826589595376,0.618867924528302,346.0,0.8181272509003601,0.8857637064284463,0.6793831644273456,yamnet-k
organ,openmic,irmas,0.2,0.08045977011494253,0.11475409836065573,174.0,0.8703481392557023,0.661327848140273,0.17543765823554913,yamnet-k
piano,openmic,irmas,0.1922110552763819,0.9,0.3167701863354037,170.0,0.6038415366146459,0.8865877634476251,0.6931460940308284,yamnet-k
saxophone,openmic,irmas,0.24040920716112532,0.6266666666666667,0.34750462107208874,150.0,0.7881152460984394,0.7886279683377309,0.3686547130712824,yamnet-k
trumpet,openmic,irmas,0.3076923076923077,0.88,0.4559585492227979,150.0,0.8109243697478992,0.9162840809146877,0.6598344319308194,yamnet-k
violin,openmic,irmas,0.22933884297520662,0.7762237762237763,0.3540669856459331,143.0,0.7569027611044418,0.836800756695701,0.4239176311155135,yamnet-k
voice,openmic,irmas,0.43333333333333335,0.9528795811518325,0.5957446808510639,191.0,0.8517406962785115,0.9694098855266661,0.856577126292919,yamnet-k
cello,irmas,irmas,0.36363636363636365,0.851063829787234,0.5095541401273885,94.0,0.907563025210084,0.9463753992745385,0.68525421669282,yamnet-klda
clarinet,irmas,irmas,0.34415584415584416,0.8346456692913385,0.4873563218390804,127.0,0.8661464585834334,0.9102853371398751,0.636418812077702,yamnet-klda
flute,irmas,irmas,0.30513595166163143,0.8347107438016529,0.4469026548672567,121.0,0.8499399759903962,0.8969055069672898,0.5838669194284887,yamnet-klda
guitar,irmas,irmas,0.6573875802997858,0.8872832369942196,0.7552275522755227,346.0,0.8805522208883554,0.9553402522333159,0.8746332188443954,yamnet-klda
organ,irmas,irmas,0.636,0.9137931034482759,0.75,174.0,0.936374549819928,0.980439739915565,0.8634794678648651,yamnet-klda
piano,irmas,irmas,0.5567765567765568,0.8941176470588236,0.6862302483069977,170.0,0.9165666266506602,0.9615602390688895,0.8567312560126191,yamnet-klda
saxophone,irmas,irmas,0.31592689295039167,0.8066666666666666,0.45403377110694193,150.0,0.8253301320528211,0.8853693931398415,0.5469887059371451,yamnet-klda
trumpet,irmas,irmas,0.512,0.8533333333333334,0.64,150.0,0.9135654261704682,0.9545470536499561,0.8343203726900159,yamnet-klda
