instrument,embedding,train set,cosine similarity
cello,vggish,irmas,0.03418221735170336
clarinet,vggish,irmas,0.06989384172146292
flute,vggish,irmas,0.03725620205662303
guitar,vggish,irmas,0.025321458699533207
organ,vggish,irmas,0.10848478483195108
piano,vggish,irmas,0.00914418245705954
saxophone,vggish,irmas,-0.001768844088294831
trumpet,vggish,irmas,0.016740711440321396
violin,vggish,irmas,-3.339708851621704e-05
voice,vggish,irmas,0.020287839421037852
cello,vggish,openmic,-0.04073316258638712
clarinet,vggish,openmic,-0.012387371651591306
flute,vggish,openmic,-0.006762376355377089
guitar,vggish,openmic,-0.024054386590214902
organ,vggish,openmic,0.04067461952142348
piano,vggish,openmic,-0.03681930985138389
saxophone,vggish,openmic,-0.014413114059938177
trumpet,vggish,openmic,-0.018615826474702914
violin,vggish,openmic,0.008353735431602305
voice,vggish,openmic,0.01010298874444917
cello,openl3,irmas,0.027765113728399713
clarinet,openl3,irmas,-0.03872850548638687
flute,openl3,irmas,-0.02263129962369445
guitar,openl3,irmas,0.021069092416028914
organ,openl3,irmas,-6.260178364525353e-05
piano,openl3,irmas,-0.03310264927836301
saxophone,openl3,irmas,0.026126301846341533
trumpet,openl3,irmas,-0.006180018732406782
violin,openl3,irmas,0.019590441640461295
voice,openl3,irmas,0.002897875124663968
cello,openl3,openmic,0.0013463606888304562
clarinet,openl3,openmic,-0.05490377666113581
flute,openl3,openmic,-0.05439088578462458
guitar,openl3,openmic,-0.02578199071942399
organ,openl3,openmic,0.004000492550442202
piano,openl3,openmic,0.0015390865831299049
saxophone,openl3,openmic,-0.05389504867347662
trumpet,openl3,openmic,-0.029238015584804853
violin,openl3,openmic,0.02954539889447107
voice,openl3,openmic,0.013092803133667051
cello,yamnet,irmas,0.001973405485946758
clarinet,yamnet,irmas,0.00042282385349395055
flute,yamnet,irmas,0.0026312594103384606
guitar,yamnet,irmas,0.0005192220582645105
organ,yamnet,irmas,0.0016224505015661156
piano,yamnet,irmas,-0.0025431653131821564
saxophone,yamnet,irmas,0.006823774161086493
trumpet,yamnet,irmas,0.0003583084706155617
violin,yamnet,irmas,0.003988483422568861
voice,yamnet,irmas,0.0036485992414937176
cello,yamnet,openmic,0.0004103524329375066
clarinet,yamnet,openmic,0.0012639481013966938
flute,yamnet,openmic,-0.0028103981076803893
guitar,yamnet,openmic,-0.0022455745958028586
organ,yamnet,openmic,0.00023537995024656007
piano,yamnet,openmic,-0.000927429020781078
saxophone,yamnet,openmic,0.001434254733058412
trumpet,yamnet,openmic,-0.0023946572893004158
violin,yamnet,openmic,-0.0014366669013619639
voice,yamnet,openmic,0.0008045122786956276
