instrument,embedding,train set,cosine similarity
cello,vggish,irmas,0.03772729332494891
clarinet,vggish,irmas,0.026049177825895695
flute,vggish,irmas,0.03464758831128219
guitar,vggish,irmas,0.006215109559830791
organ,vggish,irmas,0.0035444903675438642
piano,vggish,irmas,-0.004254748106300938
saxophone,vggish,irmas,0.06802893282184404
trumpet,vggish,irmas,-0.012153421176250444
violin,vggish,irmas,0.08372334983839205
voice,vggish,irmas,-0.008372959567748963
cello,vggish,openmic,-0.004744681865864502
clarinet,vggish,openmic,0.03254366306794235
flute,vggish,openmic,0.0020311344813866965
guitar,vggish,openmic,0.013757242302545495
organ,vggish,openmic,-0.006397144857721151
piano,vggish,openmic,-0.016490952152047177
saxophone,vggish,openmic,-0.029519138588728244
trumpet,vggish,openmic,0.03022491877732402
violin,vggish,openmic,-0.004648945798227961
voice,vggish,openmic,-0.016304851569487733
cello,openl3,irmas,0.007673770132777093
clarinet,openl3,irmas,0.0011999928187340935
flute,openl3,irmas,0.00922509779764176
guitar,openl3,irmas,0.008383820309979624
organ,openl3,irmas,0.0007845328818354047
piano,openl3,irmas,-0.002100796536098976
saxophone,openl3,irmas,0.010063409549377638
trumpet,openl3,irmas,-0.0009750266388193155
violin,openl3,irmas,0.009549668453231021
voice,openl3,irmas,0.0026549498952137584
cello,openl3,openmic,0.005989740133220773
clarinet,openl3,openmic,-0.0044671219389804595
flute,openl3,openmic,-0.004306464423220331
guitar,openl3,openmic,-0.009947408366006064
organ,openl3,openmic,0.0068010663335979025
piano,openl3,openmic,-0.005127912555530824
saxophone,openl3,openmic,-0.010431114420525859
trumpet,openl3,openmic,-0.006519759067408947
violin,openl3,openmic,-0.0004646637045330375
voice,openl3,openmic,0.006853118443025609
cello,yamnet,irmas,0.0016378560233935137
clarinet,yamnet,irmas,0.0036188340963055343
flute,yamnet,irmas,0.017139512250696695
guitar,yamnet,irmas,-0.015526873788130384
organ,yamnet,irmas,0.0023047310041352624
piano,yamnet,irmas,-0.007592991601165846
saxophone,yamnet,irmas,0.007141685685884094
trumpet,yamnet,irmas,0.0006728592793996046
violin,yamnet,irmas,0.008501801342621584
voice,yamnet,irmas,0.006150487655388307
cello,yamnet,openmic,0.01075670407630374
clarinet,yamnet,openmic,-0.0015765397140846855
flute,yamnet,openmic,-0.005050157041868279
guitar,yamnet,openmic,-0.0021188448376558353
organ,yamnet,openmic,-0.002345048591154382
piano,yamnet,openmic,-0.0022535251676394598
saxophone,yamnet,openmic,0.0027474803207518167
trumpet,yamnet,openmic,0.010101400139150282
violin,yamnet,openmic,-0.006437140842196411
voice,yamnet,openmic,0.001366428729970559
