instrument,embedding,train set,cosine similarity
cello,vggish,irmas,0.0053522928489119215
clarinet,vggish,irmas,-0.03521842655989704
flute,vggish,irmas,0.13235293985300886
guitar,vggish,irmas,0.12281948918538203
organ,vggish,irmas,0.07675424725737383
piano,vggish,irmas,0.0745713874010645
saxophone,vggish,irmas,-0.04152045571223613
trumpet,vggish,irmas,-0.01393369986188469
violin,vggish,irmas,-0.01025662144856885
voice,vggish,irmas,0.03161396079755468
cello,vggish,openmic,-0.1629210340554848
clarinet,vggish,openmic,-0.011469694705888933
flute,vggish,openmic,-0.11481582910694739
guitar,vggish,openmic,-0.03460523379456104
organ,vggish,openmic,0.019750696338382785
piano,vggish,openmic,-0.08975584017937369
saxophone,vggish,openmic,-0.05523745901704715
trumpet,vggish,openmic,-0.05811041573295581
violin,vggish,openmic,-0.06314280761315799
voice,vggish,openmic,-0.061494676287460345
cello,openl3,irmas,0.040266050965113806
clarinet,openl3,irmas,-0.0047213847678330995
flute,openl3,irmas,-0.03377302477138764
guitar,openl3,irmas,0.026215881312450364
organ,openl3,irmas,0.0007772638316079286
piano,openl3,irmas,-0.0394296649612597
saxophone,openl3,irmas,0.03341216706849215
trumpet,openl3,irmas,-0.014028187490723558
violin,openl3,irmas,0.014736517143779297
voice,openl3,irmas,0.00890164101057667
cello,openl3,openmic,0.0008365197688762378
clarinet,openl3,openmic,-0.044277154687837675
flute,openl3,openmic,-0.04444793231693496
guitar,openl3,openmic,-0.03141409040929049
organ,openl3,openmic,0.005921682121889817
piano,openl3,openmic,-0.0033081852949547377
saxophone,openl3,openmic,-0.03681353760658125
trumpet,openl3,openmic,-0.01844482945560814
violin,openl3,openmic,0.04147846772341066
voice,openl3,openmic,0.007400760806802804
cello,yamnet,irmas,0.06021173985923492
clarinet,yamnet,irmas,-0.08600322926713802
flute,yamnet,irmas,-0.02973098467322846
guitar,yamnet,irmas,-0.04049619428052585
organ,yamnet,irmas,-0.021437842901854683
piano,yamnet,irmas,-0.03718857442794623
saxophone,yamnet,irmas,-0.04471288948195237
trumpet,yamnet,irmas,-0.02184876683162367
violin,yamnet,irmas,0.04889345809811554
voice,yamnet,irmas,0.07266403450236078
cello,yamnet,openmic,-0.0374516430183305
clarinet,yamnet,openmic,-0.08969948967154864
flute,yamnet,openmic,-0.07641366706367327
guitar,yamnet,openmic,-0.031186298382311586
organ,yamnet,openmic,0.00798564138059237
piano,yamnet,openmic,-0.0792906623134875
saxophone,yamnet,openmic,0.06621277833811738
trumpet,yamnet,openmic,-0.05458388388554804
violin,yamnet,openmic,0.010003212144854523
voice,yamnet,openmic,0.019229538939990392
