instrument,train_set,test_set,precision,recall,f1-score,support,accuracy,roc_auc,ap,embedding
cello,irmas,irmas,0.1310751104565537,0.946808510638298,0.2302716688227684,94.0,0.6428571428571429,0.9110632883980292,0.5223054672433572,vggish-lda
clarinet,irmas,irmas,0.1716417910447761,0.905511811023622,0.288582183186951,127.0,0.6596638655462185,0.8541848935549723,0.3405521753510367,vggish-lda
flute,irmas,irmas,0.3069620253164557,0.8016528925619835,0.4439359267734553,121.0,0.8541416566626651,0.9062398031506592,0.6347801929194454,vggish-lda
guitar,irmas,irmas,0.6467889908256881,0.815028901734104,0.7212276214833759,346.0,0.8691476590636255,0.9356564196882116,0.8334368004028523,vggish-lda
organ,irmas,irmas,0.4259740259740259,0.942528735632184,0.5867620751341682,174.0,0.8613445378151261,0.9685102154016826,0.7648063932415399,vggish-lda
piano,irmas,irmas,0.6491228070175439,0.8705882352941177,0.7437185929648242,170.0,0.9387755102040816,0.9580764391318024,0.8411787707443107,vggish-lda
saxophone,irmas,irmas,0.1996699669966996,0.8066666666666666,0.3201058201058201,150.0,0.6914765906362546,0.8179507475813544,0.3843623766595243,vggish-lda
trumpet,irmas,irmas,0.2040816326530612,0.8666666666666667,0.3303684879288437,150.0,0.6836734693877551,0.8910026385224276,0.6471385590597544,vggish-lda
violin,irmas,irmas,0.1765601217656012,0.8111888111888111,0.29,143.0,0.65906362545018,0.8218459150829472,0.4634389604399889,vggish-lda
voice,irmas,irmas,0.7729257641921398,0.9267015706806284,0.8428571428571427,191.0,0.9603841536614646,0.9872499778152454,0.931908187055939,vggish-lda
cello,openmic,openmic,0.7423076923076923,0.8539823008849557,0.794238683127572,226.0,0.7938144329896907,0.8679058325076024,0.8208773950845,vggish-lda
clarinet,openmic,openmic,0.3413793103448276,0.7226277372262774,0.4637002341920375,137.0,0.6421875,0.7504317162717128,0.4386895396161082,vggish-lda
flute,openmic,openmic,0.474025974025974,0.8342857142857143,0.6045548654244306,175.0,0.6601423487544484,0.7947434477667036,0.6408036036315035,vggish-lda
guitar,openmic,openmic,0.975438596491228,0.972027972027972,0.9737302977232924,286.0,0.9655963302752294,0.991934731934732,0.9962170271918076,vggish-lda
organ,openmic,openmic,0.4166666666666667,0.950413223140496,0.5793450881612091,121.0,0.6125290023201856,0.8158624366835511,0.5801194824080185,vggish-lda
piano,openmic,openmic,0.9328859060402684,0.975438596491228,0.95368782161235,285.0,0.9349397590361446,0.9742240215924426,0.9870856545877924,vggish-lda
saxophone,openmic,openmic,0.790273556231003,0.8524590163934426,0.8201892744479494,305.0,0.8187599364069952,0.903673345476624,0.8930937551285929,vggish-lda
trumpet,openmic,openmic,0.7170868347338936,0.8050314465408805,0.7585185185185186,318.0,0.7923566878980892,0.8616352201257862,0.7992453953786551,vggish-lda
violin,openmic,openmic,0.8164556962025317,0.9822335025380712,0.891705069124424,394.0,0.8510301109350238,0.8981451733813104,0.9141263789262772,vggish-lda
voice,openmic,openmic,0.935483870967742,0.90625,0.9206349206349206,224.0,0.9064171122994652,0.9685119047619049,0.9779971987386156,vggish-lda
cello,irmas,openmic,0.556930693069307,0.995575221238938,0.7142857142857143,226.0,0.6288659793814433,0.8142788806505621,0.7670203228243013,vggish-lda
clarinet,irmas,openmic,0.275626423690205,0.8832116788321168,0.4201388888888889,137.0,0.478125,0.6765538157913831,0.3105872215369292,vggish-lda
flute,irmas,openmic,0.4053254437869822,0.7828571428571428,0.5341130604288499,175.0,0.5747330960854092,0.7153931339977851,0.5775676277908793,vggish-lda
guitar,irmas,openmic,0.9592592592592591,0.9055944055944056,0.9316546762589928,286.0,0.9128440366972476,0.9733333333333334,0.9856789262920042,vggish-lda
organ,irmas,openmic,0.3670411985018726,0.8099173553719008,0.5051546391752577,121.0,0.5545243619489559,0.657584644094908,0.3941016890139092,vggish-lda
piano,irmas,openmic,0.9246575342465754,0.9473684210526316,0.9358752166377816,285.0,0.910843373493976,0.9681511470985156,0.9859130122054018,vggish-lda
saxophone,irmas,openmic,0.6641604010025063,0.8688524590163934,0.7528409090909092,305.0,0.7233704292527822,0.8241955069823922,0.8002076749424805,vggish-lda
trumpet,irmas,openmic,0.5189655172413793,0.9465408805031448,0.6703786191536748,318.0,0.6229299363057325,0.7942642048132734,0.7099207892430702,vggish-lda
violin,irmas,openmic,0.7834008097165992,0.9822335025380712,0.8716216216216217,394.0,0.8193343898573693,0.8936151984407461,0.9161562422606117,vggish-lda
voice,irmas,openmic,0.9540816326530612,0.8348214285714286,0.8904761904761905,224.0,0.8770053475935828,0.9711904761904762,0.9805455979888328,vggish-lda
cello,openmic,irmas,0.127831715210356,0.8404255319148937,0.2219101123595505,94.0,0.6674669867947179,0.8275810730334037,0.39556553568179,vggish-lda
clarinet,openmic,irmas,0.1731066460587326,0.8818897637795275,0.2894056847545219,127.0,0.6698679471788715,0.8572495689500802,0.4302318806852728,vggish-lda
flute,openmic,irmas,0.1020211742059672,0.8760330578512396,0.1827586206896551,121.0,0.4309723889555822,0.788911177084169,0.4310661685621097,vggish-lda
guitar,openmic,irmas,0.3823163138231631,0.8872832369942196,0.5343777197563098,346.0,0.6788715486194478,0.8555154142581889,0.6658158118378236,vggish-lda
organ,openmic,irmas,0.08203125,0.3620689655172414,0.1337579617834395,174.0,0.5102040816326531,0.4335498135650673,0.0877689190589191,vggish-lda
piano,openmic,irmas,0.1820895522388059,0.7176470588235294,0.2904761904761904,170.0,0.6422569027611045,0.7876336898395722,0.4956214441889703,vggish-lda
saxophone,openmic,irmas,0.1851289833080424,0.8133333333333334,0.3016069221260816,150.0,0.6608643457382953,0.8149252418645558,0.3627084049372147,vggish-lda
trumpet,openmic,irmas,0.1964573268921095,0.8133333333333334,0.3164721141374838,150.0,0.6836734693877551,0.845255057167986,0.4811719231448853,vggish-lda
violin,openmic,irmas,0.1435239206534422,0.8601398601398601,0.2459999999999999,143.0,0.5474189675870348,0.7990761700545023,0.3619181501551847,vggish-lda
voice,openmic,irmas,0.3525046382189239,0.9947643979057592,0.5205479452054795,191.0,0.7899159663865546,0.984481320436596,0.90255636041167,vggish-lda
cello,irmas,irmas,0.1473851030110935,0.9893617021276596,0.2565517241379311,94.0,0.6764705882352942,0.94889285907639,0.6784849810762669,yamnet-lda
clarinet,irmas,irmas,0.149616368286445,0.9212598425196852,0.2574257425742574,127.0,0.5948379351740696,0.890357272592388,0.5173621858504681,yamnet-lda
flute,irmas,irmas,0.1403940886699507,0.9421487603305784,0.2443729903536977,121.0,0.5768307322929171,0.9182005402658536,0.6339053460642177,yamnet-lda
guitar,irmas,irmas,0.714622641509434,0.8757225433526011,0.787012987012987,346.0,0.9015606242496998,0.9671067612541602,0.9012789674729657,yamnet-lda
organ,irmas,irmas,0.2360922659430122,1.0,0.3819978046103183,174.0,0.6620648259303722,0.9804782595297526,0.8499508628574491,yamnet-lda
piano,irmas,irmas,0.7236180904522613,0.8470588235294118,0.7804878048780488,170.0,0.9513805522208884,0.9591145014155394,0.8671441242258031,yamnet-lda
saxophone,irmas,irmas,0.1988130563798219,0.8933333333333333,0.3252427184466019,150.0,0.6662665066026411,0.8534124890061565,0.3896184883080212,yamnet-lda
trumpet,irmas,irmas,0.2068965517241379,0.96,0.3404255319148936,150.0,0.6650660264105642,0.9471372031662268,0.7572131553500909,yamnet-lda
violin,irmas,irmas,0.2040133779264214,0.8531468531468531,0.3292847503373819,143.0,0.7016806722689075,0.8632391902254017,0.5624158175405529,yamnet-lda
voice,irmas,irmas,0.3090614886731391,1.0,0.4721878862793572,191.0,0.7436974789915967,0.9896104357085812,0.9353929534690416,yamnet-lda
cello,openmic,openmic,0.7416974169741697,0.8893805309734514,0.8088531187122736,226.0,0.8041237113402062,0.9058154235145384,0.8827796503018976,yamnet-lda
clarinet,openmic,openmic,0.2889390519187358,0.9343065693430656,0.4413793103448275,137.0,0.49375,0.724253022013902,0.3935411527708383,yamnet-lda
flute,openmic,openmic,0.4764890282131661,0.8685714285714285,0.6153846153846153,175.0,0.6619217081850534,0.8247028423772611,0.7091076721749991,yamnet-lda
guitar,openmic,openmic,0.9655172413793104,0.9790209790209792,0.9722222222222222,286.0,0.963302752293578,0.9909557109557108,0.9959763887470549,yamnet-lda
organ,openmic,openmic,0.4280442804428044,0.9586776859504132,0.5918367346938775,121.0,0.62877030162413,0.8233004532124767,0.6291988393518461,yamnet-lda
piano,openmic,openmic,0.9429530201342282,0.9859649122807016,0.9639794168096056,285.0,0.9493975903614458,0.984264507422402,0.9921111711343172,yamnet-lda
saxophone,openmic,openmic,0.7663817663817664,0.8819672131147541,0.8201219512195121,305.0,0.8124006359300477,0.9026209269378668,0.8919185771229493,yamnet-lda
trumpet,openmic,openmic,0.6351351351351351,0.8867924528301887,0.7401574803149605,318.0,0.7477707006369426,0.8727862847292366,0.832560331150607,yamnet-lda
violin,openmic,openmic,0.8425720620842572,0.964467005076142,0.8994082840236686,394.0,0.8652931854199684,0.928098695624237,0.947667741243736,yamnet-lda
voice,openmic,openmic,0.9324324324324323,0.9241071428571428,0.9282511210762332,224.0,0.9144385026737968,0.9684821428571428,0.9800508294523148,yamnet-lda
cello,irmas,openmic,0.5706806282722513,0.9646017699115044,0.7171052631578947,226.0,0.6453608247422681,0.8192503502238015,0.7772744702117735,yamnet-lda
clarinet,irmas,openmic,0.2857142857142857,0.9197080291970804,0.4359861591695501,137.0,0.490625,0.7167796142850924,0.371482424981999,yamnet-lda
flute,irmas,openmic,0.3557483731019523,0.9371428571428572,0.5157232704402516,175.0,0.4519572953736654,0.7273237356958286,0.5784379471774237,yamnet-lda
