instrument,train_set,test_set,precision,recall,f1-score,support,accuracy,roc_auc,ap,embedding
cello,irmas,irmas,0.2925925925925925,0.8404255319148937,0.4340659340659341,94.0,0.8763505402160864,0.9401697255156732,0.6065522991952073,vggish-k
clarinet,irmas,irmas,0.3045977011494253,0.8346456692913385,0.4463157894736842,127.0,0.8421368547418968,0.9050718075445248,0.5837629700193209,vggish-k
flute,irmas,irmas,0.3432835820895522,0.7603305785123967,0.4730077120822622,121.0,0.8769507803121248,0.8991200620503356,0.6292763326501823,vggish-k
guitar,irmas,irmas,0.5524861878453039,0.8670520231213873,0.6749156355455569,346.0,0.826530612244898,0.93123795761079,0.8287812377198986,vggish-k
organ,irmas,irmas,0.4721407624633431,0.9252873563218392,0.625242718446602,174.0,0.8841536614645858,0.965883177714092,0.7619540926038915,vggish-k
piano,irmas,irmas,0.6336206896551724,0.8647058823529412,0.7313432835820894,170.0,0.9351740696278512,0.959035860333438,0.8365966817196435,vggish-k
saxophone,irmas,irmas,0.2791762013729977,0.8133333333333334,0.4156729131175469,150.0,0.7941176470588235,0.8866974494283202,0.5431069116625175,vggish-k
trumpet,irmas,irmas,0.3841059602649007,0.7733333333333333,0.5132743362831858,150.0,0.8679471788715486,0.903311345646438,0.6719064095650137,vggish-k
violin,irmas,irmas,0.2774566473988439,0.6713286713286714,0.3926380368098159,143.0,0.8217286914765907,0.8465579069649982,0.5067491464823071,vggish-k
voice,irmas,irmas,0.6819923371647509,0.9319371727748692,0.7876106194690266,191.0,0.942376950780312,0.9865223178631644,0.9154088923796898,vggish-k
cello,irmas,openmic,0.6917808219178082,0.8938053097345132,0.7799227799227799,113.0,0.7373271889400922,0.7734002722940777,0.7712386395326746,vggish-k
clarinet,irmas,openmic,0.3426573426573426,0.6712328767123288,0.4537037037037036,73.0,0.6230031948881789,0.6952625570776255,0.396552999511026,vggish-k
flute,irmas,openmic,0.4152542372881356,0.6901408450704225,0.5185185185185185,71.0,0.6270491803278688,0.747048766587967,0.5903274750387821,vggish-k
guitar,irmas,openmic,0.970414201183432,0.9060773480662984,0.9371428571428572,181.0,0.9130434782608696,0.9755985267034992,0.9905981586455136,vggish-k
organ,irmas,openmic,0.4268292682926829,0.6862745098039216,0.5263157894736842,51.0,0.657608695652174,0.7279964617425918,0.4903869186755889,vggish-k
piano,irmas,openmic,0.9672131147540984,0.9619565217391304,0.9645776566757494,184.0,0.9477911646586346,0.9731605351170568,0.9896408554284336,vggish-k
saxophone,irmas,openmic,0.7521008403361344,0.8483412322274881,0.7973273942093542,211.0,0.762402088772846,0.8187479334288549,0.8292430899646065,vggish-k
trumpet,irmas,openmic,0.6904761904761905,0.651685393258427,0.6705202312138728,178.0,0.7099236641221374,0.8021165403710478,0.7761398503231822,vggish-k
violin,irmas,openmic,0.8761904761904762,0.7896995708154506,0.8306997742663657,233.0,0.7807017543859649,0.8776233413395284,0.9280492621083852,vggish-k
voice,irmas,openmic,0.9380530973451328,0.913793103448276,0.925764192139738,116.0,0.91005291005291,0.976145488899386,0.9841893839452022,vggish-k
cello,openmic,openmic,0.7948717948717948,0.8230088495575221,0.8086956521739128,113.0,0.7972350230414746,0.8938053097345133,0.8739748820773446,vggish-k
clarinet,openmic,openmic,0.3475177304964539,0.6712328767123288,0.4579439252336449,73.0,0.6293929712460063,0.7171803652968036,0.4191571311246144,vggish-k
flute,openmic,openmic,0.4297520661157025,0.7323943661971831,0.5416666666666666,71.0,0.639344262295082,0.774485060652935,0.5940676056142657,vggish-k
guitar,openmic,openmic,0.9887640449438202,0.9723756906077348,0.98050139275766,181.0,0.9723320158102768,0.9924033149171272,0.9974194858990376,vggish-k
organ,openmic,openmic,0.6,0.3529411764705882,0.4444444444444445,51.0,0.7554347826086957,0.8126197847560077,0.5983304544934472,vggish-k
piano,openmic,openmic,0.9621621621621622,0.967391304347826,0.964769647696477,184.0,0.9477911646586346,0.9766722408026756,0.9908020126143116,vggish-k
saxophone,openmic,openmic,0.8341232227488151,0.8341232227488151,0.8341232227488151,211.0,0.8172323759791122,0.9005841507770308,0.9155584255376996,vggish-k
trumpet,openmic,openmic,0.7433155080213903,0.7808988764044944,0.7616438356164383,178.0,0.7786259541984732,0.8572511105304415,0.8266454071451943,vggish-k
violin,openmic,openmic,0.9032258064516128,0.8412017167381974,0.8711111111111112,233.0,0.8304093567251462,0.9145962121510416,0.9523923232374292,vggish-k
voice,openmic,openmic,0.9469026548672568,0.9224137931034484,0.9344978165938864,116.0,0.9206349206349206,0.9681152574397732,0.9788987840079078,vggish-k
cello,openmic,irmas,0.1927374301675977,0.7340425531914894,0.3053097345132743,94.0,0.8115246098439376,0.8470440149423419,0.3629772009684924,vggish-k
clarinet,openmic,irmas,0.2647058823529412,0.7795275590551181,0.3952095808383233,127.0,0.8181272509003601,0.872414340020363,0.5058582813653734,vggish-k
flute,openmic,irmas,0.2662889518413597,0.7768595041322314,0.3966244725738397,121.0,0.8283313325330132,0.8657733557998343,0.4842572053437754,vggish-k
guitar,openmic,irmas,0.5498839907192575,0.684971098265896,0.61003861003861,346.0,0.8181272509003601,0.8668965668243125,0.652824929488581,vggish-k
organ,openmic,irmas,0.0769230769230769,0.028735632183908,0.0418410041841004,174.0,0.8625450180072028,0.4995377646297494,0.103467873500278,vggish-k
piano,openmic,irmas,0.4212328767123288,0.7235294117647059,0.5324675324675324,170.0,0.8703481392557023,0.8615405787983642,0.6708909774350835,vggish-k
saxophone,openmic,irmas,0.2382075471698113,0.6733333333333333,0.3519163763066202,150.0,0.7767106842737095,0.8042524186455586,0.2838294536973085,vggish-k
trumpet,openmic,irmas,0.2444933920704846,0.74,0.3675496688741722,150.0,0.7707082833133253,0.8462752858399296,0.5100634426318853,vggish-k
violin,openmic,irmas,0.2612137203166227,0.6923076923076923,0.3793103448275862,143.0,0.8055222088835534,0.8229433075132353,0.4315562804210868,vggish-k
voice,openmic,irmas,0.4183908045977011,0.9528795811518324,0.5814696485623003,191.0,0.8427370948379351,0.9702795279084212,0.8559954213530586,vggish-k
cello,irmas,irmas,0.2925925925925925,0.8404255319148937,0.4340659340659341,94.0,0.8763505402160864,0.940176492880732,0.6065955387284948,vggish-klda
clarinet,irmas,irmas,0.3045977011494253,0.8346456692913385,0.4463157894736842,127.0,0.8421368547418968,0.9050155280297564,0.5833526359529556,vggish-klda
flute,irmas,irmas,0.3432835820895522,0.7603305785123967,0.4730077120822622,121.0,0.8769507803121248,0.8991200620503357,0.628936022373949,vggish-klda
guitar,irmas,irmas,0.5524861878453039,0.8670520231213873,0.6749156355455569,346.0,0.826530612244898,0.9312248204589244,0.8287440291256903,vggish-klda
organ,irmas,irmas,0.4721407624633431,0.9252873563218392,0.625242718446602,174.0,0.8841536614645858,0.9658716218298358,0.7619293423874695,vggish-klda
piano,irmas,irmas,0.6336206896551724,0.8647058823529412,0.7313432835820894,170.0,0.9351740696278512,0.959012268008808,0.8365636104939368,vggish-klda
saxophone,irmas,irmas,0.2791762013729977,0.8133333333333334,0.4156729131175469,150.0,0.7941176470588235,0.8867062445030783,0.5430281361041135,vggish-klda
trumpet,irmas,irmas,0.3841059602649007,0.7733333333333333,0.5132743362831858,150.0,0.8679471788715486,0.9033201407211964,0.6719140484004642,vggish-klda
violin,irmas,irmas,0.2774566473988439,0.6713286713286714,0.3926380368098159,143.0,0.8217286914765907,0.8465533153648716,0.5067041542598937,vggish-klda
voice,irmas,irmas,0.6846153846153846,0.9319371727748692,0.7893569844789357,191.0,0.9429771908763506,0.9865258674239062,0.9154309137523016,vggish-klda
cello,irmas,openmic,0.6917808219178082,0.8938053097345132,0.7799227799227799,113.0,0.7373271889400922,0.77357045609258,0.7713108103215961,vggish-klda
clarinet,irmas,openmic,0.3426573426573426,0.6712328767123288,0.4537037037037036,73.0,0.6230031948881789,0.695148401826484,0.3964840821635779,vggish-klda
flute,irmas,openmic,0.4152542372881356,0.6901408450704225,0.5185185185185185,71.0,0.6270491803278688,0.7470487665879672,0.5904787881676613,vggish-klda
guitar,irmas,openmic,0.970414201183432,0.9060773480662984,0.9371428571428572,181.0,0.9130434782608696,0.9755985267034992,0.9905981586455136,vggish-klda
organ,irmas,openmic,0.4268292682926829,0.6862745098039216,0.5263157894736842,51.0,0.657608695652174,0.7277016069585729,0.4900805978741861,vggish-klda
piano,irmas,openmic,0.9672131147540984,0.9619565217391304,0.9645776566757494,184.0,0.9477911646586346,0.9731605351170568,0.9896408554284336,vggish-klda
saxophone,irmas,openmic,0.7521008403361344,0.8483412322274881,0.7973273942093542,211.0,0.762402088772846,0.8187479334288548,0.8292388163355822,vggish-klda
trumpet,irmas,openmic,0.6904761904761905,0.651685393258427,0.6705202312138728,178.0,0.7099236641221374,0.8021165403710478,0.7761404108769707,vggish-klda
violin,irmas,openmic,0.8761904761904762,0.7896995708154506,0.8306997742663657,233.0,0.7807017543859649,0.8776233413395284,0.9280492621083852,vggish-klda
voice,irmas,openmic,0.9380530973451328,0.913793103448276,0.925764192139738,116.0,0.91005291005291,0.976145488899386,0.9841893839452022,vggish-klda
cello,openmic,openmic,0.7948717948717948,0.8230088495575221,0.8086956521739128,113.0,0.7972350230414746,0.8937202178352621,0.873931723161465,vggish-klda
clarinet,openmic,openmic,0.3475177304964539,0.6712328767123288,0.4579439252336449,73.0,0.6293929712460063,0.7174086757990867,0.4196519048017068,vggish-klda
flute,openmic,openmic,0.4297520661157025,0.7323943661971831,0.5416666666666666,71.0,0.639344262295082,0.7745664739884393,0.5941143922395291,vggish-klda
guitar,openmic,openmic,0.9887640449438202,0.9723756906077348,0.98050139275766,181.0,0.9723320158102768,0.9924033149171272,0.9974194858990376,vggish-klda
organ,openmic,openmic,0.6,0.3529411764705882,0.4444444444444445,51.0,0.7554347826086957,0.8129146395400265,0.5989140911739258,vggish-klda
piano,openmic,openmic,0.9621621621621622,0.967391304347826,0.964769647696477,184.0,0.9477911646586346,0.9766722408026756,0.9908020126143116,vggish-klda
saxophone,openmic,openmic,0.8341232227488151,0.8341232227488151,0.8341232227488151,211.0,0.8172323759791122,0.9001432822660641,0.9152613890162296,vggish-klda
trumpet,openmic,openmic,0.7433155080213903,0.7808988764044944,0.7616438356164383,178.0,0.7786259541984732,0.8572249804024039,0.8266215413650397,vggish-klda
violin,openmic,openmic,0.9032258064516128,0.8412017167381974,0.8711111111111112,233.0,0.8304093567251462,0.9145962121510416,0.9523923232374292,vggish-klda
voice,openmic,openmic,0.9469026548672568,0.9224137931034484,0.9344978165938864,116.0,0.9206349206349206,0.9681152574397732,0.9788987840079078,vggish-klda
cello,openmic,irmas,0.1927374301675977,0.7340425531914894,0.3053097345132743,94.0,0.8115246098439376,0.8471252233230468,0.3630376605623763,vggish-klda
clarinet,openmic,irmas,0.2654155495978552,0.7795275590551181,0.396,127.0,0.8187274909963985,0.8724245726594119,0.5060188099210923,vggish-klda
flute,openmic,irmas,0.2662889518413597,0.7768595041322314,0.3966244725738397,121.0,0.8283313325330132,0.8658054508010378,0.4844921395633712,vggish-klda
guitar,openmic,irmas,0.5498839907192575,0.684971098265896,0.61003861003861,346.0,0.8181272509003601,0.8668724820458925,0.6527933966705667,vggish-klda
organ,openmic,irmas,0.078125,0.028735632183908,0.042016806722689,174.0,0.8631452581032413,0.4995493205140057,0.1035214201927666,vggish-klda
piano,openmic,irmas,0.4250871080139373,0.7176470588235294,0.5339168490153173,170.0,0.8721488595438175,0.861450141553948,0.671165996140205,vggish-klda
saxophone,openmic,irmas,0.2394366197183098,0.68,0.3541666666666666,150.0,0.7767106842737095,0.8049516270888303,0.2860759511104793,vggish-klda
trumpet,openmic,irmas,0.2444933920704846,0.74,0.3675496688741722,150.0,0.7707082833133253,0.8462401055408971,0.5098539065222883,vggish-klda
violin,openmic,irmas,0.2612137203166227,0.6923076923076923,0.3793103448275862,143.0,0.8055222088835534,0.8229433075132353,0.4315562804210868,vggish-klda
voice,openmic,irmas,0.4183908045977011,0.9528795811518324,0.5814696485623003,191.0,0.8427370948379351,0.9702830774691632,0.8559981692249122,vggish-klda
cello,irmas,irmas,0.2904411764705882,0.8404255319148937,0.4316939890710383,94.0,0.8751500600240096,0.9393441069785068,0.6076502418145685,vggish-mklda
clarinet,irmas,irmas,0.3031161473087819,0.84251968503937,0.4458333333333333,127.0,0.8403361344537815,0.905035993307854,0.5852072747137542,vggish-mklda
flute,irmas,irmas,0.3432835820895522,0.7603305785123967,0.4730077120822622,121.0,0.8769507803121248,0.8993340287250262,0.6286510756919186,vggish-mklda
guitar,irmas,irmas,0.5504587155963303,0.8670520231213873,0.6734006734006733,346.0,0.8253301320528211,0.9309533193203712,0.8284423682983988,vggish-mklda
organ,irmas,irmas,0.4736842105263157,0.9310344827586208,0.627906976744186,174.0,0.8847539015606243,0.965913993405442,0.759292844795326,vggish-mklda
piano,irmas,irmas,0.6336206896551724,0.8647058823529412,0.7313432835820894,170.0,0.9351740696278512,0.9590319282793331,0.8369992607826044,vggish-mklda
saxophone,irmas,irmas,0.2768878718535469,0.8066666666666666,0.4122657580919932,150.0,0.7929171668667467,0.8867414248021107,0.5449024500553232,vggish-mklda
trumpet,irmas,irmas,0.3841059602649007,0.7733333333333333,0.5132743362831858,150.0,0.8679471788715486,0.9035356200527704,0.6732638552114445,vggish-mklda
violin,irmas,irmas,0.276657060518732,0.6713286713286714,0.3918367346938775,143.0,0.8211284513805522,0.8463375101589153,0.5066730171406344,vggish-mklda
voice,irmas,irmas,0.667910447761194,0.93717277486911,0.7799564270152506,191.0,0.93937575030012,0.9862596503682668,0.9140095299922628,vggish-mklda
cello,irmas,openmic,0.6917808219178082,0.8938053097345132,0.7799227799227799,113.0,0.7373271889400922,0.7754424778761062,0.7724472872180714,vggish-mklda
clarinet,irmas,openmic,0.3402777777777778,0.6712328767123288,0.4516129032258065,73.0,0.6198083067092651,0.6950913242009132,0.3950133157251164,vggish-mklda
flute,irmas,openmic,0.4201680672268907,0.704225352112676,0.5263157894736842,71.0,0.6311475409836066,0.746804526581454,0.5893069182504586,vggish-mklda
guitar,irmas,openmic,0.970414201183432,0.9060773480662984,0.9371428571428572,181.0,0.9130434782608696,0.9759054634745244,0.9907152131290604,vggish-mklda
organ,irmas,openmic,0.4268292682926829,0.6862745098039216,0.5263157894736842,51.0,0.657608695652174,0.7293233082706767,0.4950054229004558,vggish-mklda
piano,irmas,openmic,0.9672131147540984,0.9619565217391304,0.9645776566757494,184.0,0.9477911646586346,0.9732441471571908,0.9897056547847496,vggish-mklda
saxophone,irmas,openmic,0.7552742616033755,0.8483412322274881,0.7991071428571428,211.0,0.7650130548302873,0.818885704838532,0.829155015933998,vggish-mklda
trumpet,irmas,openmic,0.6863905325443787,0.651685393258427,0.6685878962536023,178.0,0.7073791348600509,0.8026914031878756,0.7761174624302944,vggish-mklda
violin,irmas,openmic,0.8761904761904762,0.7896995708154506,0.8306997742663657,233.0,0.7807017543859649,0.8773083435051384,0.9277665620955452,vggish-mklda
voice,irmas,openmic,0.9292035398230089,0.9051724137931034,0.9170305676855894,116.0,0.8994708994708994,0.9752007557864903,0.9836743479298328,vggish-mklda
cello,openmic,openmic,0.8017241379310345,0.8230088495575221,0.8122270742358078,113.0,0.8018433179723502,0.8934649421375085,0.8750278550843881,vggish-mklda
