instrument,train_set,test_set,precision,recall,f1-score,support,accuracy,roc_auc,ap,embedding
cello,irmas,irmas,0.5496688741721855,0.8829787234042553,0.6775510204081633,94.0,0.9525810324129652,0.9735396026203238,0.7731891704149751,openl3-k
clarinet,irmas,irmas,0.6214285714285714,0.6850393700787402,0.6516853932584269,127.0,0.9441776710684273,0.9240021897847563,0.7400539401136806,openl3-k
flute,irmas,irmas,0.6585365853658537,0.6694214876033058,0.6639344262295083,121.0,0.9507803121248499,0.9310759849153495,0.7352769257211673,openl3-k
guitar,irmas,irmas,0.782608695652174,0.884393063583815,0.830393487109905,346.0,0.924969987995198,0.9667498686284814,0.8851630324832624,openl3-k
organ,irmas,irmas,0.8238341968911918,0.9137931034482759,0.8664850136239781,174.0,0.9705882352941176,0.9913600505377338,0.9140992491570205,openl3-k
piano,irmas,irmas,0.848314606741573,0.888235294117647,0.867816091954023,170.0,0.9723889555822329,0.9821917269581629,0.9334668409877587,openl3-k
saxophone,irmas,irmas,0.4945652173913043,0.6066666666666667,0.5449101796407185,150.0,0.9087635054021609,0.8890281442392259,0.5558920718275728,openl3-k
trumpet,irmas,irmas,0.7349397590361446,0.8133333333333334,0.7721518987341773,150.0,0.9567827130852341,0.9526341248900615,0.8507749263009743,openl3-k
violin,irmas,irmas,0.44036697247706424,0.6713286713286714,0.5318559556786704,143.0,0.8985594237695078,0.9029932641226142,0.5718171743741988,openl3-k
voice,irmas,irmas,0.8720379146919431,0.9633507853403142,0.9154228855721392,191.0,0.9795918367346939,0.9957369775490282,0.970843440566367,openl3-k
cello,openmic,openmic,0.7574468085106383,0.7876106194690266,0.772234273318872,226.0,0.7835051546391752,0.8921823213858612,0.8613679753909103,openl3-k
clarinet,openmic,openmic,0.3765182186234818,0.6788321167883211,0.4843749999999999,137.0,0.690625,0.7814572419497614,0.47399863215445487,openl3-k
flute,openmic,openmic,0.5018450184501845,0.7771428571428571,0.6098654708520179,175.0,0.6903914590747331,0.7908010335917312,0.6340402369931482,openl3-k
guitar,openmic,openmic,0.989247311827957,0.965034965034965,0.9769911504424779,286.0,0.9701834862385321,0.9883216783216784,0.99377621407156,openl3-k
organ,openmic,openmic,0.5734265734265734,0.6776859504132231,0.6212121212121212,121.0,0.7679814385150812,0.832098107171421,0.616995387643361,openl3-k
piano,openmic,openmic,0.9547038327526133,0.9614035087719298,0.9580419580419581,285.0,0.9421686746987952,0.9804858299595142,0.9905494264537109,openl3-k
saxophone,openmic,openmic,0.7795031055900621,0.8229508196721311,0.8006379585326954,305.0,0.8012718600953895,0.897611819469743,0.8935540870990564,openl3-k
trumpet,openmic,openmic,0.7282913165266106,0.8176100628930818,0.7703703703703705,318.0,0.802547770700637,0.8730489003811294,0.8279727806876069,openl3-k
violin,openmic,openmic,0.874384236453202,0.9010152284263959,0.8875,394.0,0.8573692551505546,0.9286234444944205,0.9449983383526408,openl3-k
voice,openmic,openmic,0.9308755760368663,0.9017857142857143,0.9160997732426304,224.0,0.9010695187165776,0.9716964285714287,0.9818007298901614,openl3-k
cello,irmas,openmic,0.6181818181818182,0.3008849557522124,0.4047619047619048,226.0,0.5876288659793815,0.6764273755424197,0.6209379264146624,openl3-k
clarinet,irmas,openmic,0.3508771929824561,0.291970802919708,0.31872509960159356,137.0,0.7328125,0.6764812584347927,0.33441014652767104,openl3-k
flute,irmas,openmic,0.5855855855855856,0.37142857142857144,0.4545454545454546,175.0,0.7224199288256228,0.7222886674049466,0.5338234053403487,openl3-k
guitar,irmas,openmic,0.987012987012987,0.7972027972027972,0.8820116054158607,286.0,0.8600917431192661,0.9652680652680653,0.9833134482021515,openl3-k
organ,irmas,openmic,0.6875,0.2727272727272727,0.3905325443786982,121.0,0.7610208816705336,0.6978405758464409,0.5011326236121081,openl3-k
piano,irmas,openmic,0.9872881355932204,0.8175438596491228,0.8944337811900192,285.0,0.8674698795180723,0.9643184885290148,0.9844665086160849,openl3-k
saxophone,irmas,openmic,0.7734806629834254,0.45901639344262296,0.5761316872427983,305.0,0.6724960254372019,0.7537947783849424,0.7426912623624505,openl3-k
trumpet,irmas,openmic,0.697986577181208,0.3270440251572327,0.4453961456102783,318.0,0.6700636942675159,0.7293442689184276,0.6317707067364028,openl3-k
violin,irmas,openmic,0.8770764119601329,0.6700507614213198,0.7597122302158272,394.0,0.7353407290015848,0.8557476065026024,0.89691569616805,openl3-k
voice,irmas,openmic,0.9791666666666666,0.6294642857142857,0.7663043478260869,224.0,0.7700534759358288,0.964732142857143,0.9755009311251588,openl3-k
cello,openmic,irmas,0.18610421836228289,0.7978723404255319,0.3018108651911469,94.0,0.7917166866746699,0.865261761680472,0.3459445337154517,openl3-k
clarinet,openmic,irmas,0.286231884057971,0.6220472440944882,0.3920595533498759,127.0,0.8529411764705882,0.8540416366082895,0.2850859386333063,openl3-k
flute,openmic,irmas,0.22252747252747251,0.6694214876033058,0.334020618556701,121.0,0.8061224489795918,0.8021289684131698,0.2649912779657692,openl3-k
guitar,openmic,irmas,0.5018181818181818,0.7976878612716763,0.6160714285714286,346.0,0.7935174069627852,0.8792739534069014,0.6810538272076185,openl3-k
organ,openmic,irmas,0.043478260869565216,0.040229885057471264,0.0417910447761194,174.0,0.8073229291716687,0.3575313549659487,0.07690236782798979,openl3-k
piano,openmic,irmas,0.28007889546351084,0.8352941176470589,0.4194977843426883,170.0,0.7641056422569028,0.885482856244102,0.6976446017582985,openl3-k
saxophone,openmic,irmas,0.24121779859484777,0.6866666666666666,0.35701906412478335,150.0,0.7773109243697479,0.8072779243623571,0.3005836041916534,openl3-k
trumpet,openmic,irmas,0.37209302325581395,0.7466666666666667,0.4966740576496674,150.0,0.8637454981992797,0.8930386983289358,0.5557357289510158,openl3-k
violin,openmic,irmas,0.2493368700265252,0.6573426573426573,0.36153846153846153,143.0,0.8007202881152461,0.816106414924537,0.3586592203765241,openl3-k
voice,openmic,irmas,0.5515151515151515,0.9528795811518325,0.6986564299424184,191.0,0.9057623049219687,0.9833490105599433,0.9328214751901714,openl3-k
