instrument,train_set,test_set,precision,recall,f1-score,support,accuracy,roc_auc,ap,embedding
cello,irmas,irmas,0.5496688741721855,0.8829787234042553,0.6775510204081633,94.0,0.9525810324129652,0.9735666720805587,0.7733629341997147,openl3-klda
clarinet,irmas,irmas,0.6214285714285714,0.6850393700787402,0.6516853932584269,127.0,0.9441776710684273,0.9239970734652321,0.7400605141844547,openl3-klda
flute,irmas,irmas,0.6585365853658537,0.6694214876033058,0.6639344262295083,121.0,0.9507803121248499,0.9310331915804113,0.7349164027159194,openl3-klda
guitar,irmas,irmas,0.782608695652174,0.884393063583815,0.830393487109905,346.0,0.924969987995198,0.9667301629006831,0.8851230895353731,openl3-klda
organ,irmas,irmas,0.8238341968911918,0.9137931034482759,0.8664850136239781,174.0,0.9705882352941176,0.9913561985763151,0.9140239249255524,openl3-klda
piano,irmas,irmas,0.848314606741573,0.888235294117647,0.867816091954023,170.0,0.9723889555822329,0.9821838628499527,0.9334200994318962,openl3-klda
saxophone,irmas,irmas,0.4945652173913043,0.6066666666666667,0.5449101796407185,150.0,0.9087635054021609,0.8889885664028144,0.5558035806471261,openl3-klda
trumpet,irmas,irmas,0.7349397590361446,0.8133333333333334,0.7721518987341773,150.0,0.9567827130852341,0.9526341248900615,0.8507749263009743,openl3-klda
violin,irmas,irmas,0.4444444444444444,0.6713286713286714,0.5348189415041782,143.0,0.8997599039615847,0.9029197985205863,0.5717806107439084,openl3-klda
voice,irmas,irmas,0.8720379146919431,0.9633507853403142,0.9154228855721392,191.0,0.9795918367346939,0.9957405271097702,0.9708800149945094,openl3-klda
cello,openmic,openmic,0.7574468085106383,0.7876106194690266,0.772234273318872,226.0,0.7835051546391752,0.8921481532101001,0.8613529686943939,openl3-klda
clarinet,openmic,openmic,0.3765182186234818,0.6788321167883211,0.4843749999999999,137.0,0.690625,0.7814717534210793,0.4740986461815973,openl3-klda
flute,openmic,openmic,0.5018450184501845,0.7771428571428571,0.6098654708520179,175.0,0.6903914590747331,0.7907567368032484,0.6337319283412295,openl3-klda
guitar,openmic,openmic,0.989247311827957,0.965034965034965,0.9769911504424779,286.0,0.9701834862385321,0.9883449883449884,0.9937888358227351,openl3-klda
organ,openmic,openmic,0.5734265734265734,0.6776859504132231,0.6212121212121212,121.0,0.7679814385150812,0.832098107171421,0.616995387643361,openl3-klda
piano,openmic,openmic,0.9547038327526133,0.9614035087719298,0.9580419580419581,285.0,0.9421686746987952,0.9804858299595142,0.9905494264537109,openl3-klda
saxophone,openmic,openmic,0.7801857585139319,0.8262295081967214,0.802547770700637,305.0,0.8028616852146264,0.8976017000607164,0.8936196353758943,openl3-klda
trumpet,openmic,openmic,0.7282913165266106,0.8176100628930818,0.7703703703703705,318.0,0.802547770700637,0.8730421666464656,0.827947959933818,openl3-klda
violin,openmic,openmic,0.874384236453202,0.9010152284263959,0.8875,394.0,0.8573692551505546,0.9286555719762685,0.9450742210299751,openl3-klda
voice,openmic,openmic,0.9308755760368663,0.9017857142857143,0.9160997732426304,224.0,0.9010695187165776,0.9717261904761905,0.9818211559465929,openl3-klda
cello,irmas,openmic,0.6146788990825688,0.29646017699115046,0.4,226.0,0.5855670103092784,0.6764444596303003,0.6209404848273576,openl3-klda
clarinet,irmas,openmic,0.3508771929824561,0.291970802919708,0.31872509960159356,137.0,0.7328125,0.6764522354921565,0.3343673322728109,openl3-klda
flute,irmas,openmic,0.5818181818181818,0.3657142857142857,0.44912280701754387,175.0,0.7206405693950177,0.7223181985972683,0.5338706757180813,openl3-klda
guitar,irmas,openmic,0.987012987012987,0.7972027972027972,0.8820116054158607,286.0,0.8600917431192661,0.9652214452214452,0.9832831168204381,openl3-klda
organ,irmas,openmic,0.6875,0.2727272727272727,0.3905325443786982,121.0,0.7610208816705336,0.6978405758464409,0.5011326236121081,openl3-klda
piano,irmas,openmic,0.9872881355932204,0.8175438596491228,0.8944337811900192,285.0,0.8674698795180723,0.9643184885290148,0.9844665086160849,openl3-klda
