instrument,train_set,test_set,precision,recall,f1-score,support,accuracy,roc_auc,ap,embedding
cello,irmas,irmas,0.5,0.8085106382978723,0.6178861788617885,94.0,0.943577430972389,0.9551932759460776,0.7475689869085103,openl3-lda-genre
clarinet,irmas,irmas,0.4392523364485981,0.7401574803149606,0.5513196480938417,127.0,0.9081632653061225,0.9101932433884361,0.6856006212829876,openl3-lda-genre
flute,irmas,irmas,0.38349514563106796,0.6528925619834711,0.4831804281345565,121.0,0.8985594237695078,0.9003450212629384,0.5426584477246266,openl3-lda-genre
guitar,irmas,irmas,0.7116704805491991,0.8988439306358381,0.7943805874840358,346.0,0.9033613445378151,0.9637830618321948,0.8802439730817827,openl3-lda-genre
organ,irmas,irmas,0.7314814814814815,0.9080459770114943,0.8102564102564103,174.0,0.9555822328931572,0.9877777264182923,0.8909826560191966,openl3-lda-genre
piano,irmas,irmas,0.8021390374331551,0.8823529411764706,0.8403361344537815,170.0,0.9657863145258103,0.9770879207297892,0.9278782533372301,openl3-lda-genre
saxophone,irmas,irmas,0.30158730158730157,0.76,0.43181818181818177,150.0,0.8199279711884754,0.8652550571679859,0.5336724385813245,openl3-lda-genre
trumpet,irmas,irmas,0.5,0.8666666666666667,0.6341463414634146,150.0,0.9099639855942377,0.9571108179419525,0.7780561356144178,openl3-lda-genre
violin,irmas,irmas,0.17015706806282724,0.9090909090909091,0.286659316427784,143.0,0.6116446578631453,0.8609571649624177,0.46747269942455155,openl3-lda-genre
voice,irmas,irmas,0.793859649122807,0.9476439790575916,0.863961813842482,191.0,0.9657863145258103,0.9939160528884551,0.9555559237765847,openl3-lda-genre
cello,openmic,openmic,0.7490196078431373,0.8451327433628318,0.7941787941787942,226.0,0.7958762886597938,0.8861516383640278,0.8535395532403404,openl3-lda-genre
clarinet,openmic,openmic,0.34069400630914826,0.7883211678832117,0.4757709251101322,137.0,0.628125,0.7554526853477673,0.42796861731562974,openl3-lda-genre
flute,openmic,openmic,0.45819397993311034,0.7828571428571428,0.5780590717299577,175.0,0.6441281138790036,0.7854115909929864,0.6460879024358699,openl3-lda-genre
guitar,openmic,openmic,0.9721254355400697,0.9755244755244755,0.9738219895287957,286.0,0.9655963302752294,0.9901165501165501,0.9949320195564547,openl3-lda-genre
organ,openmic,openmic,0.4188679245283019,0.9173553719008265,0.5751295336787565,121.0,0.6194895591647331,0.8091975473207145,0.5796178070081677,openl3-lda-genre
piano,openmic,openmic,0.9425675675675675,0.9789473684210527,0.9604130808950087,285.0,0.944578313253012,0.97638326585695,0.987411277308634,openl3-lda-genre
saxophone,openmic,openmic,0.723404255319149,0.8918032786885246,0.7988252569750368,305.0,0.7821939586645469,0.8878870673952641,0.8792187784656658,openl3-lda-genre
trumpet,openmic,openmic,0.6750629722921915,0.8427672955974843,0.7496503496503497,318.0,0.7719745222929937,0.8624163333468009,0.8164218630459921,openl3-lda-genre
violin,openmic,openmic,0.8674418604651163,0.9467005076142132,0.9053398058252426,394.0,0.8763866877971473,0.9222943305703699,0.9407090734927962,openl3-lda-genre
voice,openmic,openmic,0.9035087719298246,0.9196428571428571,0.911504424778761,224.0,0.893048128342246,0.9684226190476191,0.9795113574261953,openl3-lda-genre
cello,irmas,openmic,0.573170731707317,0.2079646017699115,0.3051948051948052,226.0,0.5587628865979382,0.6776745139576998,0.5964793981347305,openl3-lda-genre
clarinet,irmas,openmic,0.2727272727272727,0.08759124087591241,0.13259668508287295,137.0,0.7546875,0.6569052836267069,0.2886378188558791,openl3-lda-genre
flute,irmas,openmic,0.6071428571428571,0.2914285714285714,0.3938223938223938,175.0,0.7206405693950177,0.7118936877076412,0.511084155941593,openl3-lda-genre
guitar,irmas,openmic,0.9657794676806084,0.8881118881118881,0.9253187613843352,286.0,0.9059633027522935,0.9687412587412587,0.9846367578003143,openl3-lda-genre
organ,irmas,openmic,0.4068965517241379,0.48760330578512395,0.44360902255639095,121.0,0.6566125290023201,0.6648093841642229,0.4506642788957903,openl3-lda-genre
piano,irmas,openmic,0.9771863117870723,0.9017543859649123,0.937956204379562,285.0,0.9180722891566265,0.9724966261808367,0.9865634187449159,openl3-lda-genre
saxophone,irmas,openmic,0.6750788643533123,0.7016393442622951,0.6881028938906754,305.0,0.6915739268680445,0.7545840922890104,0.7007478688534517,openl3-lda-genre
trumpet,irmas,openmic,0.7154471544715447,0.27672955974842767,0.3990929705215419,318.0,0.6624203821656051,0.7059512746959719,0.6182698141645557,openl3-lda-genre
violin,irmas,openmic,0.7914893617021277,0.9441624365482234,0.8611111111111112,394.0,0.8098256735340729,0.8654072693782261,0.8892314874906162,openl3-lda-genre
voice,irmas,openmic,0.9554455445544554,0.8616071428571429,0.9061032863849766,224.0,0.893048128342246,0.9686011904761904,0.9792408160018152,openl3-lda-genre
cello,openmic,irmas,0.10723860589812333,0.851063829787234,0.1904761904761905,94.0,0.5918367346938775,0.7905974229873856,0.22783158016751656,openl3-lda-genre
clarinet,openmic,irmas,0.10801393728222997,0.9763779527559056,0.19450980392156864,127.0,0.3835534213685474,0.8113050196210855,0.2298432801589503,openl3-lda-genre
flute,openmic,irmas,0.12203791469194313,0.8512396694214877,0.21347150259067357,121.0,0.5444177671068428,0.7591805076359358,0.1889342542386236,openl3-lda-genre
guitar,openmic,irmas,0.36771300448430494,0.9479768786127167,0.5298869143780292,346.0,0.6506602641056423,0.8812051147311263,0.7004720210049226,openl3-lda-genre
organ,openmic,irmas,0.030855539971949508,0.12643678160919541,0.0496054114994363,174.0,0.4939975990396158,0.2386136020461619,0.06403128208038718,openl3-lda-genre
piano,openmic,irmas,0.173963133640553,0.888235294117647,0.2909441233140655,170.0,0.5582232893157263,0.8463195973576596,0.5912181888713937,openl3-lda-genre
saxophone,openmic,irmas,0.13874066168623267,0.8666666666666667,0.23919043238270468,150.0,0.5036014405762305,0.7759014951627089,0.2966451971855897,openl3-lda-genre
trumpet,openmic,irmas,0.125,0.9666666666666667,0.2213740458015267,150.0,0.3877551020408163,0.8704749340369392,0.5008304509597324,openl3-lda-genre
violin,openmic,irmas,0.16005665722379603,0.7902097902097902,0.26619552414605413,143.0,0.6260504201680672,0.8022948817433387,0.3380824112356185,openl3-lda-genre
voice,openmic,irmas,0.28463855421686746,0.9895287958115183,0.4421052631578948,191.0,0.7136854741896759,0.985056349276777,0.9397182412738255,openl3-lda-genre
