instrument,train_set,test_set,precision,recall,f1-score,support,accuracy,roc_auc,ap,embedding
cello,A,A,0.7777777777777778,0.7,0.7368421052631577,30.0,0.9802110817941952,0.958470695970696,0.8028475397870363,openl3
clarinet,A,A,0.8,0.8,0.8000000000000002,35.0,0.9815303430079156,0.9825330962260422,0.8719954965553329,openl3
flute,A,A,0.7441860465116279,0.7272727272727273,0.735632183908046,44.0,0.9696569920844328,0.9631716322892794,0.762225632591502,openl3
guitar-ac,A,A,0.8348623853211009,0.9285714285714286,0.8792270531400966,98.0,0.967018469656992,0.991573902288188,0.938163672668551,openl3
guitar-el,A,A,0.7239263803680982,0.9076923076923076,0.8054607508532423,130.0,0.924802110817942,0.9738853503184712,0.8964870274389978,openl3
organ,A,A,0.8433734939759037,0.945945945945946,0.8917197452229301,74.0,0.9775725593667546,0.9938161846056583,0.9408733977471332,openl3
piano,A,A,0.7380952380952381,0.7948717948717948,0.7654320987654322,39.0,0.974934036939314,0.9887307870618024,0.8385394547393644,openl3
saxophone,A,A,0.5555555555555556,0.5714285714285714,0.5633802816901409,35.0,0.9591029023746702,0.8817624975301324,0.5543724134924077,openl3
trumpet,A,A,0.8048780487804879,0.8048780487804879,0.8048780487804877,41.0,0.978891820580475,0.9680579650984796,0.8331132506800174,openl3
violin,A,A,0.5555555555555556,0.7608695652173914,0.6422018348623854,46.0,0.9485488126649076,0.957651441133366,0.6524377470087456,openl3
voice,A,A,0.9263157894736842,0.946236559139785,0.9361702127659576,186.0,0.9683377308707124,0.9912023460410558,0.9821007720783632,openl3
cello,A,B,0.4444444444444444,0.4117647058823529,0.4274809160305343,68.0,0.9197860962566844,0.904318474794762,0.5170281698942344,openl3
clarinet,A,B,0.3809523809523809,0.3478260869565217,0.3636363636363636,92.0,0.8802139037433155,0.7937232451389965,0.332583592732566,openl3
flute,A,B,0.2444444444444444,0.3098591549295774,0.2732919254658384,71.0,0.8748663101604278,0.8143094679186228,0.3002303610468897,openl3
guitar-ac,A,B,0.6585365853658537,0.8571428571428571,0.7448275862068966,63.0,0.960427807486631,0.9758628221930974,0.8172467934142879,openl3
guitar-el,A,B,0.3888888888888889,0.4516129032258064,0.417910447761194,62.0,0.916577540106952,0.8045855965709641,0.4446649378869173,openl3
organ,A,B,0.6410256410256411,0.7731958762886598,0.7009345794392524,97.0,0.9315508021390374,0.9693797209851636,0.8075867396031865,openl3
piano,A,B,0.8113207547169812,0.902097902097902,0.8543046357615893,143.0,0.9529411764705882,0.9828618351345624,0.9235897679344066,openl3
