instrument,train_set,test_set,precision,recall,f1-score,support,accuracy,roc_auc,ap,embedding
cello,irmas,irmas,0.3652173913043478,0.8936170212765957,0.5185185185185185,94.0,0.9063625450180072,0.9683219641600347,0.7537153517066449,openl3-k
clarinet,irmas,irmas,0.4246575342465753,0.7322834645669292,0.5375722543352601,127.0,0.9039615846338536,0.9052508787278783,0.6522765639492951,openl3-k
flute,irmas,irmas,0.36403508771929827,0.6859504132231405,0.4756446991404012,121.0,0.89015606242497,0.904405038915189,0.5653560937698119,openl3-k
guitar,irmas,irmas,0.5719237435008665,0.953757225433526,0.7150595882990247,346.0,0.8421368547418968,0.9528266771763882,0.8323695066444052,openl3-k
organ,irmas,irmas,0.7205240174672489,0.9482758620689655,0.8188585607940446,174.0,0.9561824729891957,0.9894802933653817,0.8953776782134609,openl3-k
piano,irmas,irmas,0.7342995169082126,0.8941176470588236,0.806366047745358,170.0,0.9561824729891957,0.9789713746461152,0.9248637103562398,openl3-k
saxophone,irmas,irmas,0.27973568281938327,0.8466666666666667,0.4205298013245033,150.0,0.7899159663865546,0.8809850483729113,0.5337584046505591,openl3-k
trumpet,irmas,irmas,0.5198412698412699,0.8733333333333333,0.6517412935323382,150.0,0.9159663865546218,0.9478891820580474,0.7462496510571839,openl3-k
violin,irmas,irmas,0.2683544303797468,0.7412587412587412,0.39405204460966536,143.0,0.8043217286914766,0.8746998241417151,0.47410472780423196,openl3-k
voice,irmas,irmas,0.5766871165644172,0.9842931937172775,0.7272727272727273,191.0,0.9153661464585834,0.9925530215635816,0.9578572473643006,openl3-k
cello,irmas,openmic,0.6,0.6106194690265486,0.6052631578947368,113.0,0.5852534562211982,0.6513784887678693,0.6396374563475767,openl3-k
clarinet,irmas,openmic,0.42424242424242425,0.1917808219178082,0.2641509433962264,73.0,0.7507987220447284,0.6752853881278539,0.409544468256997,openl3-k
flute,irmas,openmic,0.625,0.28169014084507044,0.3883495145631068,71.0,0.7418032786885246,0.7679719938125865,0.5652883725420945,openl3-k
guitar,irmas,openmic,0.9874213836477987,0.8674033149171271,0.9235294117647059,181.0,0.8972332015810277,0.9805095150399018,0.992447307693189,openl3-k
organ,irmas,openmic,0.5416666666666666,0.5098039215686274,0.5252525252525253,51.0,0.7445652173913043,0.7614624797287337,0.542552552918825,openl3-k
piano,irmas,openmic,0.968944099378882,0.8478260869565217,0.9043478260869566,184.0,0.8674698795180723,0.9430602006688963,0.9820455674338808,openl3-k
saxophone,irmas,openmic,0.7661691542288557,0.7298578199052133,0.7475728155339805,211.0,0.7284595300261096,0.8054943238179213,0.8233314534392957,openl3-k
trumpet,irmas,openmic,0.75,0.20224719101123595,0.3185840707964601,178.0,0.6081424936386769,0.714659001829109,0.6747627190709631,openl3-k
violin,irmas,openmic,0.8483412322274881,0.7682403433476395,0.8063063063063064,233.0,0.7485380116959064,0.8061975823916211,0.8806495487203909,openl3-k
voice,irmas,openmic,0.9591836734693877,0.8103448275862069,0.8785046728971961,116.0,0.8624338624338624,0.971067548417572,0.9807590623001955,openl3-k
cello,openmic,openmic,0.8198198198198198,0.8053097345132744,0.8125,113.0,0.8064516129032258,0.9007828454731109,0.9012175957967482,openl3-k
clarinet,openmic,openmic,0.3524590163934426,0.589041095890411,0.441025641025641,73.0,0.6517571884984026,0.7092465753424658,0.41878839020044445,openl3-k
flute,openmic,openmic,0.4789915966386555,0.8028169014084507,0.6000000000000001,71.0,0.6885245901639344,0.7822193275258487,0.5484937190604248,openl3-k
guitar,openmic,openmic,0.9887640449438202,0.9723756906077348,0.9805013927576601,181.0,0.9723320158102767,0.9969306322897483,0.9988419632920311,openl3-k
organ,openmic,openmic,0.5675675675675675,0.4117647058823529,0.47727272727272724,51.0,0.75,0.8011204481792717,0.6011654307408424,openl3-k
piano,openmic,openmic,0.9572192513368984,0.9728260869565217,0.9649595687331537,184.0,0.9477911646586346,0.9774247491638796,0.9912805615951328,openl3-k
saxophone,openmic,openmic,0.7981651376146789,0.8246445497630331,0.8111888111888111,211.0,0.7885117493472585,0.879174473713215,0.9014529106583407,openl3-k
trumpet,openmic,openmic,0.7263681592039801,0.8202247191011236,0.7704485488126649,178.0,0.7786259541984732,0.8517899137705776,0.8157459052906282,openl3-k
violin,openmic,openmic,0.8873873873873874,0.8454935622317596,0.865934065934066,233.0,0.8216374269005848,0.908690002756231,0.9462872698331612,openl3-k
voice,openmic,openmic,0.9243697478991597,0.9482758620689655,0.9361702127659575,116.0,0.9206349206349206,0.9672886159659896,0.9787157741552399,openl3-k
cello,openmic,irmas,0.16475972540045766,0.7659574468085106,0.2711864406779661,94.0,0.7677070828331333,0.8544542796816632,0.3595916815871572,openl3-k
clarinet,openmic,irmas,0.26223776223776224,0.5905511811023622,0.36319612590799033,127.0,0.8421368547418968,0.8439778361038203,0.2987081117022582,openl3-k
flute,openmic,irmas,0.26422764227642276,0.5371900826446281,0.3542234332425068,121.0,0.8577430972388955,0.7836262002193157,0.24312993329850474,openl3-k
guitar,openmic,irmas,0.39300134589502017,0.8439306358381503,0.5362718089990817,346.0,0.6968787515006002,0.8522749167980382,0.6206340545813968,openl3-k
organ,openmic,irmas,0.17391304347826086,0.022988505747126436,0.04060913705583756,174.0,0.8865546218487395,0.5370443129641613,0.12148395452878669,openl3-k
piano,openmic,irmas,0.22170542635658916,0.8411764705882353,0.35092024539877303,170.0,0.6824729891956782,0.8707179930795848,0.5994874599696401,openl3-k
saxophone,openmic,irmas,0.16363636363636364,0.6,0.2571428571428571,150.0,0.687875150060024,0.7245338610378189,0.23338775666846542,openl3-k
trumpet,openmic,irmas,0.3709677419354839,0.6133333333333333,0.4623115577889447,150.0,0.8715486194477791,0.8446657871591908,0.43049833004662924,openl3-k
violin,openmic,irmas,0.21188118811881188,0.7482517482517482,0.3302469135802469,143.0,0.7394957983193278,0.8036769533814839,0.3358495094413917,openl3-k
voice,openmic,irmas,0.6197183098591549,0.9214659685863874,0.7410526315789473,191.0,0.9261704681872749,0.9756713106753038,0.881100242044039,openl3-k
cello,irmas,irmas,0.39436619718309857,0.8936170212765957,0.5472312703583062,94.0,0.9165666266506602,0.9696348329814304,0.7278790496864445,openl3-klda
clarinet,irmas,irmas,0.44878048780487806,0.7244094488188977,0.5542168674698795,127.0,0.9111644657863145,0.9010964272740764,0.6442880690730951,openl3-klda
flute,irmas,irmas,0.3829787234042553,0.743801652892562,0.5056179775280898,121.0,0.8943577430972389,0.9050415897723928,0.615513153653373,openl3-klda
guitar,irmas,irmas,0.5877034358047016,0.9393063583815029,0.7230255839822025,346.0,0.8505402160864346,0.958392450516728,0.8695002203381614,openl3-klda
organ,irmas,irmas,0.6820083682008368,0.9367816091954023,0.7893462469733655,174.0,0.9477791116446579,0.9904818033342578,0.923459262363644,openl3-klda
piano,irmas,irmas,0.616600790513834,0.9176470588235294,0.7375886524822696,170.0,0.9333733493397359,0.9781967599874174,0.9031919170354799,openl3-klda
saxophone,irmas,irmas,0.28391959798994976,0.7533333333333333,0.41240875912408764,150.0,0.8067226890756303,0.8722471416007035,0.5157380230419385,openl3-klda
trumpet,irmas,irmas,0.5269709543568465,0.8466666666666667,0.6496163682864451,150.0,0.9177671068427371,0.9511081794195249,0.7864437652902655,openl3-klda
violin,irmas,irmas,0.3,0.7762237762237763,0.4327485380116959,143.0,0.8253301320528211,0.8804576907006323,0.47618092735007067,openl3-klda
