instrument,train_set,test_set,precision,recall,f1-score,support,accuracy,roc_auc,ap,embedding
cello,A,A,0.39759036144578314,0.825,0.5365853658536586,40.0,0.940625,0.9651086956521739,0.6760026930546185,openl3
clarinet,A,A,0.5747126436781609,0.7142857142857143,0.6369426751592356,70.0,0.940625,0.9130176565008026,0.7139143781389585,openl3
flute,A,A,0.33653846153846156,0.6140350877192983,0.4347826086956522,57.0,0.9052083333333333,0.8897437391929436,0.4394576181027303,openl3
guitar,A,A,0.7579365079365079,0.8603603603603603,0.8059071729957807,222.0,0.9041666666666667,0.9482592348446007,0.8520044784375438,openl3
organ,A,A,0.8849557522123894,0.7692307692307693,0.823045267489712,130.0,0.9552083333333333,0.9811584800741427,0.9089861002934865,openl3
piano,A,A,0.7837837837837838,0.8529411764705882,0.8169014084507041,102.0,0.959375,0.9777183600713012,0.9170956861560727,openl3
saxophone,A,A,0.2777777777777778,0.5844155844155844,0.37656903765690375,77.0,0.8447916666666667,0.8211086761483137,0.42555341241069544,openl3
trumpet,A,A,0.5666666666666667,0.8,0.6634146341463415,85.0,0.928125,0.9404907563025211,0.7166333305076517,openl3
violin,A,A,0.3391304347826087,0.5735294117647058,0.4262295081967213,68.0,0.890625,0.8836553679767872,0.4245677501253233,openl3
voice,A,A,0.8442622950819673,0.944954128440367,0.8917748917748918,109.0,0.9739583333333334,0.9899632380685431,0.9596947810631856,openl3
cello,A,B,0.47115384615384615,0.9074074074074074,0.620253164556962,54.0,0.9150141643059491,0.9743524199045671,0.8064534856803149,openl3
clarinet,A,B,0.39823008849557523,0.7894736842105263,0.5294117647058824,57.0,0.886685552407932,0.9263644473278728,0.7016614285555114,openl3
flute,A,B,0.45454545454545453,0.703125,0.5521472392638036,64.0,0.896600566572238,0.9172021028037383,0.5876182136970345,openl3
guitar,A,B,0.8043478260869565,0.8951612903225806,0.8473282442748092,124.0,0.943342776203966,0.9781759228466911,0.9050354289808901,openl3
organ,A,B,0.8888888888888888,0.7272727272727273,0.7999999999999999,44.0,0.9773371104815864,0.9875720955781379,0.8933070192598681,openl3
piano,A,B,0.8333333333333334,0.8823529411764706,0.8571428571428571,68.0,0.9716713881019831,0.9888438133874239,0.9494650463724487,openl3
saxophone,A,B,0.3305785123966942,0.547945205479452,0.41237113402061853,73.0,0.8385269121813032,0.8123092903979744,0.3669119848380973,openl3
trumpet,A,B,0.6338028169014085,0.6923076923076923,0.661764705882353,65.0,0.9348441926345609,0.9275891035641426,0.6981401222314351,openl3
violin,A,B,0.40540540540540543,0.8,0.5381165919282511,75.0,0.8541076487252125,0.9081458003169572,0.5795141226865742,openl3
voice,A,B,0.9310344827586207,0.9878048780487805,0.9585798816568047,82.0,0.990084985835694,0.9982997185741088,0.9895936128852124,openl3
cello,B,B,0.532608695652174,0.9074074074074074,0.6712328767123288,54.0,0.9320113314447592,0.9709725062485799,0.7906602294465883,openl3
clarinet,B,B,0.4777777777777778,0.7543859649122807,0.5850340136054423,57.0,0.9135977337110481,0.9406644500310869,0.7274149646508786,openl3
flute,B,B,0.4016393442622951,0.765625,0.5268817204301076,64.0,0.8753541076487252,0.9116286993769469,0.7058342730427163,openl3
guitar,B,B,0.7671232876712328,0.9032258064516129,0.8296296296296296,124.0,0.9348441926345609,0.9785084802128367,0.9097669928003913,openl3
organ,B,B,0.8297872340425532,0.8863636363636364,0.8571428571428571,44.0,0.9815864022662889,0.9928591046415819,0.923090741157911,openl3
piano,B,B,0.8888888888888888,0.8235294117647058,0.8549618320610687,68.0,0.9730878186968839,0.9870689655172414,0.9379574691221563,openl3
saxophone,B,B,0.37398373983739835,0.6301369863013698,0.4693877551020408,73.0,0.8526912181303116,0.8831829297323033,0.4891348886706255,openl3
trumpet,B,B,0.6463414634146342,0.8153846153846154,0.7210884353741497,65.0,0.9419263456090652,0.9312852514100565,0.778147052317193,openl3
violin,B,B,0.4778761061946903,0.72,0.574468085106383,75.0,0.886685552407932,0.9199154780771263,0.7187862598195451,openl3
voice,B,B,0.898876404494382,0.975609756097561,0.935672514619883,82.0,0.9844192634560907,0.9980651969981239,0.9890629787419511,openl3
cello,B,A,0.417910447761194,0.7,0.5233644859813084,40.0,0.946875,0.9183967391304348,0.5516960431473311,openl3
clarinet,B,A,0.5529411764705883,0.6714285714285714,0.6064516129032258,70.0,0.9364583333333333,0.9104494382022472,0.6879878780371403,openl3
flute,B,A,0.2676056338028169,0.6666666666666666,0.3819095477386934,57.0,0.871875,0.8710924598317499,0.4240670820759925,openl3
guitar,B,A,0.697841726618705,0.8738738738738738,0.7759999999999999,222.0,0.8833333333333333,0.9502063038648405,0.8610136359869722,openl3
organ,B,A,0.8308823529411765,0.8692307692307693,0.849624060150376,130.0,0.9583333333333334,0.9819277108433735,0.905343978095184,openl3
piano,B,A,0.8316831683168316,0.8235294117647058,0.8275862068965516,102.0,0.9635416666666666,0.9755130490424608,0.9126274027323715,openl3
saxophone,B,A,0.2894736842105263,0.5714285714285714,0.38427947598253276,77.0,0.853125,0.8423173655336736,0.3598052879172132,openl3
trumpet,B,A,0.5573770491803278,0.8,0.6570048309178744,85.0,0.9260416666666667,0.9259159663865546,0.7233537800861946,openl3
violin,B,A,0.32075471698113206,0.5,0.39080459770114945,68.0,0.8895833333333333,0.8587443946188341,0.47257072245655846,openl3
voice,B,A,0.8319327731092437,0.908256880733945,0.868421052631579,109.0,0.96875,0.9868907599262606,0.9521033363861701,openl3
