instrument,train_set,test_set,precision,recall,f1-score,support,accuracy,roc_auc,ap,embedding
cel,A,A,0.6285714285714286,0.7333333333333333,0.6769230769230768,30.0,0.9722955145118733,0.9872252747252747,0.7782603793815693,openl3
cla,A,A,0.8333333333333334,0.7142857142857143,0.7692307692307692,35.0,0.9802110817941952,0.9897648686030429,0.8824074707752686,openl3
flu,A,A,0.66,0.75,0.702127659574468,44.0,0.9630606860158312,0.9579513623631271,0.7211823220448704,openl3
gac,A,A,0.6962962962962963,0.9591836734693877,0.8068669527896996,98.0,0.9406332453825857,0.983634817563389,0.8910031781549681,openl3
gel,A,A,0.7482993197278912,0.8461538461538461,0.7942238267148014,130.0,0.924802110817942,0.9625734933855954,0.8719554400654883,openl3
org,A,A,0.8354430379746836,0.8918918918918919,0.8627450980392156,74.0,0.9722955145118733,0.9908526948000632,0.9437215986752594,openl3
pia,A,A,0.7551020408163265,0.9487179487179487,0.8409090909090908,39.0,0.9815303430079155,0.9959701865126065,0.942880572363921,openl3
sax,A,A,0.4339622641509434,0.6571428571428571,0.5227272727272727,35.0,0.9445910290237467,0.9360600671803991,0.5733779290716198,openl3
tru,A,A,0.9,0.8780487804878049,0.888888888888889,41.0,0.9881266490765171,0.997040514338198,0.9631421866329112,openl3
vio,A,A,0.4583333333333333,0.717391304347826,0.559322033898305,46.0,0.9313984168865436,0.9396067415730337,0.6594362976837033,openl3
voi,A,A,0.946524064171123,0.9516129032258065,0.9490616621983914,186.0,0.974934036939314,0.989660876757651,0.9825853077067277,openl3
cel,A,B,0.47619047619047616,0.5882352941176471,0.5263157894736842,68.0,0.9229946524064171,0.9065743944636678,0.5382977907296951,openl3
cla,A,B,0.3402061855670103,0.358695652173913,0.34920634920634924,92.0,0.8684491978609625,0.7739439888596626,0.328487456744932,openl3
flu,A,B,0.375,0.4647887323943662,0.4150943396226415,71.0,0.9005347593582887,0.8641268909754826,0.34900675915469714,openl3
gac,A,B,0.5977011494252874,0.8253968253968254,0.6933333333333335,63.0,0.9508021390374332,0.9695827872433377,0.8668685175159915,openl3
gel,A,B,0.44642857142857145,0.4032258064516129,0.42372881355932196,62.0,0.9272727272727272,0.8398921036100949,0.5007674854318496,openl3
org,A,B,0.640625,0.845360824742268,0.7288888888888888,97.0,0.9347593582887701,0.9716925423812218,0.8531638332626317,openl3
pia,A,B,0.7542857142857143,0.9230769230769231,0.8301886792452832,143.0,0.9422459893048128,0.9787825810553082,0.8940500676869955,openl3
sax,A,B,0.4492753623188406,0.25203252032520324,0.3229166666666667,123.0,0.8609625668449198,0.6957226961432177,0.3216358685911385,openl3
tru,A,B,0.45161290322580644,0.4,0.4242424242424243,105.0,0.8780748663101604,0.7965576592082616,0.4526160663491826,openl3
vio,A,B,0.329004329004329,0.7524752475247525,0.45783132530120485,101.0,0.8074866310160428,0.8536814113065984,0.46012032745157305,openl3
voi,A,B,0.5294117647058824,0.9,0.6666666666666667,10.0,0.9903743315508021,0.9966486486486487,0.8909159159159158,openl3
cel,B,B,0.8266666666666667,0.9117647058823529,0.8671328671328671,68.0,0.9796791443850268,0.9924859217043218,0.9324852358778349,openl3
cla,B,B,0.6260869565217392,0.782608695652174,0.6956521739130436,92.0,0.932620320855615,0.961898499149002,0.8138982163023357,openl3
flu,B,B,0.7407407407407407,0.8450704225352113,0.7894736842105262,71.0,0.9657754010695188,0.9656201095461658,0.8450136392063737,openl3
gac,B,B,0.835820895522388,0.8888888888888888,0.8615384615384615,63.0,0.9807486631016042,0.9946665210426677,0.95098183891617,openl3
gel,B,B,0.7763157894736842,0.9516129032258065,0.855072463768116,62.0,0.9786096256684492,0.9950855411447364,0.9540855391655649,openl3
org,B,B,0.7028985507246377,1.0,0.825531914893617,97.0,0.9561497326203209,0.9956696110031248,0.9493291550806597,openl3
pia,B,B,0.8940397350993378,0.9440559440559441,0.9183673469387755,143.0,0.9743315508021391,0.9956470297379388,0.9735137002599006,openl3
sax,B,B,0.554945054945055,0.8211382113821138,0.6622950819672132,123.0,0.8898395721925134,0.9362309263486723,0.7478093746561166,openl3
tru,B,B,0.6666666666666666,0.8571428571428571,0.75,105.0,0.9358288770053476,0.973631669535284,0.8843796476851689,openl3
vio,B,B,0.5984251968503937,0.7524752475247525,0.6666666666666667,101.0,0.9187165775401069,0.9358928698625257,0.7693068710762758,openl3
voi,B,B,0.8181818181818182,0.9,0.8571428571428572,10.0,0.9967914438502674,0.996108108108108,0.9122222222222222,openl3
cel,B,A,0.28205128205128205,0.36666666666666664,0.31884057971014496,30.0,0.9379947229551451,0.819459706959707,0.2634236690436722,openl3
cla,B,A,0.1797752808988764,0.45714285714285713,0.2580645161290323,35.0,0.8786279683377308,0.8082592373048805,0.22948357792558166,openl3
flu,B,A,0.358974358974359,0.3181818181818182,0.3373493975903615,44.0,0.9274406332453826,0.7505411255411255,0.2860137383285483,openl3
gac,B,A,0.7403846153846154,0.7857142857142857,0.7623762376237625,98.0,0.9366754617414248,0.9595470006184291,0.8173226577939398,openl3
gel,B,A,0.5929203539823009,0.5153846153846153,0.5514403292181069,130.0,0.8562005277044855,0.833702841744243,0.5531016591800945,openl3
org,B,A,0.32642487046632124,0.8513513513513513,0.4719101123595505,74.0,0.8139841688654353,0.8992215900110637,0.5944615452618686,openl3
pia,B,A,0.7631578947368421,0.7435897435897436,0.7532467532467534,39.0,0.974934036939314,0.9719696159195463,0.7835516737237043,openl3
sax,B,A,0.11811023622047244,0.42857142857142855,0.1851851851851852,35.0,0.8258575197889182,0.7166172693143648,0.17460905051802714,openl3
tru,B,A,0.5319148936170213,0.6097560975609756,0.5681818181818181,41.0,0.9498680738786279,0.8882539034595367,0.6129986299168525,openl3
vio,B,A,0.3118279569892473,0.6304347826086957,0.41726618705035967,46.0,0.8931398416886543,0.8528639472398631,0.34815705499078553,openl3
voi,B,A,0.9463087248322147,0.7580645161290323,0.8417910447761194,186.0,0.9300791556728232,0.9672719753364915,0.9298871124173624,openl3
