embedding,irmas-irmas,openmic-openmic,openmic-irmas,irmas-openmic
vggish,91.6,87.95,82.82 (-8.78),83.81 (-4.14)
openl3,93.26,87.16,80.56 (-12.7),80.13 (-7.03)
yamnet,94.65,89.74,85.01 (-9.64),85.47 (-4.27)
vggish-lda,91.6,87.99,82.99 (0.18),83.82 (0.0)
openl3-lda,93.26,87.16,80.56 (0.01),80.15 (0.02)
yamnet-lda,94.65,89.74,85.01 (0.0),85.47 (0.0)
vggish-mlda,91.45,87.98,82.7 (-0.11),83.3 (-0.51)
openl3-mlda,93.11,87.16,80.67 (0.12),79.93 (-0.2)
yamnet-mlda,94.65,89.74,85.01 (-0.0),85.47 (0.0)
vggish-k,92.24,88.08,82.57 (-0.25),83.67 (-0.14)
openl3-k,93.89,87.91,79.46 (-1.09),81.23 (1.11)
yamnet-k,93.83,89.24,85.87 (0.86),84.56 (-0.91)
vggish-klda,92.24,88.08,82.58 (-0.24),83.67 (-0.14)
openl3-klda,93.89,87.84,79.03 (-1.53),81.23 (1.11)
yamnet-klda,93.83,89.23,85.87 (0.86),84.56 (-0.91)
vggish-mklda,92.22,88.15,82.42 (-0.39),83.7 (-0.11)
openl3-mklda,93.88,87.88,79.56 (-1.0),81.2 (1.07)
yamnet-mklda,93.79,89.19,85.72 (0.71),84.43 (-1.04)
