instrument,train_set,test_set,precision,recall,f1-score,support,accuracy,roc_auc,ap,embedding
cello,irmas,irmas,0.3395348837209302,0.776595744680851,0.47249190938511315,94.0,0.9021608643457383,0.931927074874127,0.6663600886513764,vggish-k
clarinet,irmas,irmas,0.35315985130111527,0.7480314960629921,0.47979797979797983,127.0,0.8763505402160864,0.901096427274076,0.6245351054908977,vggish-k
flute,irmas,irmas,0.34545454545454546,0.7851239669421488,0.4797979797979798,121.0,0.8763505402160864,0.9107010083179545,0.6496837351522893,vggish-k
guitar,irmas,irmas,0.6792452830188679,0.8323699421965318,0.7480519480519481,346.0,0.8835534213685474,0.945091084252934,0.8513235973975485,vggish-k
organ,irmas,irmas,0.5387205387205387,0.9195402298850575,0.6794055201698513,174.0,0.9093637454981993,0.9700009244707406,0.7795619751664488,vggish-k
piano,irmas,irmas,0.7073170731707317,0.8529411764705882,0.7733333333333334,170.0,0.9489795918367347,0.960545769109783,0.8477150713769326,vggish-k
saxophone,irmas,irmas,0.3495440729483283,0.7666666666666667,0.4801670146137787,150.0,0.8505402160864346,0.8934388742304311,0.6164261881227897,vggish-k
trumpet,irmas,irmas,0.4065934065934066,0.74,0.524822695035461,150.0,0.8793517406962785,0.8781178540017591,0.6434125013094375,vggish-k
violin,irmas,irmas,0.35424354243542433,0.6713286713286714,0.46376811594202894,143.0,0.8667466986794717,0.8750947017526138,0.5713108303146796,vggish-k
voice,irmas,irmas,0.8564593301435407,0.93717277486911,0.895,191.0,0.9747899159663865,0.9880663767858728,0.9385996195787362,vggish-k
cello,openmic,openmic,0.7729083665338645,0.8584070796460177,0.8134171907756813,226.0,0.8164948453608247,0.8895342877643763,0.8489026163871141,vggish-k
clarinet,openmic,openmic,0.358974358974359,0.7153284671532847,0.47804878048780486,137.0,0.665625,0.7670618624022288,0.4780284247173787,vggish-k
flute,openmic,openmic,0.5057034220532319,0.76,0.6073059360730594,175.0,0.693950177935943,0.8095828719084533,0.6719527856238874,vggish-k
guitar,openmic,openmic,0.9821428571428571,0.9615384615384616,0.9717314487632509,286.0,0.963302752293578,0.9931235431235431,0.9968476937375464,vggish-k
organ,openmic,openmic,0.5916666666666667,0.5867768595041323,0.5892116182572613,121.0,0.7703016241299304,0.8340442548653693,0.6221959143471436,vggish-k
piano,openmic,openmic,0.9452054794520548,0.968421052631579,0.9566724436741767,285.0,0.9397590361445783,0.9798110661268555,0.9902989495059747,vggish-k
saxophone,openmic,openmic,0.7932098765432098,0.8426229508196721,0.8171701112877583,305.0,0.8171701112877583,0.913337381096944,0.9032202107777693,vggish-k
trumpet,openmic,openmic,0.7178770949720671,0.8081761006289309,0.7603550295857988,318.0,0.7936305732484077,0.8678100548126002,0.8170278540524039,vggish-k
violin,openmic,openmic,0.8851174934725848,0.8604060913705583,0.8725868725868725,394.0,0.8431061806656102,0.9207307931204352,0.9409738332198665,vggish-k
voice,openmic,openmic,0.9476190476190476,0.8883928571428571,0.9170506912442397,224.0,0.9037433155080213,0.9698214285714286,0.9793303516231804,vggish-k
cello,irmas,openmic,0.6226415094339622,0.7300884955752213,0.6720977596741344,226.0,0.668041237113402,0.7617111422421158,0.7118791131676357,vggish-k
clarinet,irmas,openmic,0.3037542662116041,0.6496350364963503,0.413953488372093,137.0,0.60625,0.6902236217730116,0.3708244663467637,vggish-k
flute,irmas,openmic,0.4066265060240964,0.7714285714285715,0.5325443786982249,175.0,0.5782918149466192,0.7272351421188631,0.594951239030419,vggish-k
guitar,irmas,openmic,0.9851301115241635,0.9265734265734266,0.9549549549549549,286.0,0.9426605504587156,0.9848251748251748,0.9924824745700871,vggish-k
organ,irmas,openmic,0.3875,0.512396694214876,0.44128113879003555,121.0,0.6357308584686775,0.664889362836577,0.3881718736380566,vggish-k
piano,irmas,openmic,0.9460431654676259,0.9228070175438596,0.9342806394316162,285.0,0.9108433734939759,0.9670175438596492,0.9857237364500369,vggish-k
saxophone,irmas,openmic,0.6996996996996997,0.7639344262295082,0.7304075235109719,305.0,0.7265500794912559,0.800728597449909,0.7840521824032234,vggish-k
trumpet,irmas,openmic,0.6042780748663101,0.710691823899371,0.6531791907514451,318.0,0.6942675159235668,0.785968243707325,0.7021114732253957,vggish-k
violin,irmas,openmic,0.8287153652392947,0.8350253807106599,0.8318584070796461,394.0,0.7892234548335975,0.8497183490757996,0.9014549931216407,vggish-k
voice,irmas,openmic,0.96875,0.6919642857142857,0.8072916666666667,224.0,0.8021390374331551,0.9573809523809523,0.9724699235697927,vggish-k
cello,openmic,irmas,0.24253731343283583,0.6914893617021277,0.35911602209944754,94.0,0.8607442977190877,0.8515510800714635,0.4448594383931451,vggish-k
clarinet,openmic,irmas,0.39035087719298245,0.7007874015748031,0.5014084507042252,127.0,0.8937575030012005,0.8804623106322236,0.5572984642514748,vggish-k
flute,openmic,irmas,0.2706270627062706,0.6776859504132231,0.3867924528301887,121.0,0.843937575030012,0.8392735831394261,0.5134236564802545,vggish-k
guitar,openmic,irmas,0.49353448275862066,0.661849710982659,0.5654320987654321,346.0,0.7887154861944778,0.8413163426169208,0.642177542537864,vggish-k
organ,openmic,irmas,0.14285714285714285,0.04597701149425287,0.06956521739130435,174.0,0.8715486194477791,0.5686804720963915,0.1252187219603194,vggish-k
piano,openmic,irmas,0.44485294117647056,0.711764705882353,0.5475113122171945,170.0,0.879951980792317,0.8594919786096256,0.6643783369719867,vggish-k
saxophone,openmic,irmas,0.27639751552795033,0.5933333333333334,0.37711864406779666,150.0,0.8235294117647058,0.8156728232189974,0.34974139390320746,vggish-k
trumpet,openmic,irmas,0.38910505836575876,0.6666666666666666,0.4914004914004913,150.0,0.8757503001200481,0.8584960422163588,0.5589935057250761,vggish-k
violin,openmic,irmas,0.3253968253968254,0.5734265734265734,0.4151898734177215,143.0,0.8613445378151261,0.8047559794112651,0.3947367099029152,vggish-k
voice,openmic,irmas,0.5474006116207951,0.93717277486911,0.6911196911196912,191.0,0.9039615846338536,0.9733321501464193,0.8806911125245078,vggish-k
