instrument,train_set,test_set,precision,recall,f1-score,support,accuracy,roc_auc,ap,embedding
cello,irmas,irmas,0.3058823529411765,0.8297872340425532,0.4469914040114613,94.0,0.8841536614645858,0.9406163716095501,0.6397942878644054,vggish-klda-genre
clarinet,irmas,irmas,0.35447761194029853,0.7480314960629921,0.4810126582278481,127.0,0.8769507803121248,0.9010657293569299,0.624232687246034,vggish-klda-genre
flute,irmas,irmas,0.34545454545454546,0.7851239669421488,0.4797979797979798,121.0,0.8763505402160864,0.9108347374896361,0.6477909607067334,vggish-klda-genre
guitar,irmas,irmas,0.6776470588235294,0.8323699421965318,0.7470817120622568,346.0,0.882953181272509,0.9454698721317218,0.852338789410392,vggish-klda-genre
organ,irmas,irmas,0.5405405405405406,0.9195402298850575,0.6808510638297872,174.0,0.9099639855942377,0.9699585528951342,0.7801605185912325,vggish-klda-genre
piano,irmas,irmas,0.7107843137254902,0.8529411764705882,0.7754010695187166,170.0,0.9495798319327731,0.9606047499213589,0.847465098461176,vggish-klda-genre
saxophone,irmas,irmas,0.34234234234234234,0.76,0.4720496894409938,150.0,0.8469387755102041,0.8931530343007915,0.6150285991419155,vggish-klda-genre
trumpet,irmas,irmas,0.4051094890510949,0.74,0.5235849056603773,150.0,0.8787515006002401,0.8774934036939315,0.6423441488111633,vggish-klda-genre
violin,irmas,irmas,0.35185185185185186,0.6643356643356644,0.4600484261501211,143.0,0.8661464585834334,0.8746309501398142,0.5726082521146495,vggish-klda-genre
voice,irmas,irmas,0.8557692307692307,0.9319371727748691,0.8922305764411027,191.0,0.9741896758703481,0.9880308811784541,0.9376147129707146,vggish-klda-genre
cello,openmic,openmic,0.7716535433070866,0.8672566371681416,0.8166666666666667,226.0,0.8185567010309278,0.8895001195886152,0.8488972520163357,vggish-klda-genre
clarinet,openmic,openmic,0.36,0.7226277372262774,0.4805825242718446,137.0,0.665625,0.7673085574146363,0.4779842443629081,vggish-klda-genre
flute,openmic,openmic,0.5134099616858238,0.7657142857142857,0.6146788990825688,175.0,0.701067615658363,0.8097452934662237,0.6727762484294387,vggish-klda-genre
guitar,openmic,openmic,0.9821428571428571,0.9615384615384616,0.9717314487632509,286.0,0.963302752293578,0.9931235431235431,0.9968517414429359,vggish-klda-genre
organ,openmic,openmic,0.5916666666666667,0.5867768595041323,0.5892116182572613,121.0,0.7703016241299304,0.8340709144228206,0.6221065546991497,vggish-klda-genre
piano,openmic,openmic,0.9452054794520548,0.968421052631579,0.9566724436741767,285.0,0.9397590361445783,0.9799999999999999,0.9904088577109499,vggish-klda-genre
saxophone,openmic,openmic,0.7925696594427245,0.839344262295082,0.8152866242038217,305.0,0.8155802861685215,0.9135701275045537,0.9032078983899169,vggish-klda-genre
trumpet,openmic,openmic,0.7178770949720671,0.8081761006289309,0.7603550295857988,318.0,0.7936305732484077,0.8680390017911734,0.8177831750065934,vggish-klda-genre
violin,openmic,openmic,0.8825065274151436,0.8578680203045685,0.87001287001287,394.0,0.8399366085578447,0.9203452633382596,0.9406427491289437,vggish-klda-genre
voice,openmic,openmic,0.9483568075117371,0.9017857142857143,0.9244851258581236,224.0,0.9117647058823529,0.9700892857142858,0.9796090157741937,vggish-klda-genre
cello,irmas,openmic,0.632258064516129,0.8672566371681416,0.7313432835820894,226.0,0.7030927835051546,0.7842450541565585,0.7466411163023619,vggish-klda-genre
clarinet,irmas,openmic,0.3333333333333333,0.5547445255474452,0.41643835616438357,137.0,0.6671875,0.7026164182786493,0.3931033201819648,vggish-klda-genre
flute,irmas,openmic,0.40524781341107874,0.7942857142857143,0.5366795366795367,175.0,0.5729537366548043,0.7347508305647841,0.6092894820312715,vggish-klda-genre
guitar,irmas,openmic,0.9885931558935361,0.9090909090909091,0.9471766848816029,286.0,0.9334862385321101,0.9853613053613054,0.9928921904323429,vggish-klda-genre
organ,irmas,openmic,0.37719298245614036,0.7107438016528925,0.49283667621776506,121.0,0.5893271461716937,0.660117302052786,0.38782391295043733,vggish-klda-genre
piano,irmas,openmic,0.9411764705882353,0.9543859649122807,0.9477351916376305,285.0,0.927710843373494,0.9727665317139,0.987719740739372,vggish-klda-genre
saxophone,irmas,openmic,0.7089783281733746,0.7508196721311475,0.7292993630573249,305.0,0.7297297297297297,0.8136106051406599,0.7867009686057881,vggish-klda-genre
trumpet,irmas,openmic,0.6825396825396826,0.5408805031446541,0.6035087719298246,318.0,0.7121019108280254,0.7779483657225971,0.6944030207633355,vggish-klda-genre
violin,irmas,openmic,0.8328840970350404,0.7842639593908629,0.8078431372549019,394.0,0.7670364500792393,0.8486688513354322,0.8978617304612244,vggish-klda-genre
voice,irmas,openmic,0.956989247311828,0.7946428571428571,0.8682926829268293,224.0,0.8556149732620321,0.9636607142857142,0.9761756413487669,vggish-klda-genre
cello,openmic,irmas,0.2072072072072072,0.7340425531914894,0.32318501170960184,94.0,0.826530612244898,0.8557671485030588,0.43362159466857236,vggish-klda-genre
clarinet,openmic,irmas,0.3263888888888889,0.7401574803149606,0.4530120481927711,127.0,0.8637454981992797,0.8734171386471428,0.5205172591098439,vggish-klda-genre
flute,openmic,irmas,0.203579418344519,0.7520661157024794,0.3204225352112676,121.0,0.7683073229291717,0.8336944020968733,0.503967066294912,vggish-klda-genre
guitar,openmic,irmas,0.48638132295719844,0.7225433526011561,0.5813953488372093,346.0,0.7839135654261705,0.8485549132947976,0.6387566565399574,vggish-klda-genre
organ,openmic,irmas,0.13793103448275862,0.04597701149425287,0.06896551724137931,174.0,0.8703481392557023,0.5642738282333364,0.1241021772196539,vggish-klda-genre
piano,openmic,irmas,0.45977011494252873,0.7058823529411765,0.5568445475638051,170.0,0.8853541416566627,0.8553161371500472,0.6650149376560487,vggish-klda-genre
saxophone,openmic,irmas,0.24271844660194175,0.6666666666666666,0.35587188612099646,150.0,0.7827130852340937,0.8045778364116094,0.3573907994753758,vggish-klda-genre
trumpet,openmic,irmas,0.2529002320185615,0.7266666666666667,0.37521514629948366,150.0,0.7821128451380552,0.8287642919964819,0.47629260102200455,vggish-klda-genre
violin,openmic,irmas,0.24317617866004962,0.6853146853146853,0.358974358974359,143.0,0.7899159663865546,0.811377066794007,0.3631271849783614,vggish-klda-genre
voice,openmic,irmas,0.45232273838630804,0.9685863874345549,0.6166666666666666,191.0,0.8619447779111644,0.9741343508740793,0.8857331828603959,vggish-klda-genre
