instrument,train_set,test_set,precision,recall,f1-score,support,accuracy,roc_auc,ap,embedding
cello,irmas,irmas,0.2907801418439716,0.8723404255319149,0.4361702127659575,94.0,0.8727490996398559,0.9240972335011639,0.6260422480891815,vggish-lda-genre
clarinet,irmas,irmas,0.17246596066565809,0.8976377952755905,0.2893401015228426,127.0,0.6638655462184874,0.8576895724291773,0.35259283426933297,vggish-lda-genre
flute,irmas,irmas,0.3081761006289308,0.8099173553719008,0.44646924829157175,121.0,0.8541416566626651,0.9042552622429058,0.6302783200732053,vggish-lda-genre
guitar,irmas,irmas,0.6497695852534562,0.815028901734104,0.7230769230769231,346.0,0.8703481392557023,0.934920739183745,0.832654412365466,vggish-lda-genre
organ,irmas,irmas,0.4296875,0.9482758620689655,0.5913978494623656,174.0,0.8631452581032413,0.9686450340513391,0.7641940711248647,vggish-lda-genre
piano,irmas,irmas,0.6406926406926406,0.8705882352941177,0.738154613466334,170.0,0.9369747899159664,0.9589965397923874,0.8384514883645161,vggish-lda-genre
saxophone,irmas,irmas,0.2020033388981636,0.8066666666666666,0.3230974632843791,150.0,0.6956782713085234,0.8153605980650835,0.3818534541542445,vggish-lda-genre
trumpet,irmas,irmas,0.203125,0.8666666666666667,0.32911392405063294,150.0,0.6818727490996399,0.8889138082673704,0.6468281417407894,vggish-lda-genre
violin,irmas,irmas,0.17647058823529413,0.8181818181818182,0.2903225806451613,143.0,0.6566626650660264,0.8199679506311154,0.4667443347789408,vggish-lda-genre
voice,irmas,irmas,0.7695652173913043,0.9267015706806283,0.8408551068883611,191.0,0.9597839135654261,0.9872641760582128,0.9294634019131198,vggish-lda-genre
cello,openmic,openmic,0.7384615384615385,0.8495575221238938,0.7901234567901234,226.0,0.7896907216494845,0.8662828441589503,0.8181113702164846,vggish-lda-genre
clarinet,openmic,openmic,0.34385964912280703,0.7153284671532847,0.4644549763033176,137.0,0.646875,0.7515345880918867,0.4331369905352895,vggish-lda-genre
flute,openmic,openmic,0.4662379421221865,0.8285714285714286,0.5967078189300411,175.0,0.6512455516014235,0.7966482096714655,0.6447540645504224,vggish-lda-genre
guitar,openmic,openmic,0.9788732394366197,0.972027972027972,0.9754385964912281,286.0,0.9678899082568807,0.992027972027972,0.996231842805522,vggish-lda-genre
organ,openmic,openmic,0.4151624548736462,0.9504132231404959,0.577889447236181,121.0,0.6102088167053364,0.8147427352705946,0.5791897036828311,vggish-lda-genre
piano,openmic,openmic,0.9328859060402684,0.9754385964912281,0.9536878216123499,285.0,0.9349397590361446,0.9747908232118758,0.9875088779636246,vggish-lda-genre
saxophone,openmic,openmic,0.7891566265060241,0.8590163934426229,0.8226059654631084,305.0,0.8203497615262321,0.9032989273426432,0.8928141654928377,vggish-lda-genre
trumpet,openmic,openmic,0.7106741573033708,0.7955974842767296,0.7507418397626112,318.0,0.7859872611464969,0.8617766285537285,0.8024021960677995,vggish-lda-genre
