instrument,train_set,test_set,precision,recall,f1-score,support,accuracy,roc_auc,ap,embedding
cello,irmas,irmas,0.13107511045655376,0.9468085106382979,0.23027166882276842,94.0,0.6428571428571429,0.9110632883980293,0.5223054672433572,vggish-lda
clarinet,irmas,irmas,0.17164179104477612,0.905511811023622,0.28858218318695106,127.0,0.6596638655462185,0.8541848935549723,0.34055217535103677,vggish-lda
flute,irmas,irmas,0.3069620253164557,0.8016528925619835,0.44393592677345534,121.0,0.8541416566626651,0.9062398031506593,0.6347801929194454,vggish-lda
guitar,irmas,irmas,0.6467889908256881,0.815028901734104,0.7212276214833759,346.0,0.8691476590636255,0.9356564196882116,0.8334368004028523,vggish-lda
organ,irmas,irmas,0.42597402597402595,0.9425287356321839,0.5867620751341682,174.0,0.8613445378151261,0.9685102154016826,0.7648063932415399,vggish-lda
piano,irmas,irmas,0.6491228070175439,0.8705882352941177,0.7437185929648242,170.0,0.9387755102040817,0.9580764391318024,0.8411787707443107,vggish-lda
saxophone,irmas,irmas,0.19966996699669967,0.8066666666666666,0.3201058201058201,150.0,0.6914765906362546,0.8179507475813544,0.38436237665952433,vggish-lda
trumpet,irmas,irmas,0.20408163265306123,0.8666666666666667,0.3303684879288437,150.0,0.6836734693877551,0.8910026385224276,0.6471385590597544,vggish-lda
violin,irmas,irmas,0.1765601217656012,0.8111888111888111,0.29,143.0,0.65906362545018,0.8218459150829472,0.4634389604399889,vggish-lda
voice,irmas,irmas,0.7729257641921398,0.9267015706806283,0.8428571428571427,191.0,0.9603841536614646,0.9872499778152454,0.931908187055939,vggish-lda
cello,openmic,openmic,0.7423076923076923,0.8539823008849557,0.794238683127572,226.0,0.7938144329896907,0.8679058325076024,0.8208773950845,vggish-lda
clarinet,openmic,openmic,0.3413793103448276,0.7226277372262774,0.4637002341920375,137.0,0.6421875,0.7504317162717128,0.4386895396161082,vggish-lda
flute,openmic,openmic,0.474025974025974,0.8342857142857143,0.6045548654244306,175.0,0.6601423487544484,0.7947434477667036,0.6408036036315035,vggish-lda
guitar,openmic,openmic,0.9754385964912281,0.972027972027972,0.9737302977232924,286.0,0.9655963302752294,0.9919347319347319,0.9962170271918076,vggish-lda
organ,openmic,openmic,0.4166666666666667,0.9504132231404959,0.5793450881612091,121.0,0.6125290023201856,0.8158624366835511,0.5801194824080185,vggish-lda
piano,openmic,openmic,0.9328859060402684,0.9754385964912281,0.9536878216123499,285.0,0.9349397590361446,0.9742240215924426,0.9870856545877923,vggish-lda
saxophone,openmic,openmic,0.790273556231003,0.8524590163934426,0.8201892744479494,305.0,0.8187599364069952,0.9036733454766241,0.8930937551285929,vggish-lda
trumpet,openmic,openmic,0.7170868347338936,0.8050314465408805,0.7585185185185186,318.0,0.7923566878980892,0.8616352201257862,0.7992453953786551,vggish-lda
violin,openmic,openmic,0.8164556962025317,0.9822335025380711,0.891705069124424,394.0,0.8510301109350238,0.8981451733813104,0.9141263789262772,vggish-lda
voice,openmic,openmic,0.9354838709677419,0.90625,0.9206349206349206,224.0,0.9064171122994652,0.9685119047619047,0.9779971987386156,vggish-lda
cello,irmas,openmic,0.556930693069307,0.995575221238938,0.7142857142857143,226.0,0.6288659793814433,0.8142788806505621,0.7670203228243013,vggish-lda
clarinet,irmas,openmic,0.275626423690205,0.8832116788321168,0.4201388888888889,137.0,0.478125,0.6765538157913831,0.31058722153692925,vggish-lda
flute,irmas,openmic,0.40532544378698226,0.7828571428571428,0.5341130604288499,175.0,0.5747330960854092,0.7153931339977851,0.5775676277908793,vggish-lda
guitar,irmas,openmic,0.9592592592592593,0.9055944055944056,0.9316546762589928,286.0,0.9128440366972477,0.9733333333333334,0.9856789262920042,vggish-lda
organ,irmas,openmic,0.36704119850187267,0.8099173553719008,0.5051546391752577,121.0,0.5545243619489559,0.657584644094908,0.3941016890139092,vggish-lda
piano,irmas,openmic,0.9246575342465754,0.9473684210526315,0.9358752166377816,285.0,0.9108433734939759,0.9681511470985155,0.9859130122054018,vggish-lda
saxophone,irmas,openmic,0.6641604010025063,0.8688524590163934,0.7528409090909092,305.0,0.7233704292527822,0.8241955069823922,0.8002076749424805,vggish-lda
trumpet,irmas,openmic,0.5189655172413793,0.9465408805031447,0.6703786191536748,318.0,0.6229299363057325,0.7942642048132734,0.7099207892430702,vggish-lda
violin,irmas,openmic,0.7834008097165992,0.9822335025380711,0.8716216216216217,394.0,0.8193343898573693,0.8936151984407461,0.9161562422606115,vggish-lda
voice,irmas,openmic,0.9540816326530612,0.8348214285714286,0.8904761904761905,224.0,0.8770053475935828,0.9711904761904762,0.9805455979888328,vggish-lda
cello,openmic,irmas,0.127831715210356,0.8404255319148937,0.22191011235955058,94.0,0.6674669867947179,0.8275810730334037,0.39556553568179,vggish-lda
clarinet,openmic,irmas,0.1731066460587326,0.8818897637795275,0.28940568475452194,127.0,0.6698679471788715,0.8572495689500802,0.4302318806852728,vggish-lda
flute,openmic,irmas,0.10202117420596728,0.8760330578512396,0.18275862068965518,121.0,0.4309723889555822,0.788911177084169,0.4310661685621097,vggish-lda
guitar,openmic,irmas,0.3823163138231631,0.8872832369942196,0.5343777197563098,346.0,0.6788715486194478,0.8555154142581889,0.6658158118378236,vggish-lda
organ,openmic,irmas,0.08203125,0.3620689655172414,0.1337579617834395,174.0,0.5102040816326531,0.43354981356506733,0.08776891905891913,vggish-lda
piano,openmic,irmas,0.18208955223880596,0.7176470588235294,0.29047619047619044,170.0,0.6422569027611045,0.7876336898395722,0.4956214441889703,vggish-lda
saxophone,openmic,irmas,0.18512898330804248,0.8133333333333334,0.3016069221260816,150.0,0.6608643457382953,0.8149252418645558,0.3627084049372147,vggish-lda
trumpet,openmic,irmas,0.1964573268921095,0.8133333333333334,0.3164721141374838,150.0,0.6836734693877551,0.845255057167986,0.4811719231448853,vggish-lda
violin,openmic,irmas,0.14352392065344224,0.8601398601398601,0.24599999999999997,143.0,0.5474189675870348,0.7990761700545023,0.3619181501551847,vggish-lda
voice,openmic,irmas,0.3525046382189239,0.9947643979057592,0.5205479452054795,191.0,0.7899159663865546,0.984481320436596,0.90255636041167,vggish-lda
