instrument,train_set,test_set,precision,recall,f1-score,support,accuracy,roc_auc,ap,embedding
cello,irmas,irmas,0.16417910447761194,0.9361702127659575,0.27936507936507937,94.0,0.7274909963985594,0.9276230306967679,0.5671656332279936,vggish-k
clarinet,irmas,irmas,0.24407582938388625,0.8110236220472441,0.37522768670309653,127.0,0.7941176470588235,0.8950335886376776,0.5736090213032011,vggish-k
flute,irmas,irmas,0.3286219081272085,0.768595041322314,0.4603960396039604,121.0,0.8691476590636255,0.8934338976704378,0.6012357681536926,vggish-k
guitar,irmas,irmas,0.5337954939341422,0.8901734104046243,0.66738894907909,346.0,0.8157262905162065,0.9225170782974251,0.7914319993453611,vggish-k
organ,irmas,irmas,0.47878787878787876,0.9080459770114943,0.626984126984127,174.0,0.8871548619447779,0.9639148254291084,0.7369438506943915,vggish-k
piano,irmas,irmas,0.5398550724637681,0.8764705882352941,0.6681614349775784,170.0,0.9111644657863145,0.9558666247247561,0.8214135811627826,vggish-k
saxophone,irmas,irmas,0.2853470437017995,0.74,0.411873840445269,150.0,0.8097238895558223,0.8697009674582233,0.5176046815308571,vggish-k
trumpet,irmas,irmas,0.4107142857142857,0.7666666666666667,0.5348837209302325,150.0,0.879951980792317,0.9023482849604222,0.6864873810056034,vggish-k
violin,irmas,irmas,0.29289940828402367,0.6923076923076923,0.4116424116424116,143.0,0.8301320528211285,0.8622519961981552,0.5045117924447594,vggish-k
voice,irmas,irmas,0.5884244372990354,0.9581151832460733,0.7290836653386453,191.0,0.9183673469387755,0.9835832815689058,0.9231538277535671,vggish-k
cello,irmas,openmic,0.695364238410596,0.9292035398230089,0.7954545454545454,113.0,0.7511520737327189,0.8148400272294078,0.8006930264628876,vggish-k
clarinet,irmas,openmic,0.344,0.589041095890411,0.4343434343434343,73.0,0.6421725239616614,0.7200913242009133,0.425752049100421,vggish-k
flute,irmas,openmic,0.4132231404958678,0.704225352112676,0.5208333333333334,71.0,0.6229508196721312,0.7324757795326875,0.5577354861804107,vggish-k
guitar,irmas,openmic,0.9562841530054644,0.9668508287292817,0.9615384615384616,181.0,0.9446640316205533,0.9822744014732966,0.9924931992589994,vggish-k
organ,irmas,openmic,0.3953488372093023,0.6666666666666666,0.49635036496350365,51.0,0.625,0.7225416482382426,0.46443608810882314,vggish-k
