,instrument,train_set,test_set,precision,recall,f1-score,support,accuracy,roc_auc,ap,embedding
0,cello,A,A,0.22666666666666666,0.85,0.35789473684210527,40.0,0.8729166666666667,0.9414673913043479,0.5980914757350679,vggish
1,clarinet,A,A,0.27358490566037735,0.8285714285714286,0.4113475177304965,70.0,0.8270833333333333,0.9156179775280899,0.5783301812752966,vggish
2,flute,A,A,0.25,0.7017543859649122,0.3686635944700461,57.0,0.8572916666666667,0.8731324435118805,0.49548234930261903,vggish
3,guitar,A,A,0.6376811594202898,0.7927927927927928,0.7068273092369477,222.0,0.8479166666666667,0.9146707683293049,0.819133354894501,vggish
4,organ,A,A,0.5,0.9076923076923077,0.644808743169399,130.0,0.8645833333333334,0.9650602409638555,0.7962659755393138,vggish
5,piano,A,A,0.5944055944055944,0.8333333333333334,0.6938775510204082,102.0,0.921875,0.9410622057680882,0.809070765490559,vggish
6,saxophone,A,A,0.273542600896861,0.7922077922077922,0.4066666666666667,77.0,0.8145833333333333,0.8546131105587504,0.5524184451096692,vggish
7,trumpet,A,A,0.3707865168539326,0.7764705882352941,0.5019011406844107,85.0,0.8635416666666667,0.9180504201680673,0.6901395769960857,vggish
8,violin,A,A,0.2388888888888889,0.6323529411764706,0.34677419354838707,68.0,0.83125,0.8373450276971776,0.3639821465245602,vggish
9,voice,A,A,0.7803030303030303,0.944954128440367,0.8547717842323651,109.0,0.9635416666666666,0.9874621330544745,0.9472741645213378,vggish
10,cello,A,B,0.2512820512820513,0.9074074074074074,0.39357429718875503,54.0,0.7861189801699717,0.9341058850261305,0.642661085727034,vggish
11,clarinet,A,B,0.18118466898954705,0.9122807017543859,0.3023255813953488,57.0,0.660056657223796,0.8940880707160814,0.5512277827579399,vggish
12,flute,A,B,0.3586206896551724,0.8125,0.4976076555023923,64.0,0.8512747875354107,0.9168126947040498,0.6623604337120769,vggish
13,guitar,A,B,0.6821192052980133,0.8306451612903226,0.7490909090909091,124.0,0.9022662889518414,0.9621577430440085,0.8707567181094101,vggish
14,organ,A,B,0.4105263157894737,0.8863636363636364,0.5611510791366906,44.0,0.9135977337110481,0.9778220269156825,0.8144655118239197,vggish
15,piano,A,B,0.5816326530612245,0.8382352941176471,0.6867469879518072,68.0,0.9263456090651558,0.9674764890282131,0.8546995389428349,vggish
16,saxophone,A,B,0.28342245989304815,0.726027397260274,0.4076923076923077,73.0,0.7818696883852692,0.8205111558354433,0.4630137098767241,vggish
17,trumpet,A,B,0.38738738738738737,0.6615384615384615,0.48863636363636365,65.0,0.8725212464589235,0.8767070682827313,0.5967496848596199,vggish
18,violin,A,B,0.2875536480686695,0.8933333333333333,0.43506493506493504,75.0,0.7535410764872521,0.9016376122556787,0.5780942864470862,vggish
19,voice,A,B,0.8888888888888888,0.975609756097561,0.9302325581395349,82.0,0.9830028328611898,0.9977720450281425,0.9840674796703923,vggish
20,cello,B,B,0.36607142857142855,0.7592592592592593,0.4939759036144578,54.0,0.8810198300283286,0.919762553965008,0.6125456504207841,vggish
21,clarinet,B,B,0.25882352941176473,0.7719298245614035,0.3876651982378855,57.0,0.8031161473087819,0.8738409969453681,0.5403442296829619,vggish
22,flute,B,B,0.38524590163934425,0.734375,0.5053763440860214,64.0,0.8696883852691218,0.9275214174454829,0.7148443158185792,vggish
23,guitar,B,B,0.6942675159235668,0.8790322580645161,0.7758007117437723,124.0,0.9107648725212465,0.966106861766988,0.8752237459611019,vggish
24,organ,B,B,0.4691358024691358,0.8636363636363636,0.608,44.0,0.9305949008498584,0.9766890964020873,0.7854651557442743,vggish
25,piano,B,B,0.7368421052631579,0.8235294117647058,0.7777777777777778,68.0,0.9546742209631728,0.9793933247280103,0.8968423209651943,vggish
26,saxophone,B,B,0.3192771084337349,0.726027397260274,0.4435146443514644,73.0,0.8116147308781869,0.8599190633859205,0.5248184317942217,vggish
27,trumpet,B,B,0.4,0.7692307692307693,0.5263157894736842,65.0,0.8725212464589235,0.8954998199927998,0.6496253399268119,vggish
28,violin,B,B,0.40540540540540543,0.8,0.5381165919282511,75.0,0.8541076487252125,0.9178024300052825,0.6761067241651365,vggish
29,voice,B,B,0.8617021276595744,0.9878048780487805,0.9204545454545454,82.0,0.9801699716713881,0.9981824577861163,0.9848669191132906,vggish
30,cello,B,A,0.4,0.5,0.4444444444444445,40.0,0.9479166666666666,0.9220108695652174,0.49722112499578547,vggish
31,clarinet,B,A,0.3458646616541353,0.6571428571428571,0.45320197044334976,70.0,0.884375,0.8941091492776886,0.44599848820691396,vggish
32,flute,B,A,0.2706766917293233,0.631578947368421,0.37894736842105264,57.0,0.8770833333333333,0.8812146645683978,0.5203954512254172,vggish
33,guitar,B,A,0.625,0.8333333333333334,0.7142857142857143,222.0,0.8458333333333333,0.9164713493981786,0.8186684903902507,vggish
