instrument,train_set,test_set,precision,recall,f1-score,support,accuracy,roc_auc,ap,embedding
cello,A,A,0.25471698113207547,0.9,0.3970588235294118,30.0,0.8918205804749341,0.9587912087912087,0.6330480011422309,vggish
clarinet,A,A,0.25,0.8571428571428571,0.3870967741935483,35.0,0.8746701846965699,0.9202133965619442,0.5020677723671292,vggish
flute,A,A,0.2459016393442623,0.6818181818181818,0.3614457831325301,44.0,0.8601583113456465,0.855646804176216,0.4905997778768656,vggish
guitar-ac,A,A,0.6095890410958904,0.9081632653061225,0.7295081967213115,98.0,0.9129287598944591,0.9691094619666049,0.8398824283448755,vggish
guitar-el,A,A,0.5459183673469388,0.823076923076923,0.656441717791411,130.0,0.8522427440633246,0.9211783439490446,0.7472802420188185,vggish
organ,A,A,0.45588235294117646,0.8378378378378378,0.5904761904761905,74.0,0.8865435356200527,0.9377272008850956,0.6784287575232043,vggish
piano,A,A,0.33766233766233766,0.6666666666666666,0.4482758620689655,39.0,0.9155672823218998,0.918583502728148,0.5727029558399236,vggish
saxophone,A,A,0.1968503937007874,0.7142857142857143,0.30864197530864196,35.0,0.8522427440633246,0.8328393598103141,0.32452306583477547,vggish
trumpet,A,A,0.21739130434782608,0.6097560975609756,0.32051282051282054,41.0,0.8601583113456465,0.8453243528251182,0.47146578368233377,vggish
violin,A,A,0.08317214700193423,0.9347826086956522,0.15275310834813496,46.0,0.370712401055409,0.8424523693209576,0.5059790449310019,vggish
voice,A,A,0.8439024390243902,0.9301075268817204,0.8849104859335037,186.0,0.9406332453825857,0.9806094443191217,0.9556938257314728,vggish
cello,A,B,0.296969696969697,0.7205882352941176,0.4206008583690988,68.0,0.8556149732620321,0.856503154895176,0.512546035388527,vggish
clarinet,A,B,0.2066115702479339,0.8152173913043478,0.32967032967032966,92.0,0.6737967914438503,0.8243720666357213,0.34243279390777903,vggish
flute,A,B,0.25523012552301255,0.8591549295774648,0.3935483870967742,71.0,0.7989304812834225,0.8966484089723525,0.5353799639820874,vggish
guitar-ac,A,B,0.6352941176470588,0.8571428571428571,0.7297297297297296,63.0,0.9572192513368984,0.9769732051842144,0.8371295778556201,vggish
guitar-el,A,B,0.36363636363636365,0.3225806451612903,0.3418803418803419,62.0,0.9176470588235294,0.7828215644976536,0.3566612611569827,vggish
organ,A,B,0.4258373205741627,0.9175257731958762,0.5816993464052287,97.0,0.8631016042780749,0.9522796053440937,0.7258013307270471,vggish
piano,A,B,0.6174496644295302,0.6433566433566433,0.6301369863013698,143.0,0.8844919786096257,0.9136204704386522,0.724274205217715,vggish
saxophone,A,B,0.359375,0.5609756097560976,0.43809523809523815,123.0,0.8106951871657754,0.7449036805638991,0.3574701912854702,vggish
