instrument,train_set,test_set,precision,recall,f1-score,support,accuracy,roc_auc,ap,embedding
cello,irmas,irmas,0.4540229885057471,0.8404255319148937,0.5895522388059701,94.0,0.9339735894357744,0.9572505549239347,0.7575463661968792,yamnet-k
clarinet,irmas,irmas,0.424,0.8346456692913385,0.5623342175066313,127.0,0.9009603841536614,0.9148797920727745,0.6821735351414072,yamnet-k
flute,irmas,irmas,0.5217391304347826,0.6942148760330579,0.5957446808510638,121.0,0.9315726290516206,0.9264810505763726,0.6840982140311698,yamnet-k
guitar,irmas,irmas,0.7468671679197995,0.861271676300578,0.7999999999999999,346.0,0.9105642256902761,0.9669250306533543,0.8974838876431386,yamnet-k
organ,irmas,irmas,0.6395348837209303,0.9482758620689655,0.763888888888889,174.0,0.9387755102040817,0.9869110350990724,0.8872042492919956,yamnet-k
piano,irmas,irmas,0.8373493975903614,0.8176470588235294,0.8273809523809523,170.0,0.9651860744297719,0.9694007549543882,0.8705136248300817,yamnet-k
saxophone,irmas,irmas,0.34210526315789475,0.78,0.47560975609756106,150.0,0.8451380552220888,0.9063456464379948,0.5767374607781586,yamnet-k
trumpet,irmas,irmas,0.6108374384236454,0.8266666666666667,0.7025495750708214,150.0,0.9369747899159664,0.9625065963060686,0.8579149399756366,yamnet-k
violin,irmas,irmas,0.4608695652173913,0.7412587412587412,0.5683646112600537,143.0,0.9033613445378151,0.9064185978171534,0.6866161752615263,yamnet-k
voice,irmas,irmas,0.8379629629629629,0.9476439790575916,0.8894348894348894,191.0,0.9729891956782714,0.992815689058479,0.9395673602781704,yamnet-k
cello,openmic,openmic,0.7964601769911505,0.7964601769911505,0.7964601769911505,226.0,0.8103092783505155,0.9068404687873715,0.8803910028069204,yamnet-k
clarinet,openmic,openmic,0.3333333333333333,0.7299270072992701,0.45766590389016015,137.0,0.6296875,0.756308862155534,0.4679789523198584,yamnet-k
flute,openmic,openmic,0.49242424242424243,0.7428571428571429,0.592255125284738,175.0,0.6814946619217082,0.8042672572905131,0.6934506521758422,yamnet-k
guitar,openmic,openmic,0.9926470588235294,0.9440559440559441,0.967741935483871,286.0,0.9587155963302753,0.9905128205128205,0.9960330435726591,yamnet-k
