instrument,train_set,test_set,precision,recall,f1-score,support,accuracy,roc_auc,ap,embedding
cello,irmas,irmas,0.45664739884393063,0.8404255319148937,0.5917602996254682,94.0,0.9345738295318127,0.9571625791781713,0.7578232562395335,yamnet-klda-genre
clarinet,irmas,irmas,0.42570281124497994,0.8346456692913385,0.5638297872340425,127.0,0.9015606242496998,0.9148593267946769,0.6817515008285145,yamnet-klda-genre
flute,irmas,irmas,0.515527950310559,0.6859504132231405,0.5886524822695036,121.0,0.9303721488595438,0.9264436064083018,0.6845698925982533,yamnet-klda-genre
guitar,irmas,irmas,0.7493734335839599,0.8641618497109826,0.8026845637583893,346.0,0.9117647058823529,0.9669381678052198,0.8975720210551882,yamnet-klda-genre
organ,irmas,irmas,0.6395348837209303,0.9482758620689655,0.763888888888889,174.0,0.9387755102040817,0.9869957782502851,0.8876362806779947,yamnet-klda-genre
piano,irmas,irmas,0.8383233532934131,0.8235294117647058,0.8308605341246291,170.0,0.9657863145258103,0.9694046870084931,0.8704680656943081,yamnet-klda-genre
saxophone,irmas,irmas,0.34402332361516036,0.7866666666666666,0.47870182555780927,150.0,0.8457382953181273,0.9063192612137202,0.5767331688077292,yamnet-klda-genre
trumpet,irmas,irmas,0.6108374384236454,0.8266666666666667,0.7025495750708214,150.0,0.9369747899159664,0.9624362357080034,0.8579651985962877,yamnet-klda-genre
violin,irmas,irmas,0.4608695652173913,0.7412587412587412,0.5683646112600537,143.0,0.9033613445378151,0.9062992162138583,0.6864739882882668,yamnet-klda-genre
voice,irmas,irmas,0.8302752293577982,0.9476439790575916,0.8850855745721272,191.0,0.9717887154861945,0.9927340491614164,0.9384607054136329,yamnet-klda-genre
cello,openmic,openmic,0.7964601769911505,0.7964601769911505,0.7964601769911505,226.0,0.8103092783505155,0.9066867119964465,0.8802375881134789,yamnet-klda-genre
clarinet,openmic,openmic,0.3333333333333333,0.7299270072992701,0.45766590389016015,137.0,0.6296875,0.7561202130283988,0.4681511610691734,yamnet-klda-genre
flute,openmic,openmic,0.49242424242424243,0.7428571428571429,0.592255125284738,175.0,0.6814946619217082,0.8042672572905131,0.6933992228961952,yamnet-klda-genre
guitar,openmic,openmic,0.9926470588235294,0.9440559440559441,0.967741935483871,286.0,0.9587155963302753,0.9905128205128205,0.9960330435726591,yamnet-klda-genre
organ,openmic,openmic,0.5488721804511278,0.6033057851239669,0.5748031496062992,121.0,0.7494199535962877,0.8285790455878432,0.6324214437754574,yamnet-klda-genre
piano,openmic,openmic,0.9513888888888888,0.9614035087719298,0.9563699825479931,285.0,0.9397590361445783,0.9835897435897436,0.9919163970250198,yamnet-klda-genre
saxophone,openmic,openmic,0.8275862068965517,0.8655737704918033,0.8461538461538461,305.0,0.8473767885532592,0.9224650880388586,0.9168292550481041,yamnet-klda-genre
trumpet,openmic,openmic,0.7283582089552239,0.7672955974842768,0.7473200612557428,318.0,0.7898089171974523,0.8785436278668876,0.8405285477561656,yamnet-klda-genre
violin,openmic,openmic,0.8981723237597912,0.8730964467005076,0.8854568854568855,394.0,0.8589540412044374,0.9384544539399001,0.956669040249359,yamnet-klda-genre
voice,openmic,openmic,0.944954128440367,0.9196428571428571,0.9321266968325792,224.0,0.9197860962566845,0.9773214285714286,0.9857141307170025,yamnet-klda-genre
cello,irmas,openmic,0.725609756097561,0.5265486725663717,0.6102564102564102,226.0,0.6865979381443299,0.7843646427717226,0.7551220111111332,yamnet-klda-genre
clarinet,irmas,openmic,0.3708609271523179,0.40875912408759124,0.38888888888888884,137.0,0.725,0.6825035190317946,0.3986255185304914,yamnet-klda-genre
flute,irmas,openmic,0.5944055944055944,0.4857142857142857,0.5345911949685535,175.0,0.7366548042704626,0.7171354743447768,0.5864940535399047,yamnet-klda-genre
guitar,irmas,openmic,0.9838709677419355,0.8531468531468531,0.9138576779026216,286.0,0.8944954128440367,0.9728205128205129,0.9872268767566017,yamnet-klda-genre
organ,irmas,openmic,0.46236559139784944,0.7107438016528925,0.5602605863192183,121.0,0.6867749419953596,0.7460943748333778,0.5506267026918741,yamnet-klda-genre
piano,irmas,openmic,0.9649122807017544,0.7719298245614035,0.8576998050682261,285.0,0.8240963855421687,0.9398920377867745,0.9727618003627997,yamnet-klda-genre
saxophone,irmas,openmic,0.7593220338983051,0.7344262295081967,0.7466666666666667,305.0,0.7583465818759937,0.8335053632867842,0.8203544911635796,yamnet-klda-genre
trumpet,irmas,openmic,0.7044534412955465,0.5471698113207547,0.6159292035398231,318.0,0.7235668789808917,0.7839346558388213,0.7082556382342845,yamnet-klda-genre
violin,irmas,openmic,0.8978328173374613,0.7360406091370558,0.8089260808926081,394.0,0.7828843106180665,0.8647754289018827,0.9178756774002184,yamnet-klda-genre
voice,irmas,openmic,0.972972972972973,0.8035714285714286,0.880195599022005,224.0,0.8689839572192514,0.9658630952380952,0.978269364399457,yamnet-klda-genre
cello,openmic,irmas,0.19471153846153846,0.8617021276595744,0.3176470588235294,94.0,0.7911164465786314,0.8869511666937361,0.46517709247368066,yamnet-klda-genre
clarinet,openmic,irmas,0.212,0.8346456692913385,0.3381180223285486,127.0,0.7509003601440576,0.8776227532961888,0.5686039770102456,yamnet-klda-genre
flute,openmic,irmas,0.16912972085385877,0.8512396694214877,0.2821917808219178,121.0,0.6854741896758704,0.8738666452699992,0.549863839673506,yamnet-klda-genre
guitar,openmic,irmas,0.5821917808219178,0.7369942196531792,0.6505102040816326,346.0,0.8355342136854742,0.89896873357856,0.705000664225436,yamnet-klda-genre
organ,openmic,irmas,0.19594594594594594,0.16666666666666666,0.18012422360248448,174.0,0.8415366146458584,0.5366321530923546,0.13670208936449946,yamnet-klda-genre
piano,openmic,irmas,0.24686940966010734,0.8117647058823529,0.3786008230452675,170.0,0.7280912364945978,0.864151462724127,0.6561196917212679,yamnet-klda-genre
saxophone,openmic,irmas,0.2440318302387268,0.6133333333333333,0.34914611005692603,150.0,0.7941176470588235,0.7981222515391381,0.31572575257948304,yamnet-klda-genre
trumpet,openmic,irmas,0.3038277511961722,0.8466666666666667,0.44718309859154926,150.0,0.8115246098439376,0.9109190853122251,0.6488281245306792,yamnet-klda-genre
violin,openmic,irmas,0.22817460317460317,0.8041958041958042,0.35548686244204014,143.0,0.7496998799519808,0.8511540986918531,0.4398573830352517,yamnet-klda-genre
voice,openmic,irmas,0.4681933842239186,0.9633507853403142,0.6301369863013699,191.0,0.8703481392557023,0.9821883041973557,0.8951681723175142,yamnet-klda-genre
