instrument,train_set,test_set,precision,recall,f1-score,support,accuracy,roc_auc,ap,embedding
cello,irmas,irmas,0.4540229885057471,0.8404255319148937,0.5895522388059701,94.0,0.9339735894357744,0.9572640896540524,0.757545333857225,yamnet-klda
clarinet,irmas,irmas,0.424,0.8346456692913385,0.5623342175066313,127.0,0.9009603841536614,0.9148849083922989,0.6821715895988633,yamnet-klda
flute,irmas,irmas,0.51875,0.6859504132231405,0.5907473309608542,121.0,0.9309723889555822,0.9264275589077002,0.6842664240494141,yamnet-klda
guitar,irmas,irmas,0.7468671679197995,0.861271676300578,0.7999999999999999,346.0,0.9105642256902761,0.9669403573305307,0.8975170642426282,yamnet-klda
organ,irmas,irmas,0.6395348837209303,0.9482758620689655,0.763888888888889,174.0,0.9387755102040817,0.9869110350990724,0.8872042492919956,yamnet-klda
piano,irmas,irmas,0.8373493975903614,0.8176470588235294,0.8273809523809523,170.0,0.9651860744297719,0.9694086190625982,0.8705454213692956,yamnet-klda
saxophone,irmas,irmas,0.34210526315789475,0.78,0.47560975609756106,150.0,0.8451380552220888,0.9063324538258575,0.5767196816172333,yamnet-klda
trumpet,irmas,irmas,0.6108374384236454,0.8266666666666667,0.7025495750708214,150.0,0.9369747899159664,0.9625109938434476,0.8579770638350814,yamnet-klda
violin,irmas,irmas,0.4608695652173913,0.7412587412587412,0.5683646112600537,143.0,0.9033613445378151,0.9064461474179136,0.6867108607924546,yamnet-klda
voice,irmas,irmas,0.8379629629629629,0.9476439790575916,0.8894348894348894,191.0,0.9729891956782714,0.992815689058479,0.9395673602781704,yamnet-klda
cello,openmic,openmic,0.7964601769911505,0.7964601769911505,0.7964601769911505,226.0,0.8103092783505155,0.9068404687873715,0.8803774507221785,yamnet-klda
clarinet,openmic,openmic,0.3333333333333333,0.7299270072992701,0.45766590389016015,137.0,0.6296875,0.756308862155534,0.4679789523198584,yamnet-klda
flute,openmic,openmic,0.49429657794676807,0.7428571428571429,0.593607305936073,175.0,0.6832740213523132,0.804282022886674,0.6934551944947372,yamnet-klda
guitar,openmic,openmic,0.9926470588235294,0.9440559440559441,0.967741935483871,286.0,0.9587155963302753,0.9905128205128205,0.9960330435726591,yamnet-klda
organ,openmic,openmic,0.5488721804511278,0.6033057851239669,0.5748031496062992,121.0,0.7494199535962877,0.8286323647027459,0.6324694275492977,yamnet-klda
piano,openmic,openmic,0.9513888888888888,0.9614035087719298,0.9563699825479931,285.0,0.9397590361445783,0.9835357624831309,0.9918881275492778,yamnet-klda
saxophone,openmic,openmic,0.8270440251572327,0.8622950819672132,0.8443017656500803,305.0,0.8457869634340223,0.922454968629832,0.9168559696347862,yamnet-klda
trumpet,openmic,openmic,0.7283582089552239,0.7672955974842768,0.7473200612557428,318.0,0.7898089171974523,0.8785638290708793,0.8406307983831769,yamnet-klda
violin,openmic,openmic,0.900523560209424,0.8730964467005076,0.8865979381443299,394.0,0.8605388272583201,0.9384330356186683,0.9567154447864816,yamnet-klda
voice,openmic,openmic,0.9493087557603687,0.9196428571428571,0.9342403628117913,224.0,0.9224598930481284,0.9773214285714286,0.9856972519765285,yamnet-klda
cello,irmas,openmic,0.6923076923076923,0.5973451327433629,0.6413301662707838,226.0,0.688659793814433,0.7850992585505859,0.7481730127225662,yamnet-klda
clarinet,irmas,openmic,0.35195530726256985,0.45985401459854014,0.39873417721518983,137.0,0.703125,0.6866392883574467,0.3911132806299691,yamnet-klda
flute,irmas,openmic,0.524390243902439,0.49142857142857144,0.5073746312684365,175.0,0.702846975088968,0.694750830564784,0.5547073693948185,yamnet-klda
guitar,irmas,openmic,0.9919028340080972,0.8566433566433567,0.9193245778611633,286.0,0.9013761467889908,0.9790675990675991,0.9901186687611119,yamnet-klda
organ,irmas,openmic,0.4473684210526316,0.5619834710743802,0.49816849816849823,121.0,0.6821345707656613,0.7123966942148761,0.5118811322378253,yamnet-klda
piano,irmas,openmic,0.9698275862068966,0.7894736842105263,0.8704061895551257,285.0,0.8385542168674699,0.9487719298245614,0.9755643711857467,yamnet-klda
saxophone,irmas,openmic,0.7368421052631579,0.780327868852459,0.7579617834394904,305.0,0.7583465818759937,0.8313802873912163,0.8196244574270344,yamnet-klda
trumpet,irmas,openmic,0.6666666666666666,0.6666666666666666,0.6666666666666666,318.0,0.729936305732484,0.7855170834848423,0.7123108250206303,yamnet-klda
violin,irmas,openmic,0.8771929824561403,0.7614213197969543,0.8152173913043478,394.0,0.7844690966719493,0.8532952087215404,0.9068312427764034,yamnet-klda
voice,irmas,openmic,0.9736842105263158,0.8258928571428571,0.8937198067632851,224.0,0.8823529411764706,0.9751488095238096,0.9830818011099609,yamnet-klda
cello,openmic,irmas,0.2900763358778626,0.8085106382978723,0.42696629213483145,94.0,0.8775510204081632,0.8827824698175519,0.5790544007882955,yamnet-klda
clarinet,openmic,irmas,0.36186770428015563,0.7322834645669292,0.484375,127.0,0.8811524609843937,0.8752283157587758,0.5656058812798985,yamnet-klda
flute,openmic,irmas,0.26239067055393583,0.743801652892562,0.3879310344827586,121.0,0.82953181272509,0.8395998823183289,0.5128524167487916,yamnet-klda
guitar,openmic,irmas,0.6046511627906976,0.6763005780346821,0.6384720327421556,346.0,0.84093637454982,0.8877299001576459,0.6900177834705078,yamnet-klda
organ,openmic,irmas,0.3058823529411765,0.14942528735632185,0.20077220077220076,174.0,0.8757503001200481,0.5248220393824535,0.15890623792821001,yamnet-klda
piano,openmic,irmas,0.2982885085574572,0.7176470588235294,0.42141623488773744,170.0,0.7989195678271308,0.854576910978295,0.6253804164413612,yamnet-klda
saxophone,openmic,irmas,0.2902097902097902,0.5533333333333333,0.3807339449541285,150.0,0.8379351740696278,0.8170668425681619,0.33252268732942236,yamnet-klda
trumpet,openmic,irmas,0.4263565891472868,0.7333333333333333,0.5392156862745098,150.0,0.8871548619447779,0.8976209322779244,0.5974327638861336,yamnet-klda
