instrument,train_set,test_set,precision,recall,f1-score,support,accuracy,roc_auc,ap,embedding
cello,irmas,irmas,0.14511041009463724,0.9787234042553191,0.2527472527472528,94.0,0.673469387755102,0.948683070759569,0.6771575348905255,yamnet-lda-genre
clarinet,irmas,irmas,0.1482889733840304,0.9212598425196851,0.2554585152838428,127.0,0.5906362545018007,0.8892367986165471,0.5207213752514286,yamnet-lda-genre
flute,irmas,irmas,0.1412639405204461,0.9421487603305785,0.24568965517241378,121.0,0.5798319327731093,0.917366070234561,0.6328821082230018,yamnet-lda-genre
guitar,irmas,irmas,0.7126168224299065,0.8815028901734104,0.7881136950904394,346.0,0.9015606242496998,0.9671374146085129,0.9011395133382343,yamnet-lda-genre
organ,irmas,irmas,0.23673469387755103,1.0,0.38283828382838286,174.0,0.6632653061224489,0.9805861144494777,0.8529311751666454,yamnet-lda-genre
piano,irmas,irmas,0.72,0.8470588235294118,0.7783783783783784,170.0,0.9507803121248499,0.9592049386599559,0.8672615742004605,yamnet-lda-genre
saxophone,irmas,irmas,0.20089955022488756,0.8933333333333333,0.3280293757649939,150.0,0.67046818727491,0.8519085312225155,0.3894984975521181,yamnet-lda-genre
trumpet,irmas,irmas,0.20425531914893616,0.96,0.3368421052631579,150.0,0.6596638655462185,0.9481046613896218,0.7613854552605069,yamnet-lda-genre
violin,irmas,irmas,0.2040133779264214,0.8531468531468531,0.3292847503373819,143.0,0.7016806722689075,0.8627524806119684,0.5623651022183592,yamnet-lda-genre
voice,irmas,irmas,0.3125,0.9947643979057592,0.47559449311639546,191.0,0.748499399759904,0.9873245185908244,0.921289417580985,yamnet-lda-genre
cello,openmic,openmic,0.7380073800738007,0.8849557522123894,0.8048289738430584,226.0,0.8,0.9062766938873132,0.8826770836562319,yamnet-lda-genre
clarinet,openmic,openmic,0.2899543378995434,0.927007299270073,0.4417391304347827,137.0,0.4984375,0.7243110678991743,0.3925111044673209,yamnet-lda-genre
flute,openmic,openmic,0.4872611464968153,0.8742857142857143,0.6257668711656442,175.0,0.6743772241992882,0.8264894795127354,0.7130243272841552,yamnet-lda-genre
guitar,openmic,openmic,0.9721254355400697,0.9755244755244755,0.9738219895287957,286.0,0.9655963302752294,0.9910955710955711,0.9960625000457929,yamnet-lda-genre
organ,openmic,openmic,0.4312267657992565,0.9586776859504132,0.594871794871795,121.0,0.6334106728538283,0.8211410290589176,0.6264692052402299,yamnet-lda-genre
piano,openmic,openmic,0.9461279461279462,0.9859649122807017,0.9656357388316151,285.0,0.9518072289156626,0.984021592442645,0.9919398826155634,yamnet-lda-genre
saxophone,openmic,openmic,0.7720797720797721,0.8885245901639345,0.826219512195122,305.0,0.8187599364069952,0.9022566282129125,0.891068479901397,yamnet-lda-genre
trumpet,openmic,openmic,0.6351351351351351,0.8867924528301887,0.7401574803149605,318.0,0.7477707006369426,0.8720321064468777,0.8314454304946153,yamnet-lda-genre
violin,openmic,openmic,0.8451327433628318,0.9695431472081218,0.9030732860520095,394.0,0.8700475435816165,0.9282593330334769,0.947955421959351,yamnet-lda-genre
voice,openmic,openmic,0.9324324324324325,0.9241071428571429,0.9282511210762333,224.0,0.9144385026737968,0.9683035714285715,0.9800621696036168,yamnet-lda-genre
cello,irmas,openmic,0.5883905013192612,0.9867256637168141,0.7371900826446279,226.0,0.6721649484536083,0.8637543991526292,0.8316771304918109,yamnet-lda-genre
clarinet,irmas,openmic,0.2740899357601713,0.9343065693430657,0.423841059602649,137.0,0.45625,0.7173310501951793,0.3730885252530623,yamnet-lda-genre
flute,irmas,openmic,0.3618421052631579,0.9428571428571428,0.5229793977812995,175.0,0.46441281138790036,0.7403765227021041,0.6003771065401972,yamnet-lda-genre
guitar,irmas,openmic,0.9487179487179487,0.9055944055944056,0.9266547406082289,286.0,0.9059633027522935,0.9747785547785548,0.9874711215453302,yamnet-lda-genre
organ,irmas,openmic,0.3143712574850299,0.8677685950413223,0.4615384615384615,121.0,0.43155452436194897,0.665582511330312,0.48969468379888065,yamnet-lda-genre
piano,irmas,openmic,0.9642857142857143,0.8526315789473684,0.9050279329608938,285.0,0.8771084337349397,0.9593522267206477,0.9811864497817026,yamnet-lda-genre
saxophone,irmas,openmic,0.648471615720524,0.9737704918032787,0.7785058977719528,305.0,0.7313195548489666,0.8799028536733455,0.8532595980862223,yamnet-lda-genre
trumpet,irmas,openmic,0.48043818466353677,0.9654088050314465,0.6415882967607106,318.0,0.5630573248407643,0.8196705857002411,0.760345817588473,yamnet-lda-genre
violin,irmas,openmic,0.7958333333333333,0.9695431472081218,0.8741418764302059,394.0,0.8256735340729001,0.9192636381160445,0.9441719878750727,yamnet-lda-genre
voice,irmas,openmic,0.8627450980392157,0.9821428571428571,0.918580375782881,224.0,0.8957219251336899,0.9688690476190476,0.9795205885429131,yamnet-lda-genre
cello,openmic,irmas,0.0960591133004926,0.8297872340425532,0.17218543046357615,94.0,0.5498199279711885,0.8254561204049591,0.5330709292988228,yamnet-lda-genre
