instrument,train_set,test_set,precision,recall,f1-score,support,accuracy,roc_auc,ap,embedding
cello,irmas,irmas,0.3426294820717131,0.9148936170212766,0.49855072463768113,94.0,0.8961584633853541,0.9565264468626495,0.7299277158154088,yamnet
clarinet,irmas,irmas,0.34210526315789475,0.8188976377952756,0.48259860788863107,127.0,0.8661464585834334,0.9212240282830144,0.7039518323729465,yamnet
flute,irmas,irmas,0.29775280898876405,0.8760330578512396,0.4444444444444444,121.0,0.84093637454982,0.9150284843135682,0.6077278257890532,yamnet
guitar,irmas,irmas,0.6181102362204725,0.9075144508670521,0.7353629976580797,346.0,0.8643457382953181,0.9575451042214047,0.8775307798591748,yamnet
organ,irmas,irmas,0.6216216216216216,0.9252873563218391,0.7436489607390302,174.0,0.9333733493397359,0.9798503898184956,0.857774997725422,yamnet
piano,irmas,irmas,0.620253164556962,0.8647058823529412,0.7223587223587223,170.0,0.9321728691476591,0.9637543252595157,0.8582836148622601,yamnet
saxophone,irmas,irmas,0.3054054054054054,0.7533333333333333,0.4346153846153847,150.0,0.8235294117647058,0.8884080914687775,0.49802571586233757,yamnet
trumpet,irmas,irmas,0.5289256198347108,0.8533333333333334,0.6530612244897959,150.0,0.9183673469387755,0.9563148636763412,0.8189254862690225,yamnet
violin,irmas,irmas,0.3048128342245989,0.7972027972027972,0.4410058027079304,143.0,0.826530612244898,0.8982776907924642,0.59264123288014,yamnet
voice,irmas,irmas,0.6192052980132451,0.9790575916230366,0.7586206896551725,191.0,0.9285714285714286,0.9910586564912592,0.9429528560662845,yamnet
cello,irmas,openmic,0.7876106194690266,0.7807017543859649,0.7841409691629955,114.0,0.7752293577981652,0.8356950067476383,0.8350038515611181,yamnet
clarinet,irmas,openmic,0.4157303370786517,0.5068493150684932,0.45679012345679015,73.0,0.7197452229299363,0.7043142158813164,0.4145632271613609,yamnet
flute,irmas,openmic,0.4375,0.7777777777777778,0.56,72.0,0.6437246963562753,0.77,0.6451199049149386,yamnet
guitar,irmas,openmic,0.9453551912568307,0.9558011049723757,0.9505494505494505,181.0,0.9291338582677166,0.9602664042987966,0.9799045858387454,yamnet
organ,irmas,openmic,0.4146341463414634,0.6666666666666666,0.5112781954887217,51.0,0.6505376344086021,0.7639796659404503,0.6007729423192092,yamnet
piano,irmas,openmic,0.9529411764705882,0.8709677419354839,0.9101123595505618,186.0,0.873015873015873,0.9351580319322255,0.9707229599840929,yamnet
saxophone,irmas,openmic,0.8295454545454546,0.6919431279620853,0.7545219638242895,211.0,0.7538860103626943,0.8584157075152337,0.8598820089901887,yamnet
trumpet,irmas,openmic,0.7516339869281046,0.6318681318681318,0.6865671641791045,182.0,0.7381546134663342,0.8174519544382559,0.7701006102323469,yamnet
violin,irmas,openmic,0.912621359223301,0.8068669527896996,0.856492027334852,233.0,0.8157894736842105,0.8956175926290507,0.9391219530226558,yamnet
voice,irmas,openmic,0.9482758620689655,0.9401709401709402,0.944206008583691,117.0,0.9315789473684211,0.9802130898021308,0.9877705411785198,yamnet
cello,openmic,openmic,0.8547008547008547,0.8771929824561403,0.8658008658008658,114.0,0.8577981651376146,0.9243421052631579,0.9195829364332464,yamnet
clarinet,openmic,openmic,0.35365853658536583,0.7945205479452054,0.4894514767932489,73.0,0.6146496815286624,0.7459216733928267,0.42948910855135014,yamnet
flute,openmic,openmic,0.47058823529411764,0.8888888888888888,0.6153846153846153,72.0,0.6761133603238867,0.8207142857142857,0.686494660110353,yamnet
guitar,openmic,openmic,1.0,0.9502762430939227,0.9745042492917847,181.0,0.9645669291338582,0.9954590176341482,0.9984233000304563,yamnet
organ,openmic,openmic,0.5384615384615384,0.5490196078431373,0.5436893203883495,51.0,0.7473118279569892,0.8091503267973855,0.602343216980418,yamnet
piano,openmic,openmic,0.9526315789473684,0.9731182795698925,0.9627659574468085,186.0,0.9444444444444444,0.9827305311176279,0.9935870907116149,yamnet
saxophone,openmic,openmic,0.84688995215311,0.8388625592417062,0.8428571428571427,211.0,0.8290155440414507,0.9050778605280975,0.9135918131490759,yamnet
trumpet,openmic,openmic,0.7513227513227513,0.7802197802197802,0.765498652291105,182.0,0.7830423940149626,0.8752822519945808,0.849917702540995,yamnet
violin,openmic,openmic,0.908675799086758,0.8540772532188842,0.8805309734513276,233.0,0.8421052631578947,0.9084143796511399,0.9460244219020645,yamnet
voice,openmic,openmic,0.9565217391304348,0.9401709401709402,0.9482758620689655,117.0,0.9368421052631579,0.9783397728603209,0.9814764724546494,yamnet
cello,openmic,irmas,0.14909090909090908,0.8723404255319149,0.2546583850931677,94.0,0.7118847539015606,0.8814628336310973,0.5974157297698948,yamnet
clarinet,openmic,irmas,0.1822429906542056,0.9212598425196851,0.3042912873862158,127.0,0.6788715486194478,0.8972796529088836,0.5605682826386695,yamnet
flute,openmic,irmas,0.1631736526946108,0.9008264462809917,0.27629911280101394,121.0,0.6572629051620649,0.8808901013667122,0.5487134702853607,yamnet
guitar,openmic,irmas,0.5448851774530271,0.7543352601156069,0.6327272727272727,346.0,0.8181272509003601,0.9004072517078296,0.7217451618160419,yamnet
organ,openmic,irmas,0.10950764006791172,0.7413793103448276,0.19082840236686394,174.0,0.3433373349339736,0.5453645496286709,0.130429359252506,yamnet
piano,openmic,irmas,0.20670391061452514,0.8705882352941177,0.33408577878103835,170.0,0.6458583433373349,0.8814407046240956,0.6600810003133928,yamnet
