instrument,train_set,test_set,precision,recall,f1-score,support,accuracy,roc_auc,ap,embedding
cello,irmas,irmas,0.2967032967032967,0.8617021276595744,0.44141689373297,94.0,0.8769507803121248,0.9393238048833307,0.6723995831313164,yamnet-k
clarinet,irmas,irmas,0.35064935064935066,0.8503937007874016,0.496551724137931,127.0,0.868547418967587,0.9144756028303479,0.6277832357702261,yamnet-k
flute,irmas,irmas,0.3074626865671642,0.8512396694214877,0.45175438596491235,121.0,0.8499399759903962,0.911492685014309,0.6120963936962891,yamnet-k
guitar,irmas,irmas,0.6222664015904572,0.9046242774566474,0.7373380447585394,346.0,0.8661464585834334,0.9482440007006481,0.8442807268757078,yamnet-k
organ,irmas,irmas,0.5878136200716846,0.9425287356321839,0.7240618101545254,174.0,0.924969987995198,0.9815606606884225,0.8723505055891709,yamnet-k
piano,irmas,irmas,0.6277056277056277,0.8529411764705882,0.7231920199501246,170.0,0.9333733493397359,0.9664753067002202,0.8634691736528777,yamnet-k
saxophone,irmas,irmas,0.3220338983050847,0.76,0.45238095238095233,150.0,0.8343337334933973,0.887018469656992,0.5745647856056241,yamnet-k
trumpet,irmas,irmas,0.5319148936170213,0.8333333333333334,0.6493506493506493,150.0,0.918967587034814,0.9506200527704485,0.8320148794540714,yamnet-k
violin,irmas,irmas,0.35093167701863354,0.7902097902097902,0.4860215053763441,143.0,0.8565426170468188,0.8899944441638467,0.6014033526969769,yamnet-k
voice,irmas,irmas,0.6366782006920415,0.9633507853403142,0.7666666666666666,191.0,0.9327731092436975,0.9876901233472358,0.9234052693728473,yamnet-k
cello,irmas,openmic,0.7155963302752294,0.6902654867256637,0.7027027027027027,113.0,0.695852534562212,0.787780803267529,0.8087751959926096,yamnet-k
clarinet,irmas,openmic,0.35185185185185186,0.5205479452054794,0.4198895027624309,73.0,0.6645367412140575,0.7179794520547945,0.43924792603731677,yamnet-k
flute,irmas,openmic,0.4838709677419355,0.6338028169014085,0.5487804878048781,71.0,0.6967213114754098,0.7611332736302207,0.6197981865188905,yamnet-k
guitar,irmas,openmic,0.9532163742690059,0.9005524861878453,0.9261363636363636,181.0,0.8972332015810277,0.964011663597299,0.98642458044564,yamnet-k
