instrument,train_set,test_set,precision,recall,f1-score,support,accuracy,roc_auc,ap,embedding
cello,irmas,irmas,0.3387096774193548,0.8936170212765957,0.49122807017543857,94.0,0.8955582232893158,0.9531359969682204,0.7331703513850875,yamnet
clarinet,irmas,irmas,0.3642611683848797,0.8346456692913385,0.507177033492823,127.0,0.8763505402160864,0.928028733250449,0.7185237423834718,yamnet
flute,irmas,irmas,0.34983498349834985,0.8760330578512396,0.5,121.0,0.8727490996398559,0.9366016742892294,0.7026341879220529,yamnet
guitar,irmas,irmas,0.5939849624060151,0.9132947976878613,0.7198177676537586,346.0,0.8523409363745498,0.9555811000175162,0.871342086605168,yamnet
organ,irmas,irmas,0.6349809885931559,0.9597701149425287,0.7643020594965676,174.0,0.9381752701080432,0.9837370188900187,0.8694921578248334,yamnet
piano,irmas,irmas,0.5584905660377358,0.8705882352941177,0.6804597701149425,170.0,0.9165666266506602,0.9642812205095942,0.8546851994947863,yamnet
saxophone,irmas,irmas,0.30256410256410254,0.7866666666666666,0.43703703703703695,150.0,0.8175270108043218,0.8919613016710641,0.4842276458145198,yamnet
trumpet,irmas,irmas,0.5078125,0.8666666666666667,0.6403940886699507,150.0,0.9123649459783914,0.9595470536499561,0.8513381493481316,yamnet
violin,irmas,irmas,0.3588039867109635,0.7552447552447552,0.4864864864864865,143.0,0.8631452581032413,0.8854854928393996,0.6105438334415811,yamnet
voice,irmas,irmas,0.6404109589041096,0.9790575916230366,0.7743271221532091,191.0,0.9345738295318127,0.9920454343774958,0.9489053325573203,yamnet
cello,irmas,openmic,0.7181818181818181,0.6991150442477876,0.7085201793721972,113.0,0.7004608294930875,0.7579135466303608,0.751738736764445,yamnet
clarinet,irmas,openmic,0.3925233644859813,0.5753424657534246,0.4666666666666667,73.0,0.6932907348242812,0.7332762557077626,0.447529213690041,yamnet
flute,irmas,openmic,0.4105960264900662,0.8732394366197183,0.5585585585585585,71.0,0.5983606557377049,0.7598306602621511,0.6004747166579155,yamnet
guitar,irmas,openmic,0.9723756906077348,0.9723756906077348,0.9723756906077348,181.0,0.9604743083003953,0.9940147329650092,0.997777258037927,yamnet
organ,irmas,openmic,0.4148936170212766,0.7647058823529411,0.5379310344827586,51.0,0.6358695652173914,0.7455403213917146,0.5792767240995962,yamnet
piano,irmas,openmic,0.9651162790697675,0.9021739130434783,0.9325842696629213,184.0,0.9036144578313253,0.9546822742474916,0.9842510086814805,yamnet
saxophone,irmas,openmic,0.838150289017341,0.6872037914691943,0.7552083333333333,211.0,0.7545691906005222,0.8622285903229362,0.8648995172204933,yamnet
trumpet,irmas,openmic,0.7464788732394366,0.5955056179775281,0.6625,178.0,0.7251908396946565,0.8183956101384897,0.7595979391784444,yamnet
violin,irmas,openmic,0.9047619047619048,0.8154506437768241,0.8577878103837473,233.0,0.8157894736842105,0.8891207622947592,0.9350328036212058,yamnet
voice,irmas,openmic,0.9473684210526315,0.9310344827586207,0.9391304347826087,116.0,0.9259259259259259,0.9785073216816249,0.9853311866877634,yamnet
cello,openmic,openmic,0.853448275862069,0.8761061946902655,0.8646288209606987,113.0,0.8571428571428571,0.923927842069435,0.9186729019873537,yamnet
clarinet,openmic,openmic,0.35185185185185186,0.7808219178082192,0.48510638297872344,73.0,0.6134185303514377,0.7458333333333333,0.4284185736711909,yamnet
flute,openmic,openmic,0.4666666666666667,0.8873239436619719,0.6116504854368932,71.0,0.6721311475409836,0.8233330619555482,0.6906751227379506,yamnet
guitar,openmic,openmic,1.0,0.9558011049723757,0.9774011299435028,181.0,0.9683794466403162,0.9953959484346225,0.9984434572908893,yamnet
organ,openmic,openmic,0.5490196078431373,0.5490196078431373,0.5490196078431373,51.0,0.75,0.8129146395400265,0.6171793557278389,yamnet
piano,openmic,openmic,0.9521276595744681,0.9728260869565217,0.9623655913978495,184.0,0.9437751004016064,0.9823578595317726,0.9934927188455469,yamnet
saxophone,openmic,openmic,0.8605769230769231,0.8483412322274881,0.8544152744630071,211.0,0.8407310704960835,0.909677063815717,0.9141052433465751,yamnet
trumpet,openmic,openmic,0.7486338797814208,0.7696629213483146,0.7590027700831026,178.0,0.7786259541984732,0.8748105565717272,0.8511329534759486,yamnet
violin,openmic,openmic,0.9128440366972477,0.8540772532188842,0.8824833702882483,233.0,0.8450292397660819,0.9260936331062724,0.9573794216913022,yamnet
voice,openmic,openmic,0.9568965517241379,0.9568965517241379,0.9568965517241379,116.0,0.9470899470899471,0.9792158715162966,0.9822123568292179,yamnet
cello,openmic,irmas,0.14909090909090908,0.8723404255319149,0.2546583850931677,94.0,0.7118847539015606,0.8814628336310973,0.5974157297698948,yamnet
clarinet,openmic,irmas,0.1828125,0.9212598425196851,0.30508474576271183,127.0,0.6800720288115246,0.8977401216660784,0.5618619617875764,yamnet
flute,openmic,irmas,0.16440422322775264,0.9008264462809917,0.2780612244897959,121.0,0.6602641056422569,0.8806761346920218,0.542511521412382,yamnet
guitar,openmic,irmas,0.5409836065573771,0.7630057803468208,0.6330935251798562,346.0,0.8163265306122449,0.8999167980381853,0.7184968041029547,yamnet
organ,openmic,irmas,0.1096938775510204,0.7413793103448276,0.1911111111111111,174.0,0.3445378151260504,0.5462505007549845,0.13068290475590683,yamnet
piano,openmic,irmas,0.2055944055944056,0.8647058823529412,0.33220338983050846,170.0,0.6452581032412965,0.8814328405158856,0.6595823887639348,yamnet
saxophone,openmic,irmas,0.19838056680161945,0.6533333333333333,0.30434782608695654,150.0,0.7310924369747899,0.7621635883905012,0.31989785810233295,yamnet
trumpet,openmic,irmas,0.266,0.8866666666666667,0.40923076923076923,150.0,0.7695078031212484,0.9088038698328935,0.5500611619126585,yamnet
violin,openmic,irmas,0.19614711033274956,0.7832167832167832,0.3137254901960784,143.0,0.7058823529411765,0.8129014780360809,0.32507177944023813,yamnet
voice,openmic,irmas,0.3888888888888889,0.9895287958115183,0.5583456425406204,191.0,0.8205282112845138,0.9846446002307215,0.9015264053224883,yamnet
cello,irmas,irmas,0.32209737827715357,0.9148936170212766,0.4764542936288089,94.0,0.8865546218487395,0.9632532077310378,0.755925800192711,yamnet-lda
clarinet,irmas,irmas,0.3554817275747508,0.84251968503937,0.5,127.0,0.8715486194477791,0.9241863772876344,0.7052542369424127,yamnet-lda
