instrument,train_set,test_set,precision,recall,f1-score,support,accuracy,roc_auc,ap,embedding
cel,A,A,0.30864197530864196,0.8333333333333334,0.45045045045045046,30.0,0.9195250659630607,0.9426739926739927,0.4906058658380644,yamnet
cla,A,A,0.5098039215686274,0.7428571428571429,0.6046511627906976,35.0,0.9551451187335093,0.9647500493973523,0.7238416269327681,yamnet
flu,A,A,0.25757575757575757,0.7727272727272727,0.38636363636363635,44.0,0.8575197889182058,0.8924751718869365,0.6379603724318667,yamnet
gac,A,A,0.7798165137614679,0.8673469387755102,0.821256038647343,98.0,0.9511873350923483,0.9839440321583179,0.8990256921675626,yamnet
gel,A,A,0.6285714285714286,0.8461538461538461,0.721311475409836,130.0,0.8878627968337731,0.9536930426261636,0.8514528041558294,yamnet
org,A,A,0.6288659793814433,0.8243243243243243,0.7134502923976608,74.0,0.9353562005277045,0.9725778409988936,0.7999926709368167,yamnet
pia,A,A,0.4430379746835443,0.8974358974358975,0.5932203389830508,39.0,0.9366754617414248,0.9785314361114084,0.7666418777206486,yamnet
sax,A,A,0.15492957746478872,0.6285714285714286,0.2485875706214689,35.0,0.8245382585751979,0.8524402292037147,0.29168642641585174,yamnet
tru,A,A,0.5,0.926829268292683,0.6495726495726496,41.0,0.945910290237467,0.9886382964248053,0.8592276964013774,yamnet
vio,A,A,0.3902439024390244,0.6956521739130435,0.5000000000000001,46.0,0.9155672823218998,0.8939606741573033,0.5778316769419279,yamnet
voi,A,A,0.9072164948453608,0.946236559139785,0.9263157894736843,186.0,0.9630606860158312,0.984340927889315,0.9666550593564808,yamnet
cel,A,B,0.4236111111111111,0.8970588235294118,0.5754716981132075,68.0,0.9037433155080213,0.956815252052378,0.7817880294976314,yamnet
cla,A,B,0.35664335664335667,0.5543478260869565,0.4340425531914894,92.0,0.8577540106951872,0.8240239310949506,0.48794232946211524,yamnet
flu,A,B,0.2548262548262548,0.9295774647887324,0.39999999999999997,71.0,0.788235294117647,0.9318596765779865,0.6391788859560918,yamnet
gac,A,B,0.569620253164557,0.7142857142857143,0.6338028169014085,63.0,0.9443850267379679,0.9339049075287607,0.6172809754972381,yamnet
gel,A,B,0.631578947368421,0.3870967741935484,0.48000000000000004,62.0,0.9443850267379679,0.8890366921627314,0.5225468329291735,yamnet
org,A,B,0.5660377358490566,0.9278350515463918,0.703125,97.0,0.9187165775401069,0.9782619393253451,0.8569435445469495,yamnet
pia,A,B,0.6578947368421053,0.8741258741258742,0.7507507507507508,143.0,0.9112299465240642,0.9531945327399872,0.8395142316219878,yamnet
sax,A,B,0.375,0.7073170731707317,0.4901408450704226,123.0,0.8064171122994652,0.8387700748928673,0.5498118732005894,yamnet
tru,A,B,0.5571428571428572,0.7428571428571429,0.636734693877551,105.0,0.9048128342245989,0.9119449225473322,0.7600608525942465,yamnet
vio,A,B,0.40425531914893614,0.7524752475247525,0.5259515570934256,101.0,0.853475935828877,0.8991618586319063,0.6351559670665868,yamnet
voi,A,B,0.4666666666666667,0.7,0.56,10.0,0.9882352941176471,0.9964324324324324,0.825013368983957,yamnet
cel,B,B,0.5391304347826087,0.9117647058823529,0.6775956284153006,68.0,0.9368983957219251,0.9796797611778276,0.8748806159738673,yamnet
cla,B,B,0.4423076923076923,0.75,0.5564516129032258,92.0,0.8823529411764706,0.9176337098354738,0.6815642969416954,yamnet
flu,B,B,0.5263157894736842,0.8450704225352113,0.6486486486486486,71.0,0.93048128342246,0.9560022170057381,0.7140330847134303,yamnet
gac,B,B,0.49056603773584906,0.8253968253968254,0.6153846153846153,63.0,0.93048128342246,0.9602446483180428,0.7899859711027661,yamnet
gel,B,B,0.6626506024096386,0.8870967741935484,0.7586206896551725,62.0,0.9625668449197861,0.9866053283080221,0.8655815178405857,yamnet
org,B,B,0.6486486486486487,0.9896907216494846,0.7836734693877551,97.0,0.9433155080213904,0.9952267303102625,0.9566996408145687,yamnet
pia,B,B,0.8271604938271605,0.9370629370629371,0.8786885245901639,143.0,0.960427807486631,0.986896941442396,0.9352808803560192,yamnet
sax,B,B,0.5130890052356021,0.7967479674796748,0.6242038216560509,123.0,0.8737967914438503,0.9340181825463575,0.7553377826903226,yamnet
tru,B,B,0.5921052631578947,0.8571428571428571,0.7003891050583657,105.0,0.9176470588235294,0.9741135972461273,0.8726103898353423,yamnet
vio,B,B,0.3632075471698113,0.7623762376237624,0.4920127795527156,101.0,0.8299465240641711,0.8540375620295843,0.5840454523628533,yamnet
voi,B,B,0.6666666666666666,1.0,0.8,10.0,0.9946524064171123,0.9994594594594595,0.9666666666666667,yamnet
cel,B,A,0.3157894736842105,0.4,0.35294117647058826,30.0,0.941952506596306,0.8532967032967034,0.2563575475640553,yamnet
cla,B,A,0.38461538461538464,0.5714285714285714,0.4597701149425288,35.0,0.9379947229551451,0.881367318711717,0.5768695003902137,yamnet
flu,B,A,0.35185185185185186,0.4318181818181818,0.3877551020408163,44.0,0.920844327176781,0.8637000254647313,0.44929611444524925,yamnet
gac,B,A,0.45664739884393063,0.8061224489795918,0.5830258302583026,98.0,0.8509234828496042,0.9406076066790352,0.8000556704345385,yamnet
gel,B,A,0.4452054794520548,0.5,0.47101449275362317,130.0,0.8073878627968337,0.7897048015678588,0.48523090318915346,yamnet
org,B,A,0.27705627705627706,0.8648648648648649,0.419672131147541,74.0,0.7664907651715039,0.9214477635530267,0.712369281815349,yamnet
pia,B,A,0.56,0.717948717948718,0.6292134831460674,39.0,0.9564643799472295,0.9307442673228487,0.6249019533933611,yamnet
sax,B,A,0.20634920634920634,0.37142857142857144,0.2653061224489796,35.0,0.9050131926121372,0.746571823750247,0.26911151572841624,yamnet
tru,B,A,0.6153846153846154,0.7804878048780488,0.6881720430107527,41.0,0.9617414248021108,0.9607783107119774,0.7748130594365801,yamnet
vio,B,A,0.20261437908496732,0.6739130434782609,0.31155778894472363,46.0,0.8192612137203166,0.841261602344895,0.5333473911864898,yamnet
voi,B,A,0.839572192513369,0.8440860215053764,0.8418230563002682,186.0,0.9221635883905013,0.9595458305135726,0.9175354201805338,yamnet
