instrument,train_set,test_set,precision,recall,f1-score,support,accuracy,roc_auc,ap,embedding
cello,A,A,0.625,0.6666666666666666,0.6451612903225806,30.0,0.9709762532981531,0.9679029304029304,0.7381557446193231,openl3
clarinet,A,A,0.6904761904761905,0.8285714285714286,0.7532467532467533,35.0,0.974934036939314,0.9915431732859119,0.8705963185604684,openl3
flute,A,A,0.5636363636363636,0.7045454545454546,0.6262626262626263,44.0,0.9511873350923483,0.9616437484084542,0.7283987062119541,openl3
guitar-ac,A,A,0.8762886597938144,0.8673469387755102,0.8717948717948717,98.0,0.9670184696569921,0.9914115646258503,0.9519065655975117,openl3
guitar-el,A,A,0.7851239669421488,0.7307692307692307,0.756972111553785,130.0,0.9195250659630607,0.9436489465948064,0.8422187300214444,openl3
organ,A,A,0.825,0.8918918918918919,0.8571428571428571,74.0,0.9709762532981531,0.9911095305832148,0.9430642589077534,openl3
piano,A,A,0.7058823529411765,0.9230769230769231,0.8000000000000002,39.0,0.9762532981530343,0.9944010555971613,0.9384611236088355,openl3
saxophone,A,A,0.48936170212765956,0.6571428571428571,0.5609756097560975,35.0,0.9525065963060686,0.9497332542975696,0.5809720040910736,openl3
trumpet,A,A,0.7254901960784313,0.9024390243902439,0.8043478260869564,41.0,0.9762532981530343,0.9823791543354764,0.9092647774723472,openl3
violin,A,A,0.5076923076923077,0.717391304347826,0.5945945945945945,46.0,0.9406332453825857,0.9487664875427455,0.6697838015017423,openl3
voice,A,A,1.0,0.7580645161290323,0.8623853211009175,186.0,0.9406332453825857,0.990807579517257,0.9808687976516275,openl3
cello,A,B,0.47297297297297297,0.5147058823529411,0.4929577464788732,68.0,0.9229946524064171,0.8948029038605061,0.5366293655282014,openl3
clarinet,A,B,0.3120567375886525,0.4782608695652174,0.3776824034334764,92.0,0.8449197860962567,0.7577234514415391,0.31977892396047786,openl3
flute,A,B,0.3177570093457944,0.4788732394366197,0.38202247191011235,71.0,0.8823529411764706,0.8464071465832029,0.3095154337113517,openl3
