,instrument,train_set,test_set,precision,recall,f1-score,support,accuracy,roc_auc,ap,embedding
0,cello,A,A,0.23469387755102042,0.7666666666666667,0.359375,30.0,0.8918205804749341,0.9318223443223443,0.5175305651264511,vggish-lda
1,clarinet,A,A,0.24,0.8571428571428571,0.375,35.0,0.8680738786279684,0.9377198182177435,0.5849417773551538,vggish-lda
2,flute,A,A,0.2833333333333333,0.7727272727272727,0.4146341463414634,44.0,0.8733509234828496,0.8950216450216452,0.6275928729276667,vggish-lda
3,guitar-ac,A,A,0.711864406779661,0.8571428571428571,0.7777777777777777,98.0,0.9366754617414248,0.9680504019789734,0.8274842503112122,vggish-lda
4,guitar-el,A,A,0.5240641711229946,0.7538461538461538,0.6182965299684543,130.0,0.8403693931398417,0.9031295933365997,0.7395912196615324,vggish-lda
5,organ,A,A,0.4090909090909091,0.8513513513513513,0.5526315789473684,74.0,0.8654353562005277,0.9367788841473053,0.6506673771274608,vggish-lda
6,piano,A,A,0.3333333333333333,0.7435897435897436,0.46031746031746035,39.0,0.9102902374670184,0.9313861845155309,0.6726522560299145,vggish-lda
7,saxophone,A,A,0.15789473684210525,0.7714285714285715,0.2621359223300971,35.0,0.7994722955145118,0.8944477376012646,0.3384235403866251,vggish-lda
8,trumpet,A,A,0.22666666666666666,0.8292682926829268,0.35602094240837695,41.0,0.837730870712401,0.8996836411878764,0.6060238689652513,vggish-lda
9,violin,A,A,0.21476510067114093,0.6956521739130435,0.3282051282051282,46.0,0.8271767810026385,0.8677332681973621,0.4717333352169373,vggish-lda
10,voice,A,A,0.8934010152284264,0.946236559139785,0.9190600522193212,186.0,0.9591029023746702,0.9865779381908414,0.9621274814825155,vggish-lda
11,cello,A,B,0.30538922155688625,0.75,0.4340425531914893,68.0,0.8577540106951872,0.8777562928285502,0.49664449855311255,vggish-lda
12,clarinet,A,B,0.24166666666666667,0.6304347826086957,0.34939759036144574,92.0,0.7689839572192514,0.7606503687657951,0.24298340695273205,vggish-lda
13,flute,A,B,0.25,0.8732394366197183,0.3887147335423197,71.0,0.7914438502673797,0.9005281690140845,0.4769857279424278,vggish-lda
14,guitar-ac,A,B,0.5319148936170213,0.7936507936507936,0.6369426751592357,63.0,0.9390374331550803,0.9631207222950342,0.8053051724815664,vggish-lda
15,guitar-el,A,B,0.4117647058823529,0.22580645161290322,0.29166666666666663,62.0,0.9272727272727272,0.7546096146029634,0.2922886380306114,vggish-lda
16,organ,A,B,0.4512820512820513,0.9072164948453608,0.6027397260273972,97.0,0.8759358288770054,0.9637698988755752,0.8110214689903028,vggish-lda
17,piano,A,B,0.6047619047619047,0.8881118881118881,0.7195467422096318,143.0,0.8941176470588236,0.96194462103553,0.8562016425587345,vggish-lda
18,saxophone,A,B,0.3292181069958848,0.6504065040650406,0.4371584699453552,123.0,0.7796791443850267,0.775501622011294,0.46987902427954054,vggish-lda
19,trumpet,A,B,0.26345609065155806,0.8857142857142857,0.40611353711790393,105.0,0.7090909090909091,0.8981411359724613,0.7041576203940235,vggish-lda
20,violin,A,B,0.26646706586826346,0.8811881188118812,0.40919540229885054,101.0,0.7251336898395722,0.8827076952299547,0.5009354466738007,vggish-lda
21,voice,A,B,0.2222222222222222,0.8,0.3478260869565218,10.0,0.9679144385026738,0.9805405405405405,0.5513358367227994,vggish-lda
22,cello,B,B,0.43609022556390975,0.8529411764705882,0.5771144278606966,68.0,0.9090909090909091,0.9519981002781736,0.6448459656097205,vggish-lda
23,clarinet,B,B,0.34782608695652173,0.6956521739130435,0.46376811594202894,92.0,0.841711229946524,0.8638145340141318,0.5217883834514565,vggish-lda
24,flute,B,B,0.38311688311688313,0.8309859154929577,0.5244444444444444,71.0,0.8855614973262033,0.9305555555555556,0.558602850580484,vggish-lda
25,guitar-ac,B,B,0.59375,0.9047619047619048,0.7169811320754718,63.0,0.9518716577540107,0.9834352701325179,0.8796302638361991,vggish-lda
26,guitar-el,B,B,0.3373493975903614,0.9032258064516129,0.49122807017543857,62.0,0.8759358288770054,0.9500424934412297,0.6375882334891779,vggish-lda
27,organ,B,B,0.6418918918918919,0.979381443298969,0.7755102040816327,97.0,0.9411764705882353,0.9872917845631474,0.8973052994378707,vggish-lda
28,piano,B,B,0.7383720930232558,0.8881118881118881,0.8063492063492064,143.0,0.9347593582887701,0.9746591792046337,0.9070214667064679,vggish-lda
29,saxophone,B,B,0.41975308641975306,0.5528455284552846,0.4771929824561404,123.0,0.8406417112299466,0.8344747486883736,0.5536757706813984,vggish-lda
30,trumpet,B,B,0.536144578313253,0.8476190476190476,0.6568265682656825,105.0,0.9005347593582887,0.9427309236947791,0.8085186294208074,vggish-lda
31,violin,B,B,0.1342281879194631,0.9900990099009901,0.23640661938534277,101.0,0.3090909090909091,0.8904242942279839,0.6064008941845755,vggish-lda
32,voice,B,B,0.6428571428571429,0.9,0.75,10.0,0.9935828877005347,0.9938378378378377,0.8972027972027972,vggish-lda
33,cello,B,A,0.22413793103448276,0.43333333333333335,0.29545454545454547,30.0,0.9182058047493403,0.8202380952380953,0.3529986442447596,vggish-lda
34,clarinet,B,A,0.30952380952380953,0.37142857142857144,0.33766233766233766,35.0,0.9327176781002638,0.8515708358032009,0.34490057207294567,vggish-lda
35,flute,B,A,0.36046511627906974,0.7045454545454546,0.47692307692307695,44.0,0.9102902374670184,0.8713076139546728,0.6174666813793759,vggish-lda
36,guitar-ac,B,A,0.8076923076923077,0.6428571428571429,0.7159090909090908,98.0,0.9340369393139841,0.9313930117501544,0.7888512944426322,vggish-lda
37,guitar-el,B,A,0.23100303951367782,0.5846153846153846,0.3311546840958606,130.0,0.5949868073878628,0.6301751592356688,0.269234700389236,vggish-lda
38,organ,B,A,0.22402597402597402,0.9324324324324325,0.3612565445026178,74.0,0.6781002638522428,0.8967915283704757,0.5669942552360767,vggish-lda
39,piano,B,A,0.5106382978723404,0.6153846153846154,0.558139534883721,39.0,0.9498680738786279,0.9090260689704361,0.6748688973293934,vggish-lda
40,saxophone,B,A,0.26582278481012656,0.6,0.3684210526315789,35.0,0.9050131926121372,0.8433115984983205,0.3251680796371061,vggish-lda
41,trumpet,B,A,0.4166666666666667,0.6097560975609756,0.4950495049504951,41.0,0.9327176781002638,0.8663128890703132,0.5935624001401899,vggish-lda
42,violin,B,A,0.2074074074074074,0.6086956521739131,0.30939226519337015,46.0,0.8350923482849604,0.814881533952125,0.41323332203384444,vggish-lda
43,voice,B,A,0.8722222222222222,0.8440860215053764,0.8579234972677596,186.0,0.9313984168865436,0.9627321603128055,0.9222127188673248,vggish-lda
