,instrument,train_set,test_set,precision,recall,f1-score,support,accuracy,roc_auc,ap,embedding
0,cello,A,A,0.23711340206185566,0.7666666666666667,0.3622047244094488,30.0,0.8931398416886543,0.9310897435897435,0.5184755214108111,vggish
1,clarinet,A,A,0.24,0.8571428571428571,0.375,35.0,0.8680738786279684,0.9389448725548311,0.586008402617646,vggish
2,flute,A,A,0.2809917355371901,0.7727272727272727,0.41212121212121217,44.0,0.8720316622691293,0.8953399541634837,0.6257636420324703,vggish
3,guitar-ac,A,A,0.7192982456140351,0.8367346938775511,0.7735849056603773,98.0,0.9366754617414248,0.9679730983302411,0.8263053629743212,vggish
4,guitar-el,A,A,0.510752688172043,0.7307692307692307,0.6012658227848101,130.0,0.8337730870712401,0.897127633512984,0.7311629203339373,vggish
5,organ,A,A,0.4117647058823529,0.8513513513513513,0.5550660792951542,74.0,0.866754617414248,0.937430851904536,0.6537179610345613,vggish
6,piano,A,A,0.3333333333333333,0.7435897435897436,0.46031746031746035,39.0,0.9102902374670184,0.931421846581791,0.6690723218242003,vggish
7,saxophone,A,A,0.16666666666666666,0.8,0.27586206896551724,35.0,0.8060686015831134,0.8940130409010076,0.33432070999874614,vggish
8,trumpet,A,A,0.2214765100671141,0.8048780487804879,0.3473684210526316,41.0,0.8364116094986808,0.8994455216518692,0.606438332653438,vggish
9,violin,A,A,0.22,0.717391304347826,0.336734693877551,46.0,0.8284960422163589,0.868252320468979,0.4729976536701631,vggish
10,voice,A,A,0.883248730964467,0.9354838709677419,0.9086161879895562,186.0,0.9538258575197889,0.9864463493495751,0.9610211501074021,vggish
11,cello,A,B,0.3161764705882353,0.6323529411764706,0.42156862745098034,68.0,0.8737967914438503,0.8571646651740281,0.45444497345195767,vggish
12,clarinet,A,B,0.25663716814159293,0.6304347826086957,0.36477987421383645,92.0,0.7839572192513369,0.7553896539274847,0.24378169125696877,vggish
13,flute,A,B,0.25311203319502074,0.8591549295774648,0.391025641025641,71.0,0.7967914438502673,0.8983274647887324,0.472131705607933,vggish
14,guitar-ac,A,B,0.5543478260869565,0.8095238095238095,0.6580645161290323,63.0,0.9433155080213904,0.9619193243046453,0.8013708959238874,vggish
15,guitar-el,A,B,0.4,0.1935483870967742,0.26086956521739135,62.0,0.9272727272727272,0.7527990244983926,0.29260046410366836,vggish
16,organ,A,B,0.4489795918367347,0.9072164948453608,0.6006825938566553,97.0,0.8748663101604278,0.9645080333636789,0.8130645977447385,vggish
17,piano,A,B,0.6028708133971292,0.8811188811188811,0.7159090909090909,143.0,0.893048128342246,0.9603553012643922,0.8500842890386008,vggish
18,saxophone,A,B,0.3319327731092437,0.6422764227642277,0.43767313019390586,123.0,0.7828877005347593,0.7711061716528497,0.4633989337855474,vggish
19,trumpet,A,B,0.2627118644067797,0.8857142857142857,0.4052287581699347,105.0,0.7080213903743315,0.8979001721170397,0.7040430627621027,vggish
20,violin,A,B,0.27384615384615385,0.8811881188118812,0.41784037558685455,101.0,0.73475935828877,0.8818410618040222,0.4985188138968704,vggish
21,voice,A,B,0.2962962962962963,0.8,0.43243243243243246,10.0,0.9775401069518717,0.9767567567567568,0.5102979925063673,vggish
22,cello,B,B,0.43609022556390975,0.8529411764705882,0.5771144278606966,68.0,0.9090909090909091,0.9520150620801953,0.6461570958875147,vggish
23,clarinet,B,B,0.3516483516483517,0.6956521739130435,0.46715328467153283,92.0,0.8438502673796792,0.8642658208262417,0.5213932679359128,vggish
24,flute,B,B,0.3841059602649007,0.8169014084507042,0.5225225225225225,71.0,0.8866310160427807,0.9303436358894105,0.5588178381368377,vggish
25,guitar-ac,B,B,0.59375,0.9047619047619048,0.7169811320754718,63.0,0.9518716577540107,0.9834534731323721,0.8804193752541944,vggish
26,guitar-el,B,B,0.34355828220858897,0.9032258064516129,0.4977777777777778,62.0,0.879144385026738,0.9483797066105014,0.6229807387014156,vggish
27,organ,B,B,0.6418918918918919,0.979381443298969,0.7755102040816327,97.0,0.9411764705882353,0.9878576876706936,0.9014836516309267,vggish
28,piano,B,B,0.7485380116959064,0.8951048951048951,0.8152866242038217,143.0,0.9379679144385027,0.974773963410327,0.908462090930556,vggish
29,saxophone,B,B,0.4233128834355828,0.5609756097560976,0.48251748251748255,123.0,0.841711229946524,0.8348752453041771,0.5540334043495782,vggish
30,trumpet,B,B,0.5301204819277109,0.8380952380952381,0.6494464944649447,105.0,0.8983957219251337,0.9429489386115892,0.8089498584397131,vggish
31,violin,B,B,0.13280212483399734,0.9900990099009901,0.234192037470726,101.0,0.30053475935828877,0.8903768074649191,0.6060936963212734,vggish
32,voice,B,B,0.6,0.9,0.7200000000000001,10.0,0.9925133689839573,0.9939459459459459,0.8572413793103448,vggish
33,cello,B,A,0.22641509433962265,0.4,0.2891566265060241,30.0,0.9221635883905013,0.8171703296703297,0.35145494566318286,vggish
34,clarinet,B,A,0.325,0.37142857142857144,0.3466666666666667,35.0,0.9353562005277045,0.8486860304287691,0.3383867949133943,vggish
35,flute,B,A,0.3815789473684211,0.6590909090909091,0.4833333333333333,44.0,0.9182058047493403,0.8705118411000765,0.6117942064488767,vggish
36,guitar-ac,B,A,0.8181818181818182,0.6428571428571429,0.7200000000000001,98.0,0.9353562005277045,0.9317486085343228,0.7890697035093762,vggish
37,guitar-el,B,A,0.2324159021406728,0.5846153846153846,0.33260393873085337,130.0,0.5976253298153035,0.6285338069573738,0.2684728409092002,vggish
38,organ,B,A,0.23711340206185566,0.9324324324324325,0.3780821917808219,74.0,0.7005277044854882,0.8951122174806385,0.5633487329162714,vggish
39,piano,B,A,0.5609756097560976,0.5897435897435898,0.575,39.0,0.9551451187335093,0.9071359794586499,0.6680103479715664,vggish
40,saxophone,B,A,0.2692307692307692,0.6,0.3716814159292035,35.0,0.9063324538258575,0.837423434103932,0.3197499091710525,vggish
41,trumpet,B,A,0.42857142857142855,0.5853658536585366,0.4948453608247423,41.0,0.9353562005277045,0.8661428036874509,0.5899206781040702,vggish
42,violin,B,A,0.2204724409448819,0.6086956521739131,0.32369942196531787,46.0,0.8456464379947229,0.8153700537371764,0.4162464878439103,vggish
43,voice,B,A,0.8922155688622755,0.8010752688172043,0.8441926345609065,186.0,0.9274406332453826,0.9556639596962178,0.9116850300910506,vggish
